condition_id,state_representation,endpoint_mode,operator_pool,seed,n_folds,min_state_events,n_control_draws,n_operators,success,effect_vs_balanced_pool_shuffle,p_vs_balanced_pool_shuffle,effect_vs_frequency_matched_random,p_vs_frequency_matched_random,effect_vs_performance_matched_random,p_vs_performance_matched_random,effect_vs_within_state_shuffle,p_vs_within_state_shuffle,effect_vs_oracle,p_vs_oracle
b6j_012,fes_phase,z_reward,no_suppress,60810,5,8,200,6,False,0.005398347579217178,0.41583366653338666,0.029102661612795115,0.21311475409836064,-0.011012698341227102,0.667732906837265,0.0009136968143240504,0.49380247900839663,-1.2462334525458245,1.0
b6j_013,fes_phase,rank_reward,full,60810,5,8,200,7,False,0.00573437827041537,0.4030387844862055,0.01515779317506129,0.34866053578568573,0.007274062562863327,0.3954418232706917,-0.010862820210762581,0.6109556177528989,-1.1511323417679862,1.0
b6j_014,fes_phase,rank_reward,core_5,60810,5,8,200,5,False,-0.010258893210485976,0.6781287485005998,0.0004500990296260083,0.4934026389444222,-0.005602935905226657,0.5817672930827669,-0.023553677523018783,0.7237105157936825,-1.0181213235956248,1.0
b6j_015,fes_phase,rank_reward,no_phase_only,60810,5,8,200,6,False,-0.007937354288797854,0.6457417033186725,-0.0033491366097314706,0.5257896841263494,-0.00329326844801698,0.5625749700119952,-0.017088204499189363,0.7029188324670131,-1.0411052679583315,1.0
b6j_016,fes_phase,rank_reward,no_suppress,60810,5,8,200,6,False,0.035676662140746676,0.07996801279488205,0.024554477208657794,0.24310275889644142,0.02794780258872834,0.1675329868052779,-0.0015408835114057403,0.5269892043182727,-1.1378920844770237,1.0
b6j_017,fes_side,z_reward,full,60810,5,8,200,7,False,0.003546004704021854,0.4174330267892843,-0.013384504160331358,0.6593362654938025,-0.008023756229985963,0.62375049980008,-0.008304754829626788,0.5841663334666134,-1.2662864511076155,1.0
b6j_018,fes_side,z_reward,core_5,60810,5,8,200,5,False,-0.0235289431223808,0.8768492602958816,0.015533437991789018,0.343062774890044,0.0021002048205993763,0.4730107956817273,0.018222654791452065,0.3310675729708117,-1.04097511725821,1.0
b6j_019,fes_side,z_reward,no_phase_only,60810,5,8,200,6,False,0.0009660448119224199,0.47700919632147143,0.029626751513079155,0.2075169932027189,0.009345007206054993,0.34986005597760894,0.04051661903621916,0.1487405037984806,-1.0574586163817992,1.0
b6j_020,fes_side,z_reward,no_suppress,60810,5,8,200,6,False,-0.019608767993319565,0.8028788484606157,-0.028785517014964516,0.7516993202718912,-0.01605665909127822,0.7197121151539384,-0.025922144761139205,0.7361055577768892,-1.271912228155021,1.0
b6j_021,fes_side,rank_reward,full,60810,5,8,200,7,False,-0.014686994182349207,0.7293082766893243,-0.04548502713901164,0.8904438224710116,-0.023392777548720427,0.7940823670531787,-0.04598978557911453,0.8892443022790884,-1.1845243027180814,1.0
b6j_022,fes_side,rank_reward,core_5,60810,5,8,200,5,False,-0.007090894620202117,0.6369452219112355,0.028130729519706566,0.21951219512195122,0.016047454663027032,0.26229508196721313,0.026319009517156523,0.23670531787285087,-0.979793225228406,1.0
b6j_023,fes_side,rank_reward,no_phase_only,60810,5,8,200,6,False,-0.005579791816305339,0.6209516193522591,0.014517828691282627,0.3282686925229908,0.0018584462524640754,0.461015593762495,0.016969910117570743,0.3142742902838864,-1.01102200559755,1.0
b6j_024,fes_side,rank_reward,no_suppress,60810,5,8,200,6,False,-0.042513098843122626,0.9700119952019193,-0.041468688856898056,0.8560575769692124,-0.030219672167224515,0.8624550179928029,-0.048873329705990246,0.8864454218312675,-1.1768467133565428,1.0
b6j_025,fes_tfc,z_reward,full,60810,5,8,200,7,False,0.012891018575757671,0.3078768492602959,0.08045936237958234,0.010395841663334666,0.03109439892608811,0.13714514194322272,0.07348332497013678,0.020791683326669332,-1.1734089224635775,1.0
b6j_026,fes_tfc,z_reward,core_5,60810,5,8,200,5,False,0.015920224374314326,0.21631347461015593,0.09201786880360564,0.007996801279488205,0.04027634473856126,0.03838464614154338,0.08239832457152345,0.012794882047181128,-0.9628755391271355,1.0
b6j_027,fes_tfc,z_reward,no_phase_only,60810,5,8,200,6,True,0.03861507110787529,0.02958816473410636,0.0909781791333184,0.001599360255897641,0.055500621665939415,0.009596161535385846,0.08347736141035775,0.0075969612155137945,-0.9945032550428992,1.0
b6j_028,fes_tfc,z_reward,no_suppress,60810,5,8,200,6,False,0.01902403260007701,0.20551779288284686,0.0729111332601097,0.030387844862055178,0.02868076090188927,0.13554578168732506,0.05524488314683103,0.0667732906837265,-1.1705681579761857,1.0
b6j_029,fes_tfc,rank_reward,full,60810,5,8,200,7,False,0.026659934287627682,0.124750099960016,0.14357069458570215,0.00039984006397441024,0.09851414901623987,0.00039984006397441024,0.14376902723714574,0.00039984006397441024,-0.9902032064359754,1.0
b6j_030,fes_tfc,rank_reward,core_5,60810,5,8,200,5,True,0.05034524798051153,0.012395041983206718,0.11200301710068408,0.0011995201919232307,0.056735664378166385,0.011595361855257898,0.11505180024428974,0.001999200319872051,-0.8889015407573434,1.0
b6j_031,fes_tfc,rank_reward,no_phase_only,60810,5,8,200,6,True,0.07492386415691027,0.00039984006397441024,0.11055571914238568,0.00039984006397441024,0.10455622518810352,0.00039984006397441024,0.11142820249775784,0.00039984006397441024,-0.9204727037195733,1.0
b6j_032,fes_tfc,rank_reward,no_suppress,60810,5,8,200,6,False,0.016434592514537185,0.25309876049580166,0.1373791287570338,0.0007996801279488205,0.059068673052025594,0.023590563774490203,0.14573666111097988,0.00039984006397441024,-0.9856545817641734,1.0
b6j_033,fes_side_phase,z_reward,full,60810,5,8,200,7,False,0.025478490928489878,0.17832866853258697,0.015157789526226036,0.3338664534186325,0.020326589049190873,0.23790483806477408,0.0057061670439571156,0.4426229508196721,-1.2513253931471515,1.0
b6j_034,fes_side_phase,z_reward,core_5,60810,5,8,200,5,False,-0.009899083294873458,0.7041183526589364,-0.011094306387065737,0.6201519392243102,-0.00391533967271505,0.5773690523790483,-0.021059853448510607,0.7101159536185526,-1.0879306663770005,1.0
b6j_035,fes_side_phase,z_reward,no_phase_only,60810,5,8,200,6,False,0.012616232623743832,0.27668932427029186,0.001286388185436179,0.4778088764494202,-0.004267106273406468,0.5689724110355857,-0.009999737375426103,0.6009596161535385,-1.0993137855763906,1.0
b6j_036,fes_side_phase,z_reward,no_suppress,60810,5,8,200,6,False,0.016687809423361337,0.28348660535785686,0.023403753926076937,0.2510995601759296,0.016340493401268412,0.2686925229908037,0.013786334872823967,0.37385045981607357,-1.2304363611826854,1.0
b6j_037,fes_side_phase,rank_reward,full,60810,5,8,200,7,False,-0.00021819055822245014,0.5137944822071171,-0.012960253145044256,0.6225509796081568,0.002746519615991166,0.47421031587365053,-0.023408692810578627,0.7540983606557377,-1.1637504164195498,1.0
b6j_038,fes_side_phase,rank_reward,core_5,60810,5,8,200,5,False,-0.004303141691648187,0.5821671331467413,-0.0031192889527094842,0.5365853658536586,-0.006703200593394667,0.614954018392643,-0.02024976807902089,0.7081167532986805,-1.0353393099211163,1.0
b6j_039,fes_side_phase,rank_reward,no_phase_only,60810,5,8,200,6,False,0.024776224819971018,0.1255497800879648,0.008234672462272644,0.3942423030787685,0.006832926321294439,0.40903638544582166,-0.008642547881708146,0.601359456217513,-1.0375353282357396,1.0
b6j_040,fes_side_phase,rank_reward,no_suppress,60810,5,8,200,6,False,1.9528822719445827e-05,0.5041983206717313,-0.004741573382596963,0.5433826469412235,0.0036820399052588724,0.44822071171531386,-0.013726751142216526,0.6217512994802079,-1.1509496897623501,1.0
b6j_041,fes_tfc_phase,z_reward,full,60810,5,8,200,7,False,0.014805107793885117,0.28308676529388244,0.07932110037183443,0.012395041983206718,0.004180590928577866,0.4494202319072371,0.06884777899567138,0.024790083966413436,-1.191101613949161,1.0
b6j_042,fes_tfc_phase,z_reward,core_5,60810,5,8,200,5,False,-0.01137709316335216,0.7153138744502199,0.04319064238281595,0.11035585765693723,-0.0032853470580688224,0.5741703318672531,0.0393177874417456,0.10635745701719312,-1.0334966846334206,1.0
b6j_043,fes_tfc_phase,z_reward,no_phase_only,60810,5,8,200,6,False,0.02539270381482219,0.08036785285885646,0.05799045771440938,0.03598560575769692,0.02037412869908877,0.17712914834066373,0.04303649396310255,0.07916833266693322,-1.0531076348773925,1.0
b6j_044,fes_tfc_phase,z_reward,no_suppress,60810,5,8,200,6,False,0.02548141237742096,0.14594162335065974,0.077543728164807,0.01639344262295082,0.0067896202462391425,0.3942423030787685,0.07633663602162952,0.01759296281487405,-1.1769993346196004,1.0
b6j_045,fes_tfc_phase,rank_reward,full,60810,5,8,200,7,True,0.044502567711738536,0.027588964414234307,0.10415933033184477,0.0007996801279488205,0.06594632722631723,0.007996801279488205,0.11162951198086342,0.0011995201919232307,-1.0558103723828591,1.0
b6j_046,fes_tfc_phase,rank_reward,core_5,60810,5,8,200,5,False,0.02564842144673987,0.09476209516193522,0.07828582575394626,0.013994402239104359,0.0403000318003894,0.03398640543782487,0.08844712362840806,0.005597760895641743,-0.9419815116573007,1.0
b6j_047,fes_tfc_phase,rank_reward,no_phase_only,60810,5,8,200,6,True,0.057718903712250344,0.0023990403838464614,0.08699212705043148,0.003598560575769692,0.08042601769267628,0.0007996801279488205,0.08942778300578319,0.004398240703718513,-0.9638568985767348,1.0
b6j_048,fes_tfc_phase,rank_reward,no_suppress,60810,5,8,200,6,False,0.036588283415210865,0.07956817273090763,0.07316406980379851,0.022790883646541384,0.028896795006962274,0.14314274290283888,0.08587386172870838,0.006397441023590564,-1.0744820384376346,1.0
b6j_049,fes_side_tfc,z_reward,full,60810,5,8,200,7,False,-0.017625000418346807,0.7528988404638145,0.020514983812087745,0.28308676529388244,-0.011731672953404493,0.6661335465813675,0.0050908059859624604,0.4422231107556977,-1.2686183431944813,1.0
b6j_050,fes_side_tfc,z_reward,core_5,60810,5,8,200,5,False,0.00013528388712183697,0.49020391843262695,0.08913601732500606,0.004798080767692923,0.031965903085870086,0.06397441023590564,0.07319187408646796,0.021991203518592562,-1.0071359146003669,1.0
b6j_051,fes_side_tfc,z_reward,no_phase_only,60810,5,8,200,6,False,0.01124916585351284,0.282686925229908,0.0671501016485292,0.027189124350259896,0.041118743359042934,0.031187524990004,0.060198400165016513,0.036785285885645745,-1.0552686290097373,1.0
b6j_052,fes_side_tfc,z_reward,no_suppress,60810,5,8,200,6,False,-0.010129384361970145,0.6469412235105958,0.04223036109884214,0.12195121951219512,0.014563336458539458,0.2930827668932427,0.024745828559269625,0.249500199920032,-1.2349484603108116,1.0
b6j_053,fes_side_tfc,rank_reward,full,60810,5,8,200,7,True,0.07097060640772859,0.0023990403838464614,0.09555312248952125,0.003598560575769692,0.07587116704800051,0.005197920831667333,0.08397552981504368,0.012395041983206718,-1.084056197844624,1.0
b6j_054,fes_side_tfc,rank_reward,core_5,60810,5,8,200,5,False,0.012604532851133695,0.21311475409836064,0.10241019070883714,0.0027988804478208716,0.054280620202219916,0.005597760895641743,0.10818580457524746,0.0011995201919232307,-0.9312863714877326,1.0
b6j_055,fes_side_tfc,rank_reward,no_phase_only,60810,5,8,200,6,True,0.03243615964595733,0.032387045181927226,0.07752993242752927,0.013594562175129948,0.06233775913888959,0.001599360255897641,0.07993666263195073,0.006797281087564974,-0.9845304801737794,1.0
b6j_056,fes_side_tfc,rank_reward,no_suppress,60810,5,8,200,6,True,0.05692416204680707,0.011595361855257898,0.11678305941239754,0.0007996801279488205,0.06679376989998165,0.008796481407437025,0.1139546165695801,0.001999200319872051,-1.051742552449738,1.0
b6j_057,fes_side_tfc_phase,z_reward,full,60810,5,8,200,7,False,-0.0005244008972098939,0.5053978408636546,0.05883052077957369,0.023190723710515795,0.018909788188702304,0.22750899640143943,0.05630139677195058,0.006797281087564974,-1.2599390897135738,1.0
b6j_058,fes_side_tfc_phase,z_reward,core_5,60810,5,8,200,5,False,0.012276180033856996,0.18832467013194723,0.07189703880226206,0.005597760895641743,0.01872238604595726,0.09076369452219113,0.07070092457886872,0.0011995201919232307,-1.062106632286818,1.0
b6j_059,fes_side_tfc_phase,z_reward,no_phase_only,60810,5,8,200,6,False,0.009708204349614532,0.28468612554978007,0.062226704346286334,0.013994402239104359,0.01804532320021095,0.2231107556977209,0.061572298984937525,0.001999200319872051,-1.0965987221691826,1.0
b6j_060,fes_side_tfc_phase,z_reward,no_suppress,60810,5,8,200,6,False,0.0041300694232491286,0.42423030787684923,0.07057176296713906,0.015593762495002,0.012889770772637933,0.30947620951619353,0.07307176657056945,0.0023990403838464614,-1.235839931835878,1.0
b6j_061,fes_side_tfc_phase,rank_reward,full,60810,5,8,200,7,False,0.028724819301555432,0.06037584966013595,0.06406189932933665,0.01639344262295082,0.01823340282500751,0.24870051979208316,0.06421738886686479,0.0007996801279488205,-1.173827157102874,1.0
b6j_062,fes_side_tfc_phase,rank_reward,core_5,60810,5,8,200,5,False,0.007322565759607108,0.2966813274690124,0.06002244606679613,0.022790883646541384,0.01657176231010544,0.1211515393842463,0.06818856211579492,0.0027988804478208716,-1.0510592868775848,1.0
b6j_063,fes_side_tfc_phase,rank_reward,no_phase_only,60810,5,8,200,6,False,0.02765420593840866,0.027988804478208718,0.06389884633299232,0.013194722111155539,0.00991064051315012,0.33346661335465816,0.06460089496855777,0.001599360255897641,-1.0722917286346174,1.0
b6j_064,fes_side_tfc_phase,rank_reward,no_suppress,60810,5,8,200,6,False,0.030096910884259552,0.056377449020391844,0.06002730433215423,0.027588964414234307,-0.0023787039450368958,0.5261895241903238,0.06521227032178699,0.003198720511795282,-1.1671584897575389,1.0
b6j_065,side_tfc_phase,z_reward,full,60810,5,8,200,7,True,0.07582542158500638,0.001599360255897641,0.15052240802053035,0.00039984006397441024,0.09283034816170875,0.0007996801279488205,0.13975137382270927,0.0011995201919232307,-1.1052576919351158,1.0
b6j_066,side_tfc_phase,z_reward,core_5,60810,5,8,200,5,True,0.04317170438447068,0.01919232307077169,0.13562616488770768,0.00039984006397441024,0.07814095930128531,0.00039984006397441024,0.13021841344493587,0.0007996801279488205,-0.9264394164131751,1.0
b6j_067,side_tfc_phase,z_reward,no_phase_only,60810,5,8,200,6,True,0.05595665169705707,0.0007996801279488205,0.13840483747496543,0.0011995201919232307,0.08020248554554185,0.0011995201919232307,0.13412881567902857,0.00039984006397441024,-0.9506514782583334,1.0
b6j_068,side_tfc_phase,z_reward,no_suppress,60810,5,8,200,6,True,0.06319388219762244,0.0075969612155137945,0.14786382864369962,0.00039984006397441024,0.09371894575306525,0.00039984006397441024,0.1450165504673265,0.0007996801279488205,-1.0965519398953292,1.0
b6j_069,side_tfc_phase,rank_reward,full,60810,5,8,200,7,True,0.10515380695972461,0.00039984006397441024,0.18633995935018105,0.00039984006397441024,0.14535265761654464,0.00039984006397441024,0.17651073270249065,0.00039984006397441024,-0.9568436606551232,1.0
b6j_070,side_tfc_phase,rank_reward,core_5,60810,5,8,200,5,True,0.04514928706146274,0.012794882047181128,0.1466638018420368,0.0007996801279488205,0.07228660548563469,0.0023990403838464614,0.13591759296416533,0.00039984006397441024,-0.8620937548047667,1.0
b6j_071,side_tfc_phase,rank_reward,no_phase_only,60810,5,8,200,6,True,0.040826856702317255,0.030387844862055178,0.14985693494774235,0.00039984006397441024,0.07191383684712913,0.0011995201919232307,0.14343352954231792,0.00039984006397441024,-0.8843126203578269,1.0
b6j_072,side_tfc_phase,rank_reward,no_suppress,60810,5,8,200,6,True,0.10236717489579117,0.00039984006397441024,0.18633995935018105,0.00039984006397441024,0.11935596596529748,0.00039984006397441024,0.17858686373440727,0.00039984006397441024,-0.9476695194067973,1.0
b6j_073,coarse,z_reward,full,60810,5,8,200,7,False,,,,,,,,,,
b6j_074,coarse,z_reward,core_5,60810,5,8,200,5,False,,,,,,,,,,
b6j_075,coarse,z_reward,no_phase_only,60810,5,8,200,6,False,,,,,,,,,,
b6j_076,coarse,z_reward,no_suppress,60810,5,8,200,6,False,,,,,,,,,,
b6j_077,coarse,rank_reward,full,60810,5,8,200,7,False,,,,,,,,,,
b6j_078,coarse,rank_reward,core_5,60810,5,8,200,5,False,,,,,,,,,,
b6j_079,coarse,rank_reward,no_phase_only,60810,5,8,200,6,False,,,,,,,,,,
b6j_080,coarse,rank_reward,no_suppress,60810,5,8,200,6,False,,,,,,,,,,
b6j_081,side_only,z_reward,full,60810,5,8,200,7,False,1.4759637770824938e-16,0.14994002399040385,0.09760716574477196,0.001999200319872051,0.02122736960966411,0.23590563774490203,0.04812535000693546,0.149140343862455,-1.1972074545507236,1.0
b6j_082,side_only,z_reward,core_5,60810,5,8,200,5,False,6.778842627082117e-17,0.327469012395042,0.10745844847414743,0.0027988804478208716,0.08261778824452047,0.0007996801279488205,0.056202656164869934,0.10555777688924431,-1.0063074325568222,1.0
b6j_083,side_only,z_reward,no_phase_only,60810,5,8,200,6,False,6.778842627082117e-17,0.327469012395042,0.10745844847414743,0.0027988804478208716,0.03717463879516418,0.09116353458616554,0.06032520591110529,0.08916433426629349,-1.0334645183590752,1.0
b6j_084,side_only,z_reward,no_suppress,60810,5,8,200,6,False,0.016838393330035905,0.14594162335065974,0.09760716574477196,0.001999200319872051,0.024933526560693788,0.19272291083566573,0.055187771053660344,0.10715713714514194,-1.1810004374808076,1.0
b6j_085,side_only,rank_reward,full,60810,5,8,200,7,False,0.0003336041964249175,0.25549780087964813,0.12430510412524254,0.00039984006397441024,0.04479604947361561,0.07716913234706117,0.06316415586548518,0.07117153138744502,-1.0770812117076904,1.0
b6j_086,side_only,rank_reward,core_5,60810,5,8,200,5,False,-1.0618871383949944e-16,0.7912834866053579,0.10540713419269333,0.0023990403838464614,0.05789979733765542,0.011195521791283487,0.037902199220421234,0.1755297880847661,-0.9771816194203508,1.0
b6j_087,side_only,rank_reward,no_phase_only,60810,5,8,200,6,False,-1.0618871383949944e-16,0.7912834866053579,0.10540713419269333,0.0023990403838464614,0.009992546220367318,0.3522590963614554,0.0425263347447371,0.14954018392642943,-1.0039080636611426,1.0
b6j_088,side_only,rank_reward,no_suppress,60810,5,8,200,6,False,0.03292533042881088,0.012395041983206718,0.12430510412524254,0.00039984006397441024,0.06486253313934448,0.01599360255897641,0.06334290511944221,0.07117153138744502,-1.063242347899053,1.0
b6j_089,tfc_only,z_reward,full,60810,5,8,200,7,False,0.029061995098775315,0.05117952818872451,0.1709751266832802,0.00039984006397441024,0.07962870074208428,0.0023990403838464614,0.17675525636320266,0.00039984006397441024,-1.0703276052515744,1.0
b6j_090,tfc_only,z_reward,core_5,60810,5,8,200,5,False,0.002040180076316582,0.4070371851259496,0.09560280406272896,0.001599360255897641,0.039756532587903425,0.0351859256297481,0.0880420383575118,0.010795681727309077,-0.9552252443632202,1.0
b6j_091,tfc_only,z_reward,no_phase_only,60810,5,8,200,6,True,0.04025882765904406,0.004798080767692923,0.16934539863688272,0.00039984006397441024,0.11854332823666278,0.00039984006397441024,0.17757595819282923,0.00039984006397441024,-0.9020673506750976,1.0
b6j_092,tfc_only,z_reward,no_suppress,60810,5,8,200,6,True,0.04130186156716243,0.01719312275089964,0.19012925661343197,0.00039984006397441024,0.1325381815519543,0.00039984006397441024,0.19612585674199473,0.00039984006397441024,-1.030817576914367,1.0
b6j_093,tfc_only,rank_reward,full,60810,5,8,200,7,True,0.07273164539850875,0.00039984006397441024,0.23166405289224123,0.00039984006397441024,0.16627877944944655,0.00039984006397441024,0.24298794208666163,0.00039984006397441024,-0.8958825062216386,1.0
b6j_094,tfc_only,rank_reward,core_5,60810,5,8,200,5,False,-5.585582336294754e-17,0.6769292283086765,0.1193932893594933,0.00039984006397441024,0.055538182185011206,0.003198720511795282,0.10435697780025797,0.0023990403838464614,-0.8858491795379457,1.0
b6j_095,tfc_only,rank_reward,no_phase_only,60810,5,8,200,6,True,0.08537383737106413,0.00039984006397441024,0.19618111724522064,0.00039984006397441024,0.15354320986442607,0.00039984006397441024,0.19614870905269324,0.00039984006397441024,-0.8186828846016375,1.0
b6j_096,tfc_only,rank_reward,no_suppress,60810,5,8,200,6,True,0.08307385244778706,0.00039984006397441024,0.23166405289224123,0.00039984006397441024,0.14994600776378328,0.00039984006397441024,0.23448110934633803,0.00039984006397441024,-0.8860475235617734,1.0
b6j_097,phase_only,z_reward,full,60810,5,8,200,7,False,-0.001960505178035,0.5641743302678929,0.02543906053341045,0.19392243102758897,0.008314623065734614,0.3642542982806877,-0.051771913121091404,0.9152339064374251,-1.2882938551939478,1.0
b6j_098,phase_only,z_reward,core_5,60810,5,8,200,5,False,-1.282711030776765e-17,0.5473810475809676,0.021695411706618397,0.10035985605757697,-0.023604575464337446,0.9156337465013994,-0.10290005530216256,0.9972011195521792,-1.1456080675340543,1.0
b6j_099,phase_only,z_reward,no_phase_only,60810,5,8,200,6,False,0.020610602904925533,0.10195921631347461,0.021695411706618397,0.10035985605757697,-0.004145011022389555,0.5821671331467413,-0.10349810869731055,0.9972011195521792,-1.174075682049793,1.0
b6j_100,phase_only,z_reward,no_suppress,60810,5,8,200,6,False,-0.002746112416601665,0.578968412634946,0.02543906053341045,0.19392243102758897,0.010828317274323132,0.3234706117552979,-0.05850019988168247,0.9364254298280688,-1.2709419526225798,1.0
b6j_101,phase_only,rank_reward,full,60810,5,8,200,7,False,0.009145934345536521,0.32147141143542585,0.006865180804610157,0.4022391043582567,0.02679111493402659,0.15873650539784087,-0.06649325988097375,0.968812475009996,-1.2017236941449256,1.0
b6j_102,phase_only,rank_reward,core_5,60810,5,8,200,5,False,6.562971886539794e-18,0.476609356257497,0.010703743310994284,0.3402638944422231,-0.014223684111943006,0.7528988404638145,-0.10750845591864926,0.9984006397441023,-1.1200653884264595,1.0
b6j_103,phase_only,rank_reward,no_phase_only,60810,5,8,200,6,False,0.010802722876694792,0.19792083166733307,0.0054170068394765285,0.396641343462615,0.0009086750569914278,0.4858056777289084,-0.10614134673154911,0.998000799680128,-1.1314259159154734,1.0
b6j_104,phase_only,rank_reward,no_suppress,60810,5,8,200,6,False,0.024277512605656026,0.17233106757297081,0.013206929435199419,0.32946821271491405,0.027830730949750068,0.171531387445022,-0.08330520018596675,0.9772091163534586,-1.2001424033036614,1.0
