condition_id,state_representation,endpoint_mode,operator_pool,seed,n_folds,min_state_events,n_control_draws,n_operators,success,effect_vs_balanced_pool_shuffle,p_vs_balanced_pool_shuffle,effect_vs_frequency_matched_random,p_vs_frequency_matched_random,effect_vs_performance_matched_random,p_vs_performance_matched_random,effect_vs_within_state_shuffle,p_vs_within_state_shuffle,effect_vs_oracle,p_vs_oracle
b6j_001,fes_only,z_reward,full,60810,5,8,200,7,False,0.024700007511977685,0.1015593762495002,0.04530520348926584,0.0899640143942423,0.02108932231597113,0.211515393842463,0.011339843025582821,0.39184326269492203,-1.244965006402909,1.0
b6j_002,fes_only,z_reward,core_5,60810,5,8,200,5,False,0.016384414071902796,0.08276689324270292,0.05917084027110544,0.048380647740903636,0.010855456550170778,0.3322670931627349,0.0030924818969493032,0.45061975209916033,-1.0509691433852089,1.0
b6j_003,fes_only,z_reward,no_phase_only,60810,5,8,200,6,False,0.009679393112497346,0.29828068772491,0.05813982131733109,0.04438224710115954,-0.009709723882625483,0.6545381847261096,0.019431357390270857,0.3078768492602959,-1.0748505647654127,1.0
b6j_004,fes_only,z_reward,no_suppress,60810,5,8,200,6,False,-0.00753843633849756,0.6437425029988004,0.04060814443431356,0.14154338264694122,-0.015683171504442043,0.7229108356657337,-0.009389341049253182,0.5901639344262295,-1.2500951394269324,1.0
b6j_005,fes_only,rank_reward,full,60810,5,8,200,7,False,-0.016477174335126785,0.8048780487804879,-0.012682612391090484,0.641343462614954,0.006961628875224184,0.40463814474210313,-0.0507785054589146,0.9168332666933227,-1.1903698397533462,1.0
b6j_006,fes_only,rank_reward,core_5,60810,5,8,200,5,False,0.027940003831890686,0.01879248300679728,0.06557866942051756,0.025189924030387844,0.047943950012213965,0.01679328268692523,-0.0015012883636551589,0.5081967213114754,-1.0001924150706691,1.0
b6j_007,fes_only,rank_reward,no_phase_only,60810,5,8,200,6,False,0.01712520667854314,0.17393042782886844,0.03849344984129003,0.12355057976809276,0.024013807867422944,0.14594162335065974,-0.012778622060275191,0.6561375449820072,-1.0404734539789,1.0
b6j_008,fes_only,rank_reward,no_suppress,60810,5,8,200,6,False,-0.018860630214595983,0.8064774090363854,0.003569419272611625,0.4570171931227509,-0.005460447449288498,0.5865653738504598,-0.04979288394791756,0.9088364654138344,-1.182344921483855,1.0
b6j_009,fes_phase,z_reward,full,60810,5,8,200,7,False,0.023516477491198805,0.1487405037984806,0.03481529213875279,0.17073170731707318,0.018381425523941806,0.25189924030387845,0.00730292399466422,0.42463014794082365,-1.2430350283845224,1.0
b6j_010,fes_phase,z_reward,core_5,60810,5,8,200,5,False,-0.0017632885296675219,0.5277888844462215,0.004346334625306046,0.445421831267493,-0.0005309459562392342,0.500999600159936,-0.011675908104624147,0.6317473010795682,-1.0718939356256618,1.0
b6j_011,fes_phase,z_reward,no_phase_only,60810,5,8,200,6,False,0.013380875267805806,0.25229908036785287,0.021401321332756795,0.2686925229908037,0.009240680796655396,0.33306677329068374,0.01142296195908995,0.3622550979608157,-1.076196804566992,1.0
