state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O7_suppress_event,fold,condition_id
phase=q4,194,O7_suppress_event,0.0,O4_B_C_boundary,-0.014874014479586875,-0.06611394401593358,-0.08870515176175325,-0.1142323368894637,-0.014874014479586875,-0.030836527791894573,0.0,0,b6j_103
phase=q1,190,O3_A_C_boundary,0.07076082273315436,O4_B_C_boundary,0.06460965157664164,-0.03797064648018263,0.05236534078945179,0.07076082273315436,0.06460965157664164,0.02372781646643072,0.0,0,b6j_103
phase=q4,200,O5_full_TFC,0.03816721917540592,O2_lag5_AB,0.01776466142841108,0.0023505555609825727,0.01776466142841108,-0.08043727247358981,-0.10003780692464392,0.03816721917540592,0.0,1,b6j_103
phase=q1,195,O2_lag5_AB,0.05986089152901992,O2_lag5_AB,0.05986089152901992,0.02061349399875627,0.05986089152901992,0.054615288687418086,-0.02637281214280516,-0.014390670533135513,0.0,1,b6j_103
phase=q4,211,O1_lag0_AB,0.025258411909730438,O1_lag0_AB,0.025258411909730438,0.025258411909730438,-0.0029203295436375024,-0.11346228892900741,-0.030269635225530563,-0.049970454383486705,0.0,2,b6j_103
phase=q1,207,O1_lag0_AB,0.05095718786696162,O1_lag0_AB,0.05095718786696162,0.05095718786696162,0.001563530748892339,0.0017836890639203044,-0.004601733248975962,-0.07377201010418748,0.0,2,b6j_103
phase=q1,196,O3_A_C_boundary,0.12842561260226226,O3_A_C_boundary,0.12842561260226226,0.07845046119387937,0.03979388811872348,0.12842561260226226,0.01849533954784245,0.032800706962197286,0.0,3,b6j_103
phase=q4,201,O5_full_TFC,0.05181593479547702,O3_A_C_boundary,0.05106290363314077,-0.011909573525246488,-0.08049182232065423,0.05106290363314077,-0.006774018222292525,0.05181593479547702,0.0,3,b6j_103
phase=q4,210,O4_B_C_boundary,0.02909488719956146,O4_B_C_boundary,0.02909488719956146,-0.026674844990113817,-0.01185724164103433,-0.10661026152398485,0.02909488719956146,-0.0002093812964168902,0.0,4,b6j_103
phase=q1,204,O3_A_C_boundary,0.08097402911613528,O4_B_C_boundary,0.054927198819481805,-0.037746032518176945,0.014139960245231703,0.08097402911613528,0.054927198819481805,0.02741534004633415,0.0,4,b6j_103
