state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O6_phase_only,train_mean_O7_suppress_event,fold,condition_id
fes=Activation,81,O1_lag0_AB,0.21863106486147235,O4_B_C_boundary,-0.06820501561090193,0.21863106486147235,0.03025487165305715,-0.1201183617989027,-0.06820501561090193,0.019338639228213418,0.12230893970605572,0.0,0,b6j_001
fes=Surprise,117,O4_B_C_boundary,0.017054009843777976,O4_B_C_boundary,0.017054009843777976,-0.22157231093951124,-0.11741133042381546,-0.07876361607274021,0.017054009843777976,-0.13143700585152227,-0.05899324240584276,0.0,0,b6j_001
fes=CoCreation,63,O5_full_TFC,0.34697593422928835,O4_B_C_boundary,0.10752710369982622,-0.10843535336595357,0.011036008775259289,0.3308613813163047,0.10752710369982622,0.34697593422928835,0.007060104467362986,0.0,0,b6j_001
fes=SelfGrowth,82,O2_lag5_AB,0.023763918232732176,O4_B_C_boundary,-0.0556320596334088,-0.027750177266162874,0.023763918232732176,-0.1448724015889906,-0.0556320596334088,-0.0691497200321786,-0.020162437815748453,0.0,0,b6j_001
fes=Challenge,41,O4_B_C_boundary,0.20405900576807248,O4_B_C_boundary,0.20405900576807248,-0.06044793628513221,0.03196111521957682,0.1833060736866111,0.20405900576807248,0.04296452132075747,-0.010179185566975656,0.0,0,b6j_001
fes=Activation,88,O1_lag0_AB,0.1075206920871504,O2_lag5_AB,0.042443742004729286,0.1075206920871504,0.042443742004729286,0.0044426959065555285,-0.09266086717362039,-0.03714634846912744,0.10163842080617104,0.0,1,b6j_001
fes=Surprise,118,O7_suppress_event,0.0,O2_lag5_AB,-0.0007156082103003372,-0.11369818093146873,-0.0007156082103003372,-0.11058511798636202,-0.1115265325784657,-0.09466019914072116,-0.025457588598964728,0.0,1,b6j_001
fes=CoCreation,56,O5_full_TFC,0.44206931860501203,O2_lag5_AB,0.10586205334332204,0.10528212510354083,0.10586205334332204,0.22454140206591028,-0.07923555246110248,0.44206931860501203,0.014919164228920258,0.0,1,b6j_001
fes=SelfGrowth,90,O1_lag0_AB,0.02876581562713613,O2_lag5_AB,-0.0004216415177550418,0.02876581562713613,-0.0004216415177550418,-0.11973825182781422,-0.04796570873394003,-0.11110162698881473,-0.07383954648920771,0.0,1,b6j_001
fes=Challenge,43,O3_A_C_boundary,0.2721664196194502,O2_lag5_AB,0.025823248899450136,-0.02694163974476972,0.025823248899450136,0.2721664196194502,0.2033743092620355,0.16243368091267285,0.007430451192492218,0.0,1,b6j_001
fes=Activation,110,O1_lag0_AB,0.1628549353263882,O1_lag0_AB,0.1628549353263882,0.1628549353263882,0.010463783122007663,-0.053502587500570124,-0.1087255321895607,-0.07661641228280575,0.1167666830902472,0.0,2,b6j_001
fes=Surprise,124,O7_suppress_event,0.0,O1_lag0_AB,-0.13271386154831774,-0.13271386154831774,-0.11356089561683975,-0.14239194740095004,-0.08255738379712069,-0.2344358714421268,-0.05015119457898269,0.0,2,b6j_001
fes=CoCreation,64,O5_full_TFC,0.32029873572266215,O1_lag0_AB,-0.07984694083991853,-0.07984694083991853,0.07629429001357868,0.2259064609980338,0.04921282681248172,0.32029873572266215,0.04049273309754956,0.0,2,b6j_001
fes=SelfGrowth,74,O1_lag0_AB,0.21297386202682606,O1_lag0_AB,0.21297386202682606,0.21297386202682606,0.10758216251477772,-0.22092747420053543,0.048308359888196165,-0.13300693490892318,-0.11495581759617747,0.0,2,b6j_001
