state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O6_phase_only,fold,condition_id
tfc=low,136,O4_B_C_boundary,0.07865564115848456,O4_B_C_boundary,0.07865564115848456,-0.3905828526279923,-0.03544595277318364,-0.13862837715939694,0.07865564115848456,-0.14374312465961456,-0.04929613962126886,0,b6j_096
tfc=high,113,O1_lag0_AB,0.46337789640795496,O4_B_C_boundary,0.07312051574614244,0.46337789640795496,0.117350488183324,0.20092608594965117,0.07312051574614244,0.31285816759476587,-0.11989835366565296,0,b6j_096
tfc=mid,129,O6_phase_only,0.15428588360176107,O4_B_C_boundary,-0.06536273058058957,-0.14158400822348413,-0.11372620222043447,-0.05980224536615487,-0.06536273058058957,-0.12795253151445005,0.15428588360176107,0,b6j_096
tfc=low,133,O4_B_C_boundary,0.12127109358607763,O2_lag5_AB,-0.01590827928289294,-0.3382701200397593,-0.01590827928289294,-0.12309903542053227,0.12127109358607763,-0.1524147790533031,0.029203012373941382,1,b6j_096
tfc=high,130,O1_lag0_AB,0.5131033766930823,O2_lag5_AB,0.17735270277560933,0.5131033766930823,0.17735270277560933,0.32084627239584446,-0.09426464940967898,0.31532466028185224,-0.13969482571975428,1,b6j_096
tfc=mid,128,O6_phase_only,0.037888688731613204,O2_lag5_AB,-0.03995331876022474,-0.12603788819918718,-0.03995331876022474,-0.19174429577017632,-0.234391945042472,-0.11871346979850421,0.037888688731613204,1,b6j_096
tfc=low,139,O4_B_C_boundary,0.09517419437092632,O1_lag0_AB,-0.3272619036912645,-0.3272619036912645,-0.012318212115532004,-0.2271971083023013,0.09517419437092632,-0.24624833577175886,0.013795011691375607,2,b6j_096
tfc=high,135,O1_lag0_AB,0.4828111799180963,O1_lag0_AB,0.4828111799180963,0.4828111799180963,0.09346621358013472,0.26030765616570983,-0.05781285784465935,0.1782372937111026,-0.10284761135984873,2,b6j_096
tfc=mid,138,O6_phase_only,0.1202371788880507,O1_lag0_AB,-0.016393298214884996,-0.016393298214884996,-0.07639361799380355,-0.1684712125391519,-0.09849014960734692,-0.10533699916690627,0.1202371788880507,2,b6j_096
tfc=high,143,O1_lag0_AB,0.5211421394315862,O3_A_C_boundary,0.32887753669716496,0.5211421394315862,0.17157738072908876,0.32887753669716496,-0.009980536705419391,0.3265754977095631,-0.05441956426707542,3,b6j_096
tfc=low,120,O4_B_C_boundary,0.21929054133679307,O3_A_C_boundary,0.036446897281343774,-0.38060046669866415,-0.12111972856996076,0.036446897281343774,0.21929054133679307,-0.11094369641664648,-0.03090871384743442,3,b6j_096
tfc=mid,128,O6_phase_only,0.03149189712757466,O3_A_C_boundary,-0.11000017678609764,-0.11316898900969963,-0.1332521301667831,-0.11000017678609764,-0.1845537471910748,-0.12718114386804788,0.03149189712757466,3,b6j_096
tfc=low,132,O4_B_C_boundary,0.19711986511865842,O4_B_C_boundary,0.19711986511865842,-0.44255218028484306,0.03988807483616421,-0.18374885923664888,0.19711986511865842,-0.17786457943000417,0.07586684308006618,4,b6j_096
tfc=high,139,O1_lag0_AB,0.4732480008930864,O4_B_C_boundary,0.06464918994735128,0.4732480008930864,0.06986754175770478,0.3476351201927322,0.06464918994735128,0.36102698332030464,-0.08503567425815123,4,b6j_096
tfc=mid,137,O6_phase_only,0.10522839916107668,O4_B_C_boundary,-0.13306100122456352,-0.1413663956075608,-0.10291445742551386,-0.15834691571989457,-0.13306100122456352,-0.14990299853698313,0.10522839916107668,4,b6j_096
