factor,present,n_conditions,success_rate,mean_effect_vs_balanced,mean_effect_vs_frequency,mean_effect_vs_performance,mean_effect_vs_within
fes,True,64,0.125,0.012857653007225663,0.046295010118147135,0.019894923653494056,0.03510212574438307
fes,False,40,0.325,0.031116077131111208,0.11395595321395666,0.06330559897252062,0.07333424245831692
side,True,48,0.22916666666666666,0.0169657838365795,0.06685146008848526,0.03187731708053189,0.0537256001203699
side,False,56,0.17857142857142858,0.02092180492712885,0.07084585554501535,0.0368529804391406,0.04196672917768548
tfc,True,48,0.4375,0.0340628199690359,0.10854040978162845,0.05861945261701143,0.10597269391295155
tfc,False,56,0.0,0.0038247687946724542,0.029156905851872184,0.010110844902661063,-0.010280364614896172
phase,True,48,0.20833333333333334,0.022058934964951243,0.054727281847158964,0.025385032799713464,0.031407313597534084
phase,False,56,0.19642857142857142,0.01582865379875711,0.08297003378634166,0.04334526471995903,0.0642850157005213
