condition_id,state_representation,endpoint_mode,operator_pool,seed,n_folds,min_state_events,n_control_draws,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate
b6j_007,fes_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.004786968275750832,-0.000286051177745624,0.01712520667854314,0.17393042782886844,463,1.0
b6j_007,fes_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.004786968275750832,-0.035842025170444596,0.03849344984129003,0.12355057976809276,463,1.0
b6j_007,fes_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_performance_matched_random,-0.004786968275750832,-0.006147366097737306,0.024013807867422944,0.14594162335065974,463,1.0
b6j_007,fes_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.004786968275750832,0.01153575446762154,-0.012778622060275191,0.6561375449820072,463,1.0
b6j_007,fes_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_oracle,-0.004786968275750832,1.0019491603225386,-1.0404734539789,1.0,463,1.0
b6j_008,fes_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.046255297705995735,-0.025073667279155602,-0.018860630214595983,0.8064774090363854,469,1.0
b6j_008,fes_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.046255297705995735,-0.041693925185815855,0.003569419272611625,0.4570171931227509,469,1.0
b6j_008,fes_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_performance_matched_random,-0.046255297705995735,-0.048315683522976834,-0.005460447449288498,0.5865653738504598,469,1.0
b6j_008,fes_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.046255297705995735,0.0018076479774368885,-0.04979288394791756,0.9088364654138344,469,1.0
b6j_008,fes_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_oracle,-0.046255297705995735,1.112498704331316,-1.182344921483855,1.0,469,1.0
b6j_009,fes_phase,z_reward,full,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,0.01604635340228659,-0.009768242393990057,0.023516477491198805,0.1487405037984806,470,1.0
b6j_009,fes_phase,z_reward,full,60810,5,8,200,true_policy_vs_frequency_matched_random,0.01604635340228659,-0.021905102854193382,0.03481529213875279,0.17073170731707318,470,1.0
b6j_009,fes_phase,z_reward,full,60810,5,8,200,true_policy_vs_performance_matched_random,0.01604635340228659,-0.003715234144127795,0.018381425523941806,0.25189924030387845,470,1.0
b6j_009,fes_phase,z_reward,full,60810,5,8,200,true_policy_vs_within_state_shuffle,0.01604635340228659,0.006437424533644021,0.00730292399466422,0.42463014794082365,470,1.0
b6j_009,fes_phase,z_reward,full,60810,5,8,200,true_policy_vs_oracle,0.01604635340228659,1.2239410650761156,-1.2430350283845224,1.0,470,1.0
b6j_010,fes_phase,z_reward,core_5,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,0.011732521411483099,0.0250836873868958,-0.0017632885296675219,0.5277888844462215,460,1.0
b6j_010,fes_phase,z_reward,core_5,60810,5,8,200,true_policy_vs_frequency_matched_random,0.011732521411483099,-0.00036486414427092415,0.004346334625306046,0.445421831267493,460,1.0
b6j_010,fes_phase,z_reward,core_5,60810,5,8,200,true_policy_vs_performance_matched_random,0.011732521411483099,0.02388267555685977,-0.0005309459562392342,0.500999600159936,460,1.0
b6j_010,fes_phase,z_reward,core_5,60810,5,8,200,true_policy_vs_within_state_shuffle,0.011732521411483099,0.020827096634529016,-0.011675908104624147,0.6317473010795682,460,1.0
b6j_010,fes_phase,z_reward,core_5,60810,5,8,200,true_policy_vs_oracle,0.011732521411483099,1.0578887394678889,-1.0718939356256618,1.0,460,1.0
b6j_011,fes_phase,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,0.028462124665737998,0.01699305987806888,0.013380875267805806,0.25229908036785287,468,1.0
b6j_011,fes_phase,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_frequency_matched_random,0.028462124665737998,0.0010616924774115477,0.021401321332756795,0.2686925229908037,468,1.0
b6j_011,fes_phase,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_performance_matched_random,0.028462124665737998,0.0209473680668411,0.009240680796655396,0.33306677329068374,468,1.0
b6j_011,fes_phase,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_within_state_shuffle,0.028462124665737998,0.014347134686666825,0.01142296195908995,0.3622550979608157,468,1.0
b6j_011,fes_phase,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_oracle,0.028462124665737998,1.067896279433008,-1.076196804566992,1.0,468,1.0
b6j_012,fes_phase,z_reward,no_suppress,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,0.007724573147841332,0.00032496457439289595,0.005398347579217178,0.41583366653338666,462,1.0
b6j_012,fes_phase,z_reward,no_suppress,60810,5,8,200,true_policy_vs_frequency_matched_random,0.007724573147841332,-0.024538345650808258,0.029102661612795115,0.21311475409836064,462,1.0
b6j_012,fes_phase,z_reward,no_suppress,60810,5,8,200,true_policy_vs_performance_matched_random,0.007724573147841332,0.015829879124996667,-0.011012698341227102,0.667732906837265,462,1.0
b6j_012,fes_phase,z_reward,no_suppress,60810,5,8,200,true_policy_vs_within_state_shuffle,0.007724573147841332,0.006193164559040465,0.0009136968143240504,0.49380247900839663,462,1.0
b6j_012,fes_phase,z_reward,no_suppress,60810,5,8,200,true_policy_vs_oracle,0.007724573147841332,1.2219141327632141,-1.2462334525458245,1.0,462,1.0
