condition_id,fold,label,idx_in_session,state_label,true_policy_operator,true_policy_source,true_policy_reward,balanced_pool_shuffle_reward,frequency_matched_random_reward,performance_matched_random_reward,within_state_shuffle_reward,oracle_reward
b6j_082,0,P10,56.0,side=B_side,O4_B_C_boundary,state_mapping,0.09457790960771463,0.09457790960771463,0.22701102757607378,0.09457790960771463,0.3775588346261846,0.8693910891709757
b6j_082,0,P10,64.0,side=A_side,O3_A_C_boundary,state_mapping,,,,0.5841084582126724,0.2890951781124505,0.5841084582126724
b6j_082,0,P10,101.0,side=B_side,O4_B_C_boundary,state_mapping,-0.05680313341560445,-0.05680313341560432,0.13849997293911065,-0.05680313341560445,-0.43135888475919876,0.4135186329079951
b6j_082,0,P10,106.0,side=A_side,O3_A_C_boundary,state_mapping,1.2044993852344357,1.2044993852344401,-0.3173485741868708,0.32186699318395773,-0.18514140786951427,1.4184901906828782
b6j_082,0,P10,132.0,side=A_side,O3_A_C_boundary,state_mapping,0.4638215347564414,0.46382153475644344,0.48324286234349356,0.295611048861285,0.3390583560754585,1.2379931112173788
b6j_082,0,P10,137.0,side=B_side,O4_B_C_boundary,state_mapping,,,,,-0.9948869161964564,-0.701321577854798
b6j_082,0,P10,175.0,side=B_side,O4_B_C_boundary,state_mapping,0.28231844850758364,0.282318448507583,0.29962348758452967,0.28231844850758364,-0.028172572988470604,1.2144270551856815
b6j_082,0,P10,191.0,side=A_side,O3_A_C_boundary,state_mapping,,,,1.6215682323369736,0.7488808051375966,1.6215682323369736
b6j_082,0,P10,228.0,side=B_side,O4_B_C_boundary,state_mapping,-0.5035143348120877,-0.5035143348120856,-0.7075497333031057,-0.5035143348120877,-0.11654535032018577,0.8104734399066915
b6j_082,0,P10,252.0,side=B_side,O4_B_C_boundary,state_mapping,0.5725589871965876,0.5725589871965868,-0.21997096466887284,0.5725589871965876,-0.12003319688682744,0.5725589871965876
b6j_082,0,P10,268.0,side=A_side,O3_A_C_boundary,state_mapping,-0.1504552576601306,-0.1504552576601306,-0.8939273576175866,-0.3670211930045509,-0.47297312309117373,0.38923504906411527
b6j_082,0,P10,289.0,side=A_side,O3_A_C_boundary,state_mapping,-0.45280054927484237,-0.4528005492748409,1.3846244426994,-0.23551228545841035,0.7494812525641764,2.68946248047821
