c_representation,topology_arm,n_nodes,n_directed_edges,topology_notes,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,effect_vs_no_topology_baseline,effect_vs_c8_1,effect_vs_c12_reversed,effect_vs_c12_side_broken,effect_vs_h24_effective_ring_edges_144,effect_vs_h24_degree_matched_null,effect_vs_h24_minimum_factorisation_suite_168
scalar_c,no_topology_baseline,12,0,12 nodes with no coupling edges,134,0.08820281823569451,11.819177643583064,0.017761928386461397,0.004115058100830195,-0.0032174972137772144,0.02111714247422479,0.4472049689440994,0.021714822072915523,0.0052607977531879055,0.6225212790600259,0.013290398316342515,0.551050251830116,0.009443641436689864,0.9947658518823002,0.0010938707890619313,0.017761928386461397,0.004115058100830195,0.6569689955383229,0.04456221780650935,0.12237553595218778,0.014845492660922591,100.0,0.0,0.8523115097293006,0.013958237265544965,0.6639296513008264,0.009195302397599,0.0,0.008434731843956114,-0.00040190540082603657,0.0222199950685604,0.024369650890840228,0.021842485371143753,0.023852716707030677
scalar_c,c12_1_2,12,48,primary Luke/D12RG normalized readout candidate,134,0.08820281823569451,11.819177643583064,0.01865446534528273,0.003154034565758752,0.0023819031941288947,0.014709403512867536,0.12422360248447205,0.021790627878358046,0.004542606671721729,0.6298283207238248,0.01171800720780833,0.5509584088775064,0.009175238999977112,0.9743985668652281,0.0012629721381754732,0.01865446534528273,0.003154034565758752,0.7435811262406136,0.017999949882172014,0.13166950344297218,0.015715259929919633,100.0,0.0,0.8546020415207973,0.010755948618707893,0.657803915391867,0.008911320735444175,0.0008925369588213342,0.009327268802777448,0.0004906315579952976,0.023112532027381734,0.025262187849661562,0.022735022329965087,0.02474525366585201
scalar_c,c12_reversed,12,48,"C12(1,2) with all directed arrows reversed",134,0.08820281823569451,11.819177643583064,0.018163833787287434,0.002993145793902982,0.0009369180107059415,0.006864790880234065,0.22981366459627328,0.021169734743199598,0.004074227171825988,0.6289646163566184,0.01054843873011675,0.5493650175350618,0.008564874914289429,0.9742747564140399,0.0012742560736380651,0.018163833787287434,0.002993145793902982,0.7474546190297667,0.015743660162940567,0.13032519988912225,0.01555042946247882,100.0,0.0,0.8544578855975858,0.010342159282217309,0.6565364176875056,0.007614834819506262,0.00040190540082603657,0.00883663724478215,0.0,0.02262190046938644,0.024771556291666264,0.02224439077196979,0.024254622107856713
scalar_c,c12_side_broken,12,48,degree-matched C12 side-correspondence-broken control,134,0.08820281823569451,11.819177643583064,-0.004458066682099004,0.003061307929817939,-0.004139982082198153,-0.00179916711404449,0.8944099378881988,-0.00553307507738954,0.004379645893591285,0.5031475945797749,0.011240026272931344,0.4683762545082576,0.008532949881635435,0.9379112194175466,0.0019143627178168988,-0.004458066682099004,0.003061307929817939,0.7478763177712059,0.017687873759804087,0.12766518003516314,0.02242424345200409,100.0,0.0,0.810182358452774,0.00977641113209354,0.5148225564910544,0.009151457160162415,-0.0222199950685604,-0.013785263224604287,-0.02262190046938644,0.0,0.0021496558222798253,-0.00037750969741664857,0.001632721638470276
scalar_c,c8_1,8,8,primary non-D12 contrast,134,0.08820281823569451,11.819177643583064,0.009327196542505283,0.0028519788871281364,0.01018602552684317,-0.0026064869416712617,0.42857142857142855,0.015736165328894818,0.004960198033297166,0.4725875590567412,0.011164214245515367,0.5127196019442591,0.009362882630036425,0.8660061015336126,0.002421955720144916,0.009327196542505283,0.0028519788871281364,0.0958137441267927,0.052592981293959,0.22715737112701886,0.01931729004064977,100.0,0.0,0.685451960910158,0.005197540595688349,0.5439102623281056,0.010566145589374073,-0.008434731843956114,0.0,-0.00883663724478215,0.013785263224604287,0.015934919046884113,0.013407753527187639,0.015417984863074562
scalar_c,h24_minimum_factorisation_suite_168,24,168,H24 deterministic factorisation-suite carrier,134,0.08820281823569451,11.819177643583064,-0.00609078832056928,0.0024223996977230447,-0.006464176792642776,-0.002295795063986545,0.937888198757764,-0.006986117576618593,0.0030557573263973845,0.4880470340875555,0.006659099447273463,0.4877208648189598,0.006386195312321437,0.9422505059149202,0.0008006460601779706,-0.00609078832056928,0.0024223996977230447,0.6663882631688762,0.03525265699275855,0.18119132537594249,0.011314529920579594,100.0,0.0,0.9071827844095981,0.006028819835476945,0.5228619533430781,0.007189119473790618,-0.023852716707030677,-0.015417984863074562,-0.024254622107856713,-0.001632721638470276,0.0005169341838095493,-0.0020102313358869245,0.0
scalar_c,h24_effective_ring_edges_144,24,144,H24 deterministic factorisation-suite carrier,134,0.08820281823569451,11.819177643583064,-0.006607722504378829,0.0020012553782586175,-0.009438764584478931,-0.007786320240755526,1.0,-0.007497607535663531,0.0026087697823122705,0.4865337112633016,0.007080070731813265,0.4908553999741015,0.005310401081513406,0.9447537373206707,0.0007155375787981746,-0.006607722504378829,0.0020012553782586175,0.6695150038872411,0.029938367202526357,0.18085103656629203,0.012266736277651263,100.0,0.0,0.9071168473164555,0.0071118512932101426,0.5222784306985376,0.005201413957245967,-0.024369650890840228,-0.015934919046884113,-0.024771556291666264,-0.0021496558222798253,0.0,-0.002527165519696474,-0.0005169341838095493
scalar_c,h24_c8_stitched_derived_216,24,216,H24 deterministic factorisation-suite carrier,134,0.08820281823569451,11.819177643583064,-0.002948020253958481,0.0022637925047609086,-0.0015085775944797023,-0.017468822425620308,0.8881987577639752,-0.0033714393786891395,0.002962310880264492,0.493136932041757,0.005994142511003366,0.4755845790776009,0.0061172599414623776,0.9385744538005575,0.000734665176010673,-0.002948020253958481,0.0022637925047609086,0.6627107521281088,0.032507344809297956,0.18180167187360366,0.010267688213656647,100.0,0.0,0.9111919013723485,0.007264601920328189,0.5216264214849092,0.005056112014534149,-0.02070994864041988,-0.012275216796463765,-0.021111854041245916,0.0015100464281405232,0.0036597022504203484,0.0011325367307238746,0.003142768066610799
scalar_c,h24_degree_matched_null,24,168,degree-matched random graph for canonical H24 168,134,0.08820281823569451,11.819177643583064,-0.0040805569846823556,0.0019068981400407299,-0.005799242450686118,-0.0034041646157927396,0.9751552795031055,-0.0042334508946777535,0.002446527517557764,0.5211987976776455,0.007623985648137771,0.4798722780731173,0.006389272729040228,0.9701079723568153,0.0010447398681800704,-0.0040805569846823556,0.0019068981400407299,0.7878122036907756,0.016621036451124425,0.1799470360801038,0.01107762827014661,100.0,0.0,0.8955605124332534,0.008292179460433806,0.5308785165540213,0.006267314070657569,-0.021842485371143753,-0.013407753527187639,-0.02224439077196979,0.00037750969741664857,0.002527165519696474,0.0,0.0020102313358869245
directed_c,no_topology_baseline,12,0,12 nodes with no coupling edges,132,0.0811817950301883,10.715996943984855,0.024243956036734016,0.002613435774035688,0.011058815916445636,0.010383266457729749,0.006211180124223602,0.029417624519104613,0.003289183464132703,0.7360669471501907,0.011072591444783059,0.6688913693109905,0.011346149714216892,0.9949336613067427,0.0007947371523963045,0.024243956036734016,0.002613435774035688,0.84630819028938,0.018125150738913264,0.09727795821398486,0.01602138025219418,96.0,0.0,0.8189540523068976,0.02179047049837599,0.7405572101862048,0.009743549065153697,0.0,0.026218453600000625,-0.002747949150941148,0.02385531879445858,0.01822728291854174,0.028093492692590424,0.018642669180601933
