src,dst
0,1
0,2
0,4
0,6
0,8
0,12
1,2
1,3
1,5
1,7
1,9
1,13
2,3
2,4
2,6
2,8
2,10
2,14
3,4
3,5
3,7
3,9
3,11
3,15
4,5
4,6
4,8
4,10
4,12
4,16
5,6
5,7
5,9
5,11
5,13
5,17
6,7
6,8
6,10
6,12
6,14
6,18
7,8
7,9
7,11
7,13
7,15
7,19
8,9
8,10
8,12
8,14
8,16
8,20
9,10
9,11
9,13
9,15
9,17
9,21
10,11
10,12
10,14
10,16
10,18
10,22
11,12
11,13
11,15
11,17
11,19
11,23
12,0
12,13
12,14
12,16
12,18
12,20
13,1
13,14
13,15
13,17
13,19
13,21
14,2
14,15
14,16
14,18
14,20
14,22
15,3
15,16
15,17
15,19
15,21
15,23
16,0
16,4
16,17
16,18
16,20
16,22
17,1
17,5
17,18
17,19
17,21
17,23
18,0
18,2
18,6
18,19
18,20
18,22
19,1
19,3
19,7
19,20
19,21
19,23
20,0
20,2
20,4
20,8
20,21
20,22
21,1
21,3
21,5
21,9
21,22
21,23
22,0
22,2
22,4
22,6
22,10
22,23
23,0
23,1
23,3
23,5
23,7
23,11
