mode,endpoint,fold,label,idx_in_session,direction,c_kind,true_state_label,used_state_label,access_readout,baseline_max,access_effect
combined_c_fes_gmr72,z_reward,0,P18,29.0,B_to_C_to_A,balanced_c,side=B_side|tfc=low|phase=q4|fes=Surprise,BALANCED_C_NO_STATE,-0.5237327868278182,-0.09683617277604716,-0.42689661405177104
combined_c_fes_gmr72,z_reward,0,P18,29.0,B_to_C_to_A,foreign_label_c,side=B_side|tfc=low|phase=q4|fes=Surprise,side=B_side|tfc=mid|phase=q4|fes=Surprise,-0.5464220049238487,-0.09683617277604716,-0.44958583214780157
combined_c_fes_gmr72,z_reward,0,P18,41.0,A_to_C_to_B,true_c,side=B_side|tfc=low|phase=q1|fes=Surprise,side=B_side|tfc=low|phase=q1|fes=Surprise,0.31495790933945383,0.48753451189914865,-0.17257660255969481
combined_c_fes_gmr72,z_reward,0,P18,41.0,A_to_C_to_B,shuffled_c,side=B_side|tfc=low|phase=q1|fes=Surprise,side=B_side|tfc=mid|phase=q1|fes=Surprise,-0.08928822497668448,0.48753451189914865,-0.5768227368758332
combined_c_fes_gmr72,z_reward,0,P18,41.0,A_to_C_to_B,phase_rotated_c,side=B_side|tfc=low|phase=q1|fes=Surprise,side=B_side|tfc=low|phase=q2|fes=Surprise,-0.458995615750789,0.48753451189914865,-0.9465301276499376
combined_c_fes_gmr72,z_reward,0,P18,41.0,A_to_C_to_B,random_c,side=B_side|tfc=low|phase=q1|fes=Surprise,side=A_side|tfc=low|phase=q4|fes=Surprise,-0.458995615750789,0.48753451189914865,-0.9465301276499376
combined_c_fes_gmr72,z_reward,0,P18,41.0,A_to_C_to_B,balanced_c,side=B_side|tfc=low|phase=q1|fes=Surprise,BALANCED_C_NO_STATE,-0.4099900504502537,0.48753451189914865,-0.8975245623494024
combined_c_fes_gmr72,z_reward,0,P18,41.0,A_to_C_to_B,foreign_label_c,side=B_side|tfc=low|phase=q1|fes=Surprise,side=B_side|tfc=mid|phase=q1|fes=Surprise,-0.08928822497668448,0.48753451189914865,-0.5768227368758332
combined_c_fes_gmr72,z_reward,0,P18,41.0,B_to_C_to_A,true_c,side=B_side|tfc=low|phase=q1|fes=Surprise,side=B_side|tfc=low|phase=q1|fes=Surprise,-0.2669271969176086,0.48753451189914865,-0.7544617088167572
combined_c_fes_gmr72,z_reward,0,P18,41.0,B_to_C_to_A,shuffled_c,side=B_side|tfc=low|phase=q1|fes=Surprise,side=B_side|tfc=mid|phase=q1|fes=Surprise,-0.7286813977050778,0.48753451189914865,-1.2162159096042264
combined_c_fes_gmr72,z_reward,0,P18,41.0,B_to_C_to_A,phase_rotated_c,side=B_side|tfc=low|phase=q1|fes=Surprise,side=B_side|tfc=low|phase=q2|fes=Surprise,-0.6924657911120661,0.48753451189914865,-1.1800003030112147
combined_c_fes_gmr72,z_reward,0,P18,41.0,B_to_C_to_A,random_c,side=B_side|tfc=low|phase=q1|fes=Surprise,side=B_side|tfc=mid|phase=q1|fes=Activation,-0.32184329696796554,0.48753451189914865,-0.8093778088671142
combined_c_fes_gmr72,z_reward,0,P18,41.0,B_to_C_to_A,balanced_c,side=B_side|tfc=low|phase=q1|fes=Surprise,BALANCED_C_NO_STATE,-0.6812601716150485,0.48753451189914865,-1.1687946835141971
combined_c_fes_gmr72,z_reward,0,P18,41.0,B_to_C_to_A,foreign_label_c,side=B_side|tfc=low|phase=q1|fes=Surprise,side=B_side|tfc=high|phase=q1|fes=Surprise,-0.5269367502246316,0.48753451189914865,-1.0144712621237804
combined_c_fes_gmr72,z_reward,0,P18,49.0,A_to_C_to_B,true_c,side=B_side|tfc=low|phase=q4|fes=Challenge,side=B_side|tfc=low|phase=q4|fes=Challenge,-0.6123711837533695,0.22345820417846152,-0.835829387931831
combined_c_fes_gmr72,z_reward,0,P18,49.0,A_to_C_to_B,shuffled_c,side=B_side|tfc=low|phase=q4|fes=Challenge,side=A_side|tfc=low|phase=q1|fes=Activation,-0.6123711837533695,0.22345820417846152,-0.835829387931831
combined_c_fes_gmr72,z_reward,0,P18,49.0,A_to_C_to_B,phase_rotated_c,side=B_side|tfc=low|phase=q4|fes=Challenge,side=B_side|tfc=low|phase=q1|fes=Challenge,-0.6123711837533695,0.22345820417846152,-0.835829387931831
combined_c_fes_gmr72,z_reward,0,P18,49.0,A_to_C_to_B,random_c,side=B_side|tfc=low|phase=q4|fes=Challenge,side=B_side|tfc=high|phase=q4|fes=Surprise,-0.9084410467058092,0.22345820417846152,-1.1318992508842707
combined_c_fes_gmr72,z_reward,0,P18,49.0,A_to_C_to_B,balanced_c,side=B_side|tfc=low|phase=q4|fes=Challenge,BALANCED_C_NO_STATE,-0.5705827636006989,0.22345820417846152,-0.7940409677791604
combined_c_fes_gmr72,z_reward,0,P18,49.0,A_to_C_to_B,foreign_label_c,side=B_side|tfc=low|phase=q4|fes=Challenge,side=B_side|tfc=high|phase=q1|fes=Challenge,-0.6123711837533695,0.22345820417846152,-0.835829387931831
combined_c_fes_gmr72,z_reward,0,P18,49.0,B_to_C_to_A,true_c,side=B_side|tfc=low|phase=q4|fes=Challenge,side=B_side|tfc=low|phase=q4|fes=Challenge,-0.6966488196821397,0.22345820417846152,-0.9201070238606012
