mode,endpoint,direction,fake_c_kind,mean_true_c,mean_fake_c,effect_true_minus_fake,p_true_greater,n_pairs,passes
combined_c_fes_gmr72,z_reward,A_to_C_to_B,shuffled_c,-0.6942901320995857,-0.6850489422783131,-0.009241189821272498,0.7076584683063387,502,False
combined_c_fes_gmr72,z_reward,A_to_C_to_B,phase_rotated_c,-0.6942901320995857,-0.7104793933670293,0.016189261267443626,0.11477704459108179,502,False
combined_c_fes_gmr72,z_reward,A_to_C_to_B,random_c,-0.6942901320995857,-0.7094838802994905,0.015193748199904954,0.21315736852629474,502,False
combined_c_fes_gmr72,z_reward,A_to_C_to_B,balanced_c,-0.6942901320995857,-0.7140804129272932,0.01979028082770758,0.0623875224955009,502,False
combined_c_fes_gmr72,z_reward,A_to_C_to_B,foreign_label_c,-0.6942901320995857,-0.688532415247349,-0.005757716852236554,0.6290741851629674,502,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,shuffled_c,-0.7011236835949192,-0.6979139821051658,-0.0032097014897534597,0.5812837432513497,502,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,phase_rotated_c,-0.7011236835949192,-0.7042888920717293,0.003165208476809973,0.39332133573285344,502,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,random_c,-0.7011236835949192,-0.7239698426302584,0.022846159035339274,0.08458308338332333,502,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,balanced_c,-0.7011236835949192,-0.7179173728310504,0.0167936892361312,0.0625874825034993,502,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,foreign_label_c,-0.7011236835949192,-0.7232449825649441,0.02212129897002487,0.08478304339132174,502,False
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,shuffled_c,-0.6808451716486503,-0.6839657404966729,0.0031205688480227113,0.4289142171565687,502,False
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,phase_rotated_c,-0.6808451716486503,-0.7050139234646563,0.024168751816006084,0.038792241551689664,502,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,random_c,-0.6808451716486503,-0.7116161142556532,0.03077094260700306,0.04359128174365127,502,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,balanced_c,-0.6808451716486503,-0.7143325140564794,0.033487342407829045,0.00599880023995201,502,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,foreign_label_c,-0.6808451716486503,-0.6793954030923826,-0.0014497685562676313,0.529494101179764,502,False
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,shuffled_c,-0.6880821651811744,-0.6905362752772111,0.002454110096036632,0.4449110177964407,502,False
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,phase_rotated_c,-0.6880821651811744,-0.6988522295441484,0.010770064362973935,0.19816036792641473,502,False
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,random_c,-0.6880821651811744,-0.7215431374445187,0.03346097226334419,0.02399520095980804,502,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,balanced_c,-0.6880821651811744,-0.717347918867321,0.029265753686146454,0.007198560287942412,502,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,foreign_label_c,-0.6880821651811744,-0.7298565506185655,0.04177438543739104,0.007198560287942412,502,True
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,shuffled_c,-0.2711947236263213,-0.2654879672222371,-0.0057067564040841606,0.8162367526494702,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,phase_rotated_c,-0.2711947236263213,-0.27425955300470845,0.0030648293783871023,0.22035592881423716,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,random_c,-0.2711947236263213,-0.27362838482333207,0.0024336611970107677,0.3667266546690662,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,balanced_c,-0.2711947236263213,-0.27687332890592253,0.005678605279601256,0.08318336332733453,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,foreign_label_c,-0.2711947236263213,-0.26868494817517957,-0.0025097754511418037,0.6820635872825435,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,shuffled_c,-0.27593435678726713,-0.2684983112958714,-0.007436045491395804,0.9092181563687263,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,phase_rotated_c,-0.27593435678726713,-0.2743236388990693,-0.0016107178881978636,0.6900619876024795,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,random_c,-0.27593435678726713,-0.2834650008195197,0.007530644032252605,0.09058188362327535,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,balanced_c,-0.27593435678726713,-0.2773493154866781,0.0014149586994109883,0.3301339732053589,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,foreign_label_c,-0.27593435678726713,-0.2843473230452241,0.008412966257956914,0.05318936212757448,502,False
gmr72_phase_conditioned,z_reward,A_to_C_to_B,shuffled_c,-0.6810334129630352,-0.7158912384988285,0.03485782553579332,0.004199160167966407,502,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,phase_rotated_c,-0.6810334129630352,-0.7105032102892846,0.02946979732624951,0.0057988402319536095,502,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,random_c,-0.6810334129630352,-0.7040617977098979,0.023028384746862696,0.03659268146370726,502,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,balanced_c,-0.6810334129630352,-0.7140804129272932,0.033046999964257986,0.0005998800239952009,502,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,foreign_label_c,-0.6810334129630352,-0.7100558994161993,0.029022486453164215,0.017196560687862426,502,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,shuffled_c,-0.6626310745526107,-0.7307207826722844,0.0680897081196736,0.0001999600079984003,502,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,phase_rotated_c,-0.6626310745526107,-0.6949590290457568,0.032327954493145926,0.0061987602479504095,502,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,random_c,-0.6626310745526107,-0.7273450260957689,0.0647139515431581,0.0001999600079984003,502,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,balanced_c,-0.6626310745526107,-0.7179173728310504,0.05528629827843966,0.0001999600079984003,502,True
