c_representation,hadamard_only_mean,hadamard_plus_threefold_mean,c12_mean,threefold_gain_over_hadamard,sqrt2_scaled_out_effect,hadamard_plus_threefold_vs_no_topology_baseline,hadamard_plus_threefold_vs_c12_reversed,hadamard_plus_threefold_vs_c12_side_broken,hadamard_plus_threefold_vs_c12_shuffled,hadamard_plus_threefold_vs_c10,hadamard_plus_threefold_vs_c11,hadamard_plus_threefold_vs_c13,hadamard_plus_threefold_vs_c14,hadamard_plus_threefold_vs_broken_threefold_neighbor,hadamard_plus_threefold_vs_broken_threefold_random,threefold_positive_specificity_controls,threefold_min_specificity_margin
phi_differential_invariant_c,0.01895761150496758,0.018866675987160242,0.029176479004596186,-9.0935517807339e-05,-0.0054691623692201385,-0.0033800400210697683,-0.010265183902226565,0.017971352213103847,0.009733869365763209,0.02532117381066152,0.027406697006341574,0.019382722400819317,0.019404254896487404,-0.0009759544071223092,0.012894765034266419,7,-0.010265183902226565
receiver_only_c,0.03323978488352727,0.032519251858812014,0.03693080544320859,-0.000720533024715253,-0.009421530666652456,-0.0023077728554056626,-0.0056972479299236545,0.016077160914367398,0.02116589536369653,0.03823288903490361,0.043253487634433575,0.038069062665246255,0.03916394923426406,-0.0003956031953521316,0.01182320218789527,7,-0.0056972479299236545
phi_eigen_energy_c,0.03849313784282669,0.037230496296888245,0.04700180035715168,-0.0012626415459384421,-0.01617935320642109,-0.00661040716003318,-0.01041884468477585,0.022950149290236588,0.022927961218059144,0.047491727831803755,0.050446288174586365,0.04346772262082097,0.03922229413121137,-0.0005311933792628218,0.0294627117357676,7,-0.01041884468477585
receiver_standpoint_magnitude_c,0.025192517565930796,0.023871123994614763,0.03886865355189572,-0.0013213935713160332,-0.008149322158711968,-0.008001639396465424,-0.01440922435046869,0.023256421460390007,0.019435768579563167,0.03252675020936931,0.03547749484678841,0.025683796712963714,0.021665417110042336,-0.0006259648788722108,0.008412006101351063,7,-0.01440922435046869
