event_class,label,task_idx,phase,strength,event_rule
reverse_only_c_to_ab,P18,228.0,0.1023438565143076,0.19961313891568502,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P18,321.0,0.0996757467629489,0.2822807015421249,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P19,95.0,-0.0372145670299427,0.3012566632044028,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P19,249.0,-0.2166070472298696,0.7624280618068506,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P19,351.0,0.2140158557017644,0.6155519572070454,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P19,384.0,0.189903492956658,2.459068183052073,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P19,398.0,-0.240070836706086,1.8732317893865351,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P2,106.0,-0.1221769944153266,4.701831383825657,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P2,146.0,0.0636796371990668,0.8688647070288649,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P2,173.0,-0.0693785013483995,0.6635317651833142,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P2,177.0,0.0422270737310269,0.44071328709810226,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P2,384.0,0.1691058364940951,0.772502999536956,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P20,73.0,0.0763496563456038,1.6184176342985754,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P20,123.0,0.0136020972949251,1.806453249954722,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P20,217.0,0.1284856019267746,1.7810805582602398,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P20,292.0,-0.0250135175248449,2.6575807961098645,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P20,401.0,-0.0642257535482894,1.158223094794774,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P21,30.0,-0.0927524998274533,1.2938100426770167,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P21,89.0,0.0099402080048187,1.877338672505816,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P21,106.0,-0.0621356562944574,1.859585935919995,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P21,366.0,-0.0247931101578713,1.1894668858947066,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P22,36.0,0.1460759653187145,0.1937499182860763,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P22,84.0,-0.0967359465212246,0.8527032572694352,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P22,148.0,-0.1115748389217627,1.7921300983274515,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P22,352.0,0.0127533147273151,0.26706739802155105,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P23,32.0,0.1994415905573427,1.6118156599107696,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P23,106.0,-0.1296510647376411,1.3322674679558557,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P23,284.0,0.1668392039717959,1.1853547589129878,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P23,294.0,-0.0389520145789771,2.7629191964035935,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P24,111.0,0.0629971334798379,0.6156272612304599,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P24,124.0,-0.1508132831211058,1.5356528997563759,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P24,199.0,0.0172582460846137,0.5871036829461492,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P24,280.0,-0.0556276951131154,4.5759241978564456,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P24,335.0,0.091231731891264,1.2921784455814838,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P24,368.0,-0.1255581711084797,0.6243074962888203,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P25,40.0,0.2683278310024092,1.4354749807057656,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P25,240.0,-0.0424858000255644,0.9463099730732839,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P25,332.0,0.2403968423383006,0.7938192880113157,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P25,360.0,0.2201611355855036,2.0954955159446538,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P25,404.0,-0.1847876042638157,5.138317202484885,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P26,96.0,-0.1947432835607176,2.2505968338157003,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P26,104.0,0.2387073865091336,0.3996009259885983,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P26,159.0,0.3638139891886325,0.7126936154704334,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P26,182.0,0.1335158498919364,1.3088951529459023,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P26,269.0,-0.1035347906273149,0.5870578258180666,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P3,69.0,0.0970397141830567,0.4640482899781152,per-label top 0.75 of reverse_only_c_to_ab
