representation_arm,arm_family,c12_readout,no_topology_readout,effect_vs_no_topology,n_positive_specificity_controls,min_specificity_margin,mean_ring_share_readout,mean_swapped_ring_readout,effect_vs_ring_share_mean,effect_vs_swapped_ring_mean,n_events,survivor_event_fraction,survivor_strength_fraction,top4_labels_by_event_strength,top4_survivor_overlap,top4_precision_vs_registered,top4_recall_vs_registered,top4_jaccard_vs_registered
reverse_only_c_to_ab,reverse_only,0.032143316955709524,0.025846667298824576,0.006296649656884947,9,-0.0005500059658835876,0.02979483803550022,0.02625010948933289,0.002348478920209302,0.005893207466376633,132,0.1590909090909091,0.1685045237897222,P13|P20|P24|P25,0,0.0,0.0,0.0
reverse_plus_endpoint_direct_ab,reverse_plus_endpoint_direct_ab,0.028575155218980536,0.026222770982641187,0.00235238423633935,10,0.0001480628931665104,0.028177271572370433,0.03029032021501018,0.0003978836466101039,-0.0017151649960296424,131,0.16030534351145037,0.1384644347556814,P8|P17|P20|P24,0,0.0,0.0,0.0
reverse_plus_receiver_ab,reverse_plus_receiver_ab,0.025547972319439564,0.024288282773927663,0.0012596895455119009,9,-0.000931369682230284,0.025662865400531445,0.02190784857203256,-0.00011489308109188107,0.003640123747407003,132,0.1590909090909091,0.1842883634733125,P3|P10|P13|P25,1,0.25,0.25,0.14285714285714285
reverse_plus_standpoint_ab,reverse_plus_standpoint_ab,0.029566999822088536,0.023457885068132747,0.006109114753955789,9,-0.0017309494324584847,0.027321027524222847,0.024397481380346062,0.0022459722978656893,0.005169518441742474,132,0.1590909090909091,0.1723608599546911,P10|P13|P20|P25,1,0.25,0.25,0.14285714285714285
reverse_plus_magnitude_ab,reverse_plus_magnitude_ab,0.02917959057055267,0.02388414169270275,0.005295448877849919,9,-0.0011372967930392691,0.027527186200053528,0.023491518249273168,0.0016524043704991415,0.005688072321279502,132,0.1590909090909091,0.1723608599546911,P10|P13|P20|P25,1,0.25,0.25,0.14285714285714285
reverse_plus_receiver_standpoint_ab,reverse_plus_receiver_standpoint_ab,0.02669989131477869,0.02366742463378078,0.0030324666809979084,9,-0.0011218598906412233,0.024593830040193256,0.020735240966792898,0.0021060612745854336,0.005964650347985791,132,0.1590909090909091,0.1776584420665357,P3|P10|P13|P25,1,0.25,0.25,0.14285714285714285
reverse_plus_receiver_magnitude_ab,reverse_plus_receiver_magnitude_ab,0.026685828460271954,0.024457132019702035,0.0022286964405699196,9,-1.4929598136481648e-05,0.024831007794786645,0.020109774423372716,0.0018548206654853093,0.0065760540368992385,132,0.1590909090909091,0.1776584420665357,P3|P10|P13|P25,1,0.25,0.25,0.14285714285714285
reverse_plus_standpoint_magnitude_ab,reverse_plus_standpoint_magnitude_ab,0.02982126821253962,0.024623431562324594,0.005197836650215025,9,-0.0004760345884196951,0.028001193425244004,0.023586423316997084,0.0018200747872956155,0.006234844895542536,132,0.1590909090909091,0.1726609689624267,P10|P13|P20|P25,1,0.25,0.25,0.14285714285714285
reverse_plus_receiver_standpoint_magnitude_ab,reverse_plus_receiver_standpoint_magnitude_ab,0.027233377834848943,0.0253431111972799,0.0018902666375690443,9,-0.0020468483484262917,0.02531360457244383,0.02143127275370263,0.0019197732624051146,0.005802105081146314,132,0.1590909090909091,0.176072329836919,P10|P13|P20|P25,1,0.25,0.25,0.14285714285714285
full_self_consistent_rstar,full_self_consistent_rstar,0.0288624306243123,0.02384379294753507,0.005018637676777231,10,0.0011243790552571131,0.02557133728061766,0.020780152025259176,0.0032910933436946406,0.008082278599053125,132,0.1590909090909091,0.17461867504757617,P10|P13|P20|P25,1,0.25,0.25,0.14285714285714285
