source,representation_arm,topology_arm,metric,value,nearest_target_fraction,abs_error_to_target,is_close_to_target,top4_labels_by_event_strength,resonance_tags
topology_increment_vs_reverse_scaled,reverse_plus_receiver_ab,ring_edge_swapped_c12_1_7,abs_increment_over_reverse_fraction,0.1881763002192756,2/11,0.006358118401093765,True,,x3_or_7mod12_proxy|ring_edge_swapped
representation_event_localization,full_self_consistent_rstar,representation_events,survivor_strength_fraction,0.17461867504757617,2/11,0.007199506770605657,True,P10|P13|P20|P25,5_or_10_ring_proxy
survivor_strength_fraction_increment_arm,full_self_consistent_rstar,representation_events,survivor_strength_fraction,0.17461867504757617,2/11,0.007199506770605657,True,,survivor_strength
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_ab,ring_share_c12_plus_5,abs_increment_over_reverse_fraction,0.1741185973379705,2/11,0.0076995844802113245,True,,5_or_10_ring_proxy|ring_sharing
topology_increment_vs_reverse_scaled,full_self_consistent_rstar,ring_edge_swapped_c12_1_7,abs_increment_over_reverse_fraction,0.1896266526177482,2/11,0.007808470799566369,True,,x3_or_7mod12_proxy|ring_edge_swapped
topology_increment_vs_reverse_scaled,reverse_plus_receiver_ab,c12_reversed,abs_increment_over_reverse_fraction,0.1900688080812699,2/11,0.00825062626308809,True,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_standpoint_ab,c14,abs_increment_over_reverse_fraction,0.1727203141407891,2/11,0.009097867677392735,True,,unassigned
representation_event_localization,reverse_plus_standpoint_magnitude_ab,representation_events,survivor_strength_fraction,0.1726609689624267,2/11,0.009157212855755131,True,P10|P13|P20|P25,5_or_10_ring_proxy
survivor_strength_fraction_increment_arm,reverse_plus_standpoint_magnitude_ab,representation_events,survivor_strength_fraction,0.1726609689624267,2/11,0.009157212855755131,True,,survivor_strength
representation_event_localization,reverse_plus_standpoint_ab,representation_events,survivor_strength_fraction,0.1723608599546911,2/11,0.009457321863490714,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_magnitude_ab,representation_events,survivor_strength_fraction,0.1723608599546911,2/11,0.009457321863490714,True,P10|P13|P20|P25,5_or_10_ring_proxy
survivor_strength_fraction_increment_arm,reverse_plus_standpoint_ab,representation_events,survivor_strength_fraction,0.1723608599546911,2/11,0.009457321863490714,True,,survivor_strength
survivor_strength_fraction_increment_arm,reverse_plus_magnitude_ab,representation_events,survivor_strength_fraction,0.1723608599546911,2/11,0.009457321863490714,True,,survivor_strength
topology_increment_vs_reverse_scaled,reverse_plus_receiver_magnitude_ab,edge_count_matched_null,abs_increment_over_reverse_fraction,0.7412092816175115,3/4,0.00879071838248846,True,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_ab,phase_target_shuffled_c12,abs_increment_over_reverse_fraction,0.48890689648861235,1/2,0.011093103511387647,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_endpoint_direct_ab,edge_count_matched_null,abs_increment_over_reverse_fraction,0.5140559685613132,1/2,0.014055968561313192,False,,unassigned
topology_increment_vs_reverse_scaled,full_self_consistent_rstar,c14,abs_increment_over_reverse_fraction,0.4716575287010002,1/2,0.028342471298999805,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_ab,c12_side_broken,abs_increment_over_reverse_fraction,0.5331648190206063,1/2,0.033164819020606306,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_magnitude_ab,degree_matched_null,abs_increment_over_reverse_fraction,0.5443038851095233,1/2,0.04430388510952332,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_endpoint_direct_ab,c12_side_broken,abs_increment_over_reverse_fraction,0.5707347948373356,1/2,0.07073479483733558,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_receiver_magnitude_ab,c13,abs_increment_over_reverse_fraction,0.5778340607784738,1/2,0.07783406077847377,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_standpoint_magnitude_ab,c12_side_broken,abs_increment_over_reverse_fraction,0.5915532155764268,1/2,0.09155321557642682,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_magnitude_ab,phase_target_shuffled_c12,abs_increment_over_reverse_fraction,0.6106755027335564,1/2,0.11067550273355642,False,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_ab,ring_edge_swapped_c12_1_7,abs_increment_over_reverse_fraction,0.23555361810634745,1/4,0.014446381893652549,False,,x3_or_7mod12_proxy|ring_edge_swapped
topology_increment_vs_reverse_scaled,full_self_consistent_rstar,ring_edge_swapped_c12_1_5,abs_increment_over_reverse_fraction,0.2272808571953027,1/4,0.022719142804697307,False,,5_or_10_ring_proxy|ring_edge_swapped
