state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O7_suppress_event,fold,condition_id
side=B_side|tfc=low,74,O4_B_C_boundary,0.20534018717434066,O1_lag0_AB,-0.18430241851377088,-0.18430241851377088,-0.07489121113796252,-0.2751933650984191,0.20534018717434066,-0.18857746441303772,0.0,0,b6e_robust_035
side=A_side|tfc=low,52,O3_A_C_boundary,0.1524795703684024,O1_lag0_AB,-0.3922288472742433,-0.3922288472742433,0.06408544361438276,0.1524795703684024,-0.1267877189254589,0.012840301777682129,0.0,0,b6e_robust_035
side=A_side|tfc=high,50,O3_A_C_boundary,0.4142184213702085,O1_lag0_AB,0.3505330802346906,0.3505330802346906,-0.013574959345498966,0.4142184213702085,0.33141799607820066,0.3337402422459914,0.0,0,b6e_robust_035
side=B_side|tfc=high,82,O1_lag0_AB,0.46979799557395907,O1_lag0_AB,0.46979799557395907,0.46979799557395907,0.18228338886570686,0.057104660367223524,-0.0929058948761453,0.2951847744229856,0.0,0,b6e_robust_035
side=B_side|tfc=mid,86,O1_lag0_AB,0.040368866186130684,O1_lag0_AB,0.040368866186130684,0.040368866186130684,-0.06773343132679044,-0.2489667338730263,-0.10805084851539391,-0.1900094741713188,0.0,0,b6e_robust_035
side=A_side|tfc=mid,39,O7_suppress_event,0.0,O1_lag0_AB,-0.08389085891454762,-0.08389085891454762,-0.14869894788824897,-0.08319058593851052,-0.065539425432545,-0.13645852162741104,0.0,0,b6e_robust_035
side=B_side|tfc=high,77,O1_lag0_AB,0.4000769997100582,O3_A_C_boundary,0.15937877094334707,0.4000769997100582,0.0884021239567439,0.15937877094334707,-0.08415204524166672,0.30924072351007564,0.0,1,b6e_robust_035
side=A_side|tfc=high,54,O3_A_C_boundary,0.6610518627030805,O3_A_C_boundary,0.6610518627030805,0.42354085375749395,0.17510141475425864,0.6610518627030805,0.0011335104299179972,0.4474335605985723,0.0,1,b6e_robust_035
side=A_side|tfc=low,56,O3_A_C_boundary,0.3273444717811911,O3_A_C_boundary,0.3273444717811911,-0.5456445596014228,0.09206450820457415,0.3273444717811911,0.06416485335036823,0.08191063485728177,0.0,1,b6e_robust_035
side=B_side|tfc=low,79,O4_B_C_boundary,0.21859258690995775,O3_A_C_boundary,-0.3425743266419031,-0.299442319727087,-0.092425593037172,-0.3425743266419031,0.21859258690995775,-0.2980453042843965,0.0,1,b6e_robust_035
side=A_side|tfc=mid,46,O3_A_C_boundary,0.05751998829074171,O3_A_C_boundary,0.05751998829074171,-0.3386342709404138,-0.30336517938216034,0.05751998829074171,-0.29641234956255347,-0.20881329804341311,0.0,1,b6e_robust_035
side=B_side|tfc=mid,80,O2_lag5_AB,0.01365574841279466,O3_A_C_boundary,-0.21772709457295475,-0.03535288076036587,0.01365574841279466,-0.21772709457295475,-0.0892872247023442,-0.13565840914588967,0.0,1,b6e_robust_035
side=B_side|tfc=low,81,O4_B_C_boundary,0.1861112066536633,O3_A_C_boundary,-0.3517703481104095,-0.3012404689240592,-0.07661467703282167,-0.3517703481104095,0.1861112066536633,-0.22259367220460335,0.0,2,b6e_robust_035
side=A_side|tfc=low,55,O3_A_C_boundary,0.44945935971609835,O3_A_C_boundary,0.44945935971609835,-0.3995957893861246,0.03227996919039244,0.44945935971609835,-0.014474392956544485,0.044692278174624164,0.0,2,b6e_robust_035
side=A_side|tfc=high,56,O3_A_C_boundary,0.5848156577853496,O3_A_C_boundary,0.5848156577853496,0.4475481253621753,0.1987190664430448,0.5848156577853496,0.04547937559492661,0.3696732163647389,0.0,2,b6e_robust_035
side=B_side|tfc=high,74,O1_lag0_AB,0.4097993084732181,O3_A_C_boundary,-0.01736994791889984,0.4097993084732181,0.059676647938200614,-0.01736994791889984,-0.052468169499315445,0.17375181106983095,0.0,2,b6e_robust_035
side=B_side|tfc=mid,94,O7_suppress_event,0.0,O3_A_C_boundary,-0.21148800369259635,-0.07168206941354759,-0.12917920793106896,-0.21148800369259635,-0.08756854151497773,-0.1724362697858585,0.0,2,b6e_robust_035
side=A_side|tfc=mid,44,O3_A_C_boundary,0.06238458866687847,O3_A_C_boundary,0.06238458866687847,-0.367622181942359,-0.26487902966096155,0.06238458866687847,-0.2106345098039887,-0.1720851642419024,0.0,2,b6e_robust_035
side=B_side|tfc=low,80,O4_B_C_boundary,0.12670348906032558,O2_lag5_AB,-0.022055926564648092,-0.2541430029104929,-0.022055926564648092,-0.36122409465124294,0.12670348906032558,-0.22575392986746004,0.0,3,b6e_robust_035
side=A_side|tfc=low,52,O3_A_C_boundary,0.2703648064247968,O2_lag5_AB,0.12142274318287681,-0.5030279387508781,0.12142274318287681,0.2703648064247968,-0.03056971461276088,-0.02590081593962063,0.0,3,b6e_robust_035
side=A_side|tfc=high,51,O3_A_C_boundary,0.5072700483458717,O2_lag5_AB,0.1271633537126939,0.3860961738537903,0.1271633537126939,0.5072700483458717,0.15683572629955136,0.29815464895827254,0.0,3,b6e_robust_035
side=B_side|tfc=high,85,O1_lag0_AB,0.499481322224105,O2_lag5_AB,0.05150280414416273,0.499481322224105,0.05150280414416273,-0.011924410315728984,0.022339050473824014,0.2621558644566649,0.0,3,b6e_robust_035
side=B_side|tfc=mid,82,O2_lag5_AB,0.038213992539654594,O2_lag5_AB,0.038213992539654594,0.009217358057354734,0.038213992539654594,-0.1433063970143549,-0.05871510641267595,-0.0448197494454445,0.0,3,b6e_robust_035
side=A_side|tfc=mid,48,O3_A_C_boundary,7.536228878234324e-05,O2_lag5_AB,-0.14088630839572114,-0.21613615333345712,-0.14088630839572114,7.536228878234324e-05,-0.23782842673575522,-0.1749337310021,0.0,3,b6e_robust_035
side=B_side|tfc=low,86,O4_B_C_boundary,0.12821022717194971,O1_lag0_AB,-0.3039555317069161,-0.3039555317069161,-0.06398115095452853,-0.4187353419617815,0.12821022717194971,-0.2813852780813826,0.0,4,b6e_robust_035
side=A_side|tfc=low,45,O3_A_C_boundary,0.504478142743231,O1_lag0_AB,-0.3646171798986405,-0.3646171798986405,0.01729850527111463,0.504478142743231,0.030249909991521697,0.037305577348961644,0.0,4,b6e_robust_035
side=A_side|tfc=high,53,O1_lag0_AB,0.5425341479569801,O1_lag0_AB,0.5425341479569801,0.5425341479569801,0.18993701126802212,0.5060862517675029,0.16517415973551494,0.38069987497493163,0.0,4,b6e_robust_035
side=B_side|tfc=high,78,O1_lag0_AB,0.5120259353233305,O1_lag0_AB,0.5120259353233305,0.5120259353233305,0.14333883146665072,0.05611600889617357,-0.0073718774540742745,0.19074302075522723,0.0,4,b6e_robust_035
side=B_side|tfc=mid,94,O7_suppress_event,0.0,O1_lag0_AB,-0.059870173198587534,-0.059870173198587534,-0.06112021698915851,-0.25189466955483686,-0.20257409089430073,-0.1882345662037781,0.0,4,b6e_robust_035
