mode,endpoint,state_label,n_train_events,generated_train_reward,selected_train_reward,selected_operator,w_O1_lag0_AB,w_O2_lag5_AB,w_O3_A_C_boundary,w_O4_B_C_boundary,w_O5_full_TFC,w_O6_phase_only,w_O7_suppress_event
combined_c_fes_gmr72,z_reward,side=B_side|tfc=high|phase=q4|fes=CoCreation,10,0.8658725210959999,1.1338335354188953,O5_full_TFC,0.16985764040161688,0.0932969027566675,0.002730501450899841,0.0028117234629433515,0.6201876170842343,0.07398772761555031,0.03712788722808782
combined_c_fes_gmr72,z_reward,side=B_side|tfc=high|phase=q4|fes=CoCreation,10,0.7537162931887934,1.0139735356364814,O5_full_TFC,0.159847490244222,0.05542027115021821,0.01780097135814859,0.005029326087527884,0.6729040504335553,0.0322620447088364,0.05673584601749148
combined_c_fes_gmr72,z_reward,side=A_side|tfc=high|phase=q1|fes=Activation,8,0.750199742786856,1.0188187991590227,O1_lag0_AB,0.575816242739599,0.12972384765226277,0.16824800550794386,0.0004080699562854097,0.005292892336827876,0.08917149040560259,0.031339451401478535
combined_c_fes_gmr72,gmr72_bridge_composite,side=B_side|tfc=high|phase=q4|fes=CoCreation,10,0.7131527424029835,0.9825273149558073,O5_full_TFC,0.11283909031145975,0.09180130837980967,0.003917735120023645,0.0039465500794158516,0.6688986600236703,0.056896751777040996,0.06169990430857969
combined_c_fes_gmr72,rank_reward,side=A_side|tfc=high|phase=q1|fes=Activation,8,0.6807080496259388,0.9376070070418059,O1_lag0_AB,0.49911180774614594,0.09825136704679892,0.21262967182749382,0.0003208030884274127,0.0051393979129091,0.1502878267370839,0.03425912564114099
combined_c_fes_gmr72,z_reward,side=A_side|tfc=high|phase=q1|fes=Activation,9,0.6550626628170422,0.8528389249344779,O1_lag0_AB,0.394634935478732,0.13298100395405668,0.3148812974372319,0.0006722743425567483,0.008001029360436148,0.11431844675778714,0.034511012669199426
combined_c_fes_gmr72,z_reward,side=B_side|tfc=high|phase=q4|fes=CoCreation,12,0.6479897658382393,0.9244156215323858,O5_full_TFC,0.215860944244065,0.10317100097810204,0.011170171019425383,0.0041202575368943575,0.5345651189160033,0.07289787278252154,0.05821463452298835
gmr72_phase_conditioned,z_reward,side=A_side|tfc=high|phase=q1,20,0.6350136859272555,0.7900970050337331,O1_lag0_AB,0.31381516930264647,0.20044492423769059,0.27638089286814693,0.01714484741191833,0.087185575094831,0.0721972307814438,0.032831360303322996
linear_c_state,z_reward,side=A_side|tfc=high|phase=q1,20,0.6303691526167128,0.7900970050337331,O1_lag0_AB,0.30368724275578424,0.17164620398190478,0.288570317063447,0.024721136167288823,0.11777895675068142,0.06182436721094162,0.03177177606995235
gmr72_phase_conditioned,rank_reward,side=A_side|tfc=high|phase=q1,20,0.6232003209572557,0.7867007555606416,O3_A_C_boundary,0.3091680182955371,0.1578538260986494,0.29733774541606073,0.020134988260635294,0.10595625471848963,0.07565927240866861,0.033889894801959364
linear_c_state,rank_reward,side=A_side|tfc=high|phase=q1,20,0.6217007977494394,0.7867007555606416,O3_A_C_boundary,0.29489350779790113,0.13323314707975517,0.30599316006462046,0.028615689632480748,0.14108073020322504,0.06385859131771564,0.03232517390430198
combined_c_fes_gmr72,z_reward,side=B_side|tfc=low|phase=q1|fes=Activation,9,0.6202519306274186,0.9533288948143794,O4_B_C_boundary,0.01479250624917542,0.03182881456722975,0.04999235595180626,0.12935978462500208,0.0031579117092084153,0.7126824388238707,0.05818618807370722
combined_c_fes_gmr72,rank_reward,side=B_side|tfc=mid|phase=q1|fes=Activation,8,0.6200522343639909,0.7837983285085246,O6_phase_only,0.14876484364876244,0.025750500570807685,0.019361060289767532,0.009407731384211294,0.002254157525517808,0.742683203135475,0.051778503445458146
combined_c_fes_gmr72,rank_reward,side=A_side|tfc=high|phase=q1|fes=Activation,9,0.6181511161276989,0.7969021331187869,O1_lag0_AB,0.348574149056113,0.10964539639784557,0.30289652765571917,0.0005590508403599641,0.008255817647188638,0.19430341552727007,0.03576564287550331
combined_c_fes_gmr72,rank_reward,side=B_side|tfc=high|phase=q4|fes=CoCreation,10,0.6066848855451249,0.8622321786443997,O5_full_TFC,0.25853270226790664,0.1349849772762113,0.008108083153046895,0.0028065508881054396,0.4526429590764527,0.08404753166275929,0.058877195675517746
combined_c_fes_gmr72,z_reward,side=B_side|tfc=high|phase=q4|fes=CoCreation,9,0.5909163198589772,0.7430022984801533,O1_lag0_AB,0.48927163604549684,0.08789289084363885,0.015871759204131544,0.0028910659492577414,0.2560124919241681,0.08950002435602077,0.058560131677286166
combined_c_fes_gmr72,rank_reward,side=B_side|tfc=high|phase=q4|fes=CoCreation,9,0.588070580885646,0.7205952330947392,O1_lag0_AB,0.47426108429042635,0.08201464006167761,0.026550522521122968,0.0013222218600385176,0.2869216540405447,0.06841347389881342,0.06051640332737648
linear_c_state,rank_reward,side=A_side|tfc=high|phase=q1,24,0.5727732401064718,0.77176574252263,O1_lag0_AB,0.33407984860438517,0.12147494942105576,0.2713430949719084,0.04305471765751911,0.13972241447307027,0.053494152707188304,0.036830822164873094
gmr72_phase_conditioned,rank_reward,side=A_side|tfc=high|phase=q1,24,0.5724048676045692,0.77176574252263,O1_lag0_AB,0.3245086226923207,0.12366542354077327,0.28292238195988206,0.04353785723198628,0.13513130170407148,0.054458775928846556,0.035775636942119604
combined_c_fes_gmr72,rank_reward,side=A_side|tfc=high|phase=q4|fes=Surprise,8,0.5618691164213225,0.6721008751669155,O5_full_TFC,0.025668544786752782,0.008924795138107365,0.26084960764015797,0.3307002305757369,0.36088817421963376,0.00525159407446143,0.007717053565149681
combined_c_fes_gmr72,gmr72_bridge_composite,side=B_side|tfc=high|phase=q4|fes=CoCreation,10,0.5613276137077466,0.8443017695304269,O5_full_TFC,0.1362627586118501,0.0833916518461926,0.007592734701265018,0.005896732734537836,0.6270569292213536,0.05394784620643402,0.08585134667836683
combined_c_fes_gmr72,z_reward,side=B_side|tfc=low|phase=q1|fes=Activation,10,0.560118071787478,0.8004884389226167,O4_B_C_boundary,0.01920235986703226,0.03751533592044938,0.06222836138426267,0.09081640301292455,0.00404227958607563,0.7229779984069519,0.06321726182230344
combined_c_fes_gmr72,z_reward,side=B_side|tfc=low|phase=q1|fes=Activation,9,0.5550828221139389,1.0648110682997516,O4_B_C_boundary,0.025978844804339898,0.05303135063314752,0.05879914339138436,0.20171218721929068,0.005190722440247659,0.5893064212042298,0.06598133030735996
combined_c_fes_gmr72,rank_reward,side=A_side|tfc=high|phase=q1|fes=Surprise,10,0.5534847104558905,0.6691650340854718,O3_A_C_boundary,0.049918106723674034,0.004555412539232961,0.4017732357182232,0.44034906333085916,0.08829606165657164,0.006444432519969964,0.008663687511469063
linear_c_state,z_reward,side=A_side|tfc=high|phase=q1,24,0.5428866497522611,0.7648441141391732,O1_lag0_AB,0.33916498619594937,0.14520784518220348,0.2228108111540102,0.05161632292029347,0.12996565970889926,0.07309612251761713,0.0381382523210272
gmr72_phase_conditioned,z_reward,side=A_side|tfc=high|phase=q1,24,0.5416549915446163,0.7648441141391732,O1_lag0_AB,0.329796375375578,0.1479825643921597,0.23256464719001665,0.05225071935684287,0.1258280307854551,0.07449288737607536,0.03708477552387221
combined_c_fes_gmr72,rank_reward,side=B_side|tfc=high|phase=q4|fes=CoCreation,10,0.5405737684832023,0.8004995930841787,O5_full_TFC,0.25523517500888754,0.08175713533312759,0.042641948540682637,0.004246944890689421,0.4920463709262243,0.047724414443096615,0.076348010857292
gmr72_phase_conditioned,z_reward,side=A_side|tfc=high|phase=q1,25,0.5389656481051073,0.7807556233058865,O1_lag0_AB,0.3771833163784514,0.13513188916811703,0.21318253390104003,0.03455663687556356,0.07549619143870379,0.12392111311755215,0.040528319120572004
combined_c_fes_gmr72,rank_reward,side=B_side|tfc=low|phase=q4|fes=Activation,9,0.5361892616979631,0.7240702014422853,O2_lag5_AB,0.11798134945076118,0.6424656178245559,0.0076094301790065695,0.0011277244457004371,0.007595706055125497,0.17009395228839752,0.053126219756452826
