mode,endpoint,state_label,n_train_events,generated_train_reward,selected_train_reward,selected_operator,w_O1_lag0_AB,w_O2_lag5_AB,w_O3_A_C_boundary,w_O4_B_C_boundary,w_O5_full_TFC,w_O6_phase_only,w_O7_suppress_event
linear_c_state,z_reward,side=A_side|tfc=high|phase=q1,25,0.5340368293063342,0.7807556233058865,O1_lag0_AB,0.37453414620197084,0.11991028281040207,0.2159369882896667,0.04424450047795325,0.09516809859586549,0.10996231764079734,0.040243665983344216
combined_c_fes_gmr72,rank_reward,side=A_side|tfc=high|phase=q1|fes=Surprise,9,0.5337858992616166,0.6895366407628774,O3_A_C_boundary,0.05255323196172676,0.007236956336137365,0.4332961995060807,0.34108494865254485,0.14854396248157004,0.008469571007292197,0.008815130054648034
linear_c_state,z_reward,side=A_side|tfc=high|phase=q1,25,0.5302146127275421,0.7991422863130763,O1_lag0_AB,0.4238009199587983,0.09398849149332128,0.21391888655401414,0.05392432076606874,0.0693638890116644,0.10179659495235448,0.04320689726377856
combined_c_fes_gmr72,gmr72_bridge_composite,side=B_side|tfc=high|phase=q4|fes=CoCreation,12,0.530036693376588,0.818778505186263,O5_full_TFC,0.15374787981009355,0.11324289282366676,0.009205426489055991,0.0073755020800443,0.5619785060262452,0.07168794686251956,0.08276184590837464
combined_c_fes_gmr72,rank_reward,side=B_side|tfc=high|phase=q4|fes=CoCreation,12,0.5266351209106994,0.7753117986115201,O5_full_TFC,0.28205283488943267,0.12152030450478077,0.02336056266304304,0.002940952447870041,0.4335449138544181,0.06429016164489695,0.07229026999555843
linear_c_state,rank_reward,side=A_side|tfc=high|phase=q1,25,0.5237878022537039,0.7560240779117868,O1_lag0_AB,0.38224942031812753,0.08426197211029626,0.278077037525305,0.04999678588787703,0.08534009583426684,0.07599476019957915,0.044079928124548265
gmr72_phase_conditioned,rank_reward,side=A_side|tfc=high|phase=q1,25,0.5229712274097725,0.7387742298651738,O1_lag0_AB,0.36130304403573793,0.11004343545406516,0.2742844174052333,0.032654092920494746,0.07766146068727946,0.10028421049600653,0.04376933900118293
gmr72_phase_conditioned,rank_reward,side=A_side|tfc=high|phase=q1,25,0.52045547332563,0.7560240779117868,O1_lag0_AB,0.3414797228674814,0.08851338616337606,0.3209445851859672,0.05305342189677686,0.07680134820654555,0.07982905440586727,0.03937848127398561
gmr72_phase_conditioned,z_reward,side=A_side|tfc=high|phase=q1,25,0.5200019439822198,0.7991422863130763,O1_lag0_AB,0.38265478562807087,0.09978819902213626,0.2495406048801293,0.05783399157028512,0.06309229446027928,0.10807811377207989,0.039012010667019384
linear_c_state,rank_reward,side=A_side|tfc=high|phase=q1,25,0.5193567952492879,0.7387742298651738,O1_lag0_AB,0.35648475400269874,0.09702711443674418,0.27606220454583746,0.04154280793103738,0.09727523763481463,0.08842224461500231,0.04318563683386531
combined_c_fes_gmr72,z_reward,side=A_side|tfc=high|phase=q4|fes=SelfGrowth,8,0.5179112181879061,0.7231699723700699,O4_B_C_boundary,0.042813932106555146,0.00360972929575319,0.026928582081682046,0.529391983616257,0.32904469896227717,0.0011549978259477033,0.06705607611152795
combined_c_fes_gmr72,z_reward,side=A_side|tfc=low|phase=q1|fes=Surprise,9,0.5069841474547937,0.7119855200357934,O3_A_C_boundary,0.0014412674447149523,0.005361711993004441,0.6722448818790105,0.16983039239828523,0.1318571359435928,0.006437883371630641,0.012826726969761403
linear_c_state,rank_reward,side=A_side|tfc=high|phase=q1,22,0.5065022010384633,0.6923999311023283,O3_A_C_boundary,0.27410205061132753,0.0920973250462249,0.3093293866846383,0.06242611694346906,0.16151754416522915,0.057745417628263324,0.04278215892084808
gmr72_phase_conditioned,rank_reward,side=A_side|tfc=high|phase=q1,22,0.505196126763856,0.6923999311023283,O3_A_C_boundary,0.2847358765272124,0.09099571624489826,0.2945102508070167,0.061217133619104094,0.16704442008485998,0.05705470418719813,0.04444189852971046
combined_c_fes_gmr72,gmr72_bridge_composite,side=B_side|tfc=high|phase=q4|fes=CoCreation,9,0.4968714844254904,0.7085267440416546,O5_full_TFC,0.3264926043862894,0.13432746028370401,0.014591066046519547,0.0103794325215403,0.35882802281426796,0.08297087793859327,0.07241053600908544
combined_c_fes_gmr72,rank_reward,side=A_side|tfc=high|phase=q1|fes=Surprise,9,0.49360495460636805,0.6303932665381513,O3_A_C_boundary,0.04377182345789948,0.003255232443172246,0.444366672103066,0.4209833511424544,0.07238745274028563,0.004530808326264283,0.010704659786858098
combined_c_fes_gmr72,z_reward,side=B_side|tfc=high|phase=q4|fes=Activation,9,0.49207622510183685,1.0587192051321055,O5_full_TFC,0.40938871771650076,0.18226900077383937,0.0433936017692915,0.008300337811114722,0.2121173897651693,0.07392777595352285,0.07060317621056149
combined_c_fes_gmr72,z_reward,side=B_side|tfc=high|phase=q4|fes=Activation,8,0.4793094935490201,1.000027426562269,O5_full_TFC,0.46567215715715093,0.13988566963515528,0.038816425294273656,0.021255540319536127,0.1948393583957996,0.06283853499139322,0.07669231420669133
combined_c_fes_gmr72,rank_reward,side=B_side|tfc=mid|phase=q1|fes=Activation,8,0.4790140326840469,0.657830739998226,O6_phase_only,0.19744755668233496,0.05263817378280082,0.03348751877345895,0.012738944792263597,0.0023709131519229192,0.6376072814254228,0.06370961139179589
gmr72_phase_conditioned,z_reward,side=A_side|tfc=high|phase=q1,22,0.4760712758703562,0.6583174926640659,O1_lag0_AB,0.29619895695865417,0.13592172782225145,0.21794499442544982,0.07783651924711539,0.1653629663183733,0.06157878568649381,0.04515604954166218
linear_c_state,z_reward,side=A_side|tfc=high|phase=q1,22,0.4753332437133021,0.6583174926640659,O1_lag0_AB,0.2860882352746015,0.13802613782628592,0.2296751690215056,0.0796385085825314,0.16042511689952163,0.06253218007539105,0.04361465232016294
