mode,endpoint,comparison,mean_generated,mean_comparator,effect,p_greater,n_events,state_generation_rate
linear_c_state,z_reward,generated_vs_random_generated,0.05520298184618016,0.006488765974472517,0.04871421587170764,0.0001999600079984003,502,0.9860557768924303
linear_c_state,z_reward,generated_vs_balanced_generated,0.05520298184618016,0.0057022455905874694,0.049500736255592696,0.0001999600079984003,502,0.9860557768924303
linear_c_state,z_reward,generated_vs_frequency_matched_generated,0.05520298184618016,-0.022101833892233497,0.07730481573841366,0.0001999600079984003,502,0.9860557768924303
linear_c_state,z_reward,generated_vs_performance_matched_generated,0.05520298184618016,-0.03155999162430293,0.08676297347048308,0.0001999600079984003,502,0.9860557768924303
linear_c_state,z_reward,generated_vs_best_selected,0.05520298184618016,0.09336915042158998,-0.04168879194491708,0.8980203959208158,458,0.9860557768924303
linear_c_state,z_reward,generated_vs_best_fixed,0.05520298184618016,-0.1176609116699097,0.16359481256984942,0.0003999200159968006,439,0.9860557768924303
linear_c_state,z_reward,generated_vs_oracle,0.05520298184618016,1.2239410650761156,-1.1687380832299357,1.0,502,0.9860557768924303
linear_c_state,rank_reward,generated_vs_random_generated,0.06539914712994307,0.004530311645080542,0.060868835484862535,0.0001999600079984003,502,0.9860557768924303
linear_c_state,rank_reward,generated_vs_balanced_generated,0.06539914712994307,0.003708576939027101,0.06169057019091598,0.0001999600079984003,502,0.9860557768924303
linear_c_state,rank_reward,generated_vs_frequency_matched_generated,0.06539914712994307,-0.004016272870592145,0.06941542000053523,0.0001999600079984003,502,0.9860557768924303
linear_c_state,rank_reward,generated_vs_performance_matched_generated,0.06539914712994307,-0.03562541963511207,0.10102456676505514,0.0001999600079984003,502,0.9860557768924303
linear_c_state,rank_reward,generated_vs_best_selected,0.06539914712994307,0.15895902441740292,-0.09535902986754466,0.9982003599280144,460,0.9860557768924303
linear_c_state,rank_reward,generated_vs_best_fixed,0.06539914712994307,-0.11398868873203322,0.17754384279526322,0.0001999600079984003,439,0.9860557768924303
linear_c_state,rank_reward,generated_vs_oracle,0.06539914712994307,1.1117820538752037,-1.0463829067452606,1.0,502,0.9860557768924303
linear_c_state,gmr72_bridge_composite,generated_vs_random_generated,0.011884152725722323,0.004234909668772654,0.007649243056949662,0.0001999600079984003,502,0.9860557768924303
linear_c_state,gmr72_bridge_composite,generated_vs_balanced_generated,0.011884152725722323,0.003843099998729898,0.008041052726992416,0.0001999600079984003,502,0.9860557768924303
linear_c_state,gmr72_bridge_composite,generated_vs_frequency_matched_generated,0.011884152725722323,-0.006708624636327082,0.018592777362049402,0.0001999600079984003,502,0.9860557768924303
linear_c_state,gmr72_bridge_composite,generated_vs_performance_matched_generated,0.011884152725722323,-0.003153542656792762,0.015037695382515082,0.0001999600079984003,502,0.9860557768924303
linear_c_state,gmr72_bridge_composite,generated_vs_best_selected,0.011884152725722323,0.04266911953806264,-0.03159548689510039,0.9766046790641871,488,0.9860557768924303
linear_c_state,gmr72_bridge_composite,generated_vs_best_fixed,0.011884152725722323,0.029625897308734956,-0.015654281288335386,0.8550289942011597,489,0.9860557768924303
linear_c_state,gmr72_bridge_composite,generated_vs_oracle,0.011884152725722323,0.5336440378161155,-0.5217598850903931,1.0,502,0.9860557768924303
gmr72_phase_conditioned,z_reward,generated_vs_random_generated,0.054753961913641826,0.006488765974472517,0.04826519593916931,0.0001999600079984003,502,0.9860557768924303
gmr72_phase_conditioned,z_reward,generated_vs_balanced_generated,0.054753961913641826,0.0057022455905874694,0.049051716323054356,0.0001999600079984003,502,0.9860557768924303
gmr72_phase_conditioned,z_reward,generated_vs_frequency_matched_generated,0.054753961913641826,-0.022101833892233497,0.07685579580587532,0.0001999600079984003,502,0.9860557768924303
gmr72_phase_conditioned,z_reward,generated_vs_performance_matched_generated,0.054753961913641826,-0.03155999162430293,0.08631395353794474,0.0001999600079984003,502,0.9860557768924303
gmr72_phase_conditioned,z_reward,generated_vs_best_selected,0.054753961913641826,0.09336915042158998,-0.04366779961601294,0.9040191961607679,458,0.9860557768924303
gmr72_phase_conditioned,z_reward,generated_vs_best_fixed,0.054753961913641826,-0.1176609116699097,0.16142990957308667,0.0003999200159968006,439,0.9860557768924303
gmr72_phase_conditioned,z_reward,generated_vs_oracle,0.054753961913641826,1.2239410650761156,-1.1691871031624739,1.0,502,0.9860557768924303
gmr72_phase_conditioned,rank_reward,generated_vs_random_generated,0.06532135349624969,0.004530311645080542,0.06079104185116916,0.0001999600079984003,502,0.9860557768924303
gmr72_phase_conditioned,rank_reward,generated_vs_balanced_generated,0.06532135349624969,0.003708576939027101,0.06161277655722258,0.0001999600079984003,502,0.9860557768924303
gmr72_phase_conditioned,rank_reward,generated_vs_frequency_matched_generated,0.06532135349624969,-0.004016272870592145,0.06933762636684186,0.0001999600079984003,502,0.9860557768924303
gmr72_phase_conditioned,rank_reward,generated_vs_performance_matched_generated,0.06532135349624969,-0.03562541963511207,0.10094677313136174,0.0001999600079984003,502,0.9860557768924303
gmr72_phase_conditioned,rank_reward,generated_vs_best_selected,0.06532135349624969,0.15895902441740292,-0.09634425960697668,0.9984003199360127,460,0.9860557768924303
gmr72_phase_conditioned,rank_reward,generated_vs_best_fixed,0.06532135349624969,-0.11398868873203322,0.17635799735147847,0.0001999600079984003,439,0.9860557768924303
gmr72_phase_conditioned,rank_reward,generated_vs_oracle,0.06532135349624969,1.1117820538752037,-1.046460700378954,1.0,502,0.9860557768924303
gmr72_phase_conditioned,gmr72_bridge_composite,generated_vs_random_generated,0.010726744197889394,0.004234909668772654,0.006491834529116738,0.002599480103979204,502,0.9860557768924303
gmr72_phase_conditioned,gmr72_bridge_composite,generated_vs_balanced_generated,0.010726744197889394,0.003843099998729898,0.006883644199159493,0.001799640071985603,502,0.9860557768924303
gmr72_phase_conditioned,gmr72_bridge_composite,generated_vs_frequency_matched_generated,0.010726744197889394,-0.006708624636327082,0.017435368834216484,0.0001999600079984003,502,0.9860557768924303
gmr72_phase_conditioned,gmr72_bridge_composite,generated_vs_performance_matched_generated,0.010726744197889394,-0.003153542656792762,0.013880286854682155,0.0001999600079984003,502,0.9860557768924303
gmr72_phase_conditioned,gmr72_bridge_composite,generated_vs_best_selected,0.010726744197889394,0.04266911953806264,-0.032693338170484594,0.9808038392321535,488,0.9860557768924303
gmr72_phase_conditioned,gmr72_bridge_composite,generated_vs_best_fixed,0.010726744197889394,0.029625897308734956,-0.016852430778083856,0.874625074985003,489,0.9860557768924303
gmr72_phase_conditioned,gmr72_bridge_composite,generated_vs_oracle,0.010726744197889394,0.5336440378161155,-0.5229172936182259,1.0,502,0.9860557768924303
fes_string_conditioned,z_reward,generated_vs_random_generated,0.010747672870304722,0.006488765974472517,0.004258906895832209,0.23295340931813638,502,1.0
fes_string_conditioned,z_reward,generated_vs_balanced_generated,0.010747672870304722,0.0057022455905874694,0.005045427279717258,0.17776444711057787,502,1.0
fes_string_conditioned,z_reward,generated_vs_frequency_matched_generated,0.010747672870304722,0.010371401927837762,0.0003762709424669486,0.47910417916416714,502,1.0
fes_string_conditioned,z_reward,generated_vs_performance_matched_generated,0.010747672870304722,-0.03155999162430293,0.04230766449460765,0.0001999600079984003,502,1.0
fes_string_conditioned,z_reward,generated_vs_best_selected,0.010747672870304722,0.050019027755058246,-0.03572901525391194,0.877624475104979,475,1.0
fes_string_conditioned,z_reward,generated_vs_best_fixed,0.010747672870304722,-0.1176609116699097,0.11962420581087742,0.0023995200959808036,439,1.0
fes_string_conditioned,z_reward,generated_vs_oracle,0.010747672870304722,1.2239410650761156,-1.213193392205811,1.0,502,1.0
fes_string_conditioned,rank_reward,generated_vs_random_generated,0.015108741485083389,0.004530311645080542,0.01057842984000285,0.03699260147970406,502,1.0
fes_string_conditioned,rank_reward,generated_vs_balanced_generated,0.015108741485083389,0.003708576939027101,0.011400164546056286,0.02559488102379524,502,1.0
fes_string_conditioned,rank_reward,generated_vs_frequency_matched_generated,0.015108741485083389,-0.003087673168970133,0.018196414654053524,0.09518096380723855,502,1.0
fes_string_conditioned,rank_reward,generated_vs_performance_matched_generated,0.015108741485083389,-0.03562541963511207,0.05073416112019546,0.0001999600079984003,502,1.0
fes_string_conditioned,rank_reward,generated_vs_best_selected,0.015108741485083389,0.03892590645167065,-0.020064822457657613,0.7304539092181563,472,1.0
fes_string_conditioned,rank_reward,generated_vs_best_fixed,0.015108741485083389,-0.11398868873203322,0.12605010569735775,0.0013997200559888023,439,1.0
fes_string_conditioned,rank_reward,generated_vs_oracle,0.015108741485083389,1.1117820538752037,-1.0966733123901202,1.0,502,1.0
fes_string_conditioned,gmr72_bridge_composite,generated_vs_random_generated,0.00577009533364736,0.004234909668772654,0.0015351856648747008,0.09818036392721456,502,1.0
fes_string_conditioned,gmr72_bridge_composite,generated_vs_balanced_generated,0.00577009533364736,0.003843099998729898,0.0019269953349174548,0.05538892221555689,502,1.0
fes_string_conditioned,gmr72_bridge_composite,generated_vs_frequency_matched_generated,0.00577009533364736,0.0025440050376734453,0.0032260902959739125,0.28594281143771244,502,1.0
fes_string_conditioned,gmr72_bridge_composite,generated_vs_performance_matched_generated,0.00577009533364736,-0.003153542656792762,0.008923637990440119,0.003999200159968006,502,1.0
fes_string_conditioned,gmr72_bridge_composite,generated_vs_best_selected,0.00577009533364736,0.03639339759650731,-0.03137265241544715,0.9714057188562287,492,1.0
fes_string_conditioned,gmr72_bridge_composite,generated_vs_best_fixed,0.00577009533364736,0.029625897308734956,-0.021750278847936195,0.9216156768646271,489,1.0
fes_string_conditioned,gmr72_bridge_composite,generated_vs_oracle,0.00577009533364736,0.5336440378161155,-0.527873942482468,1.0,502,1.0
combined_c_fes_gmr72,z_reward,generated_vs_random_generated,0.030651524293047377,0.006488765974472517,0.024162758318574857,0.015596880623875225,502,0.39641434262948205
combined_c_fes_gmr72,z_reward,generated_vs_balanced_generated,0.030651524293047377,0.0057022455905874694,0.02494927870245991,0.01199760047990402,502,0.39641434262948205
combined_c_fes_gmr72,z_reward,generated_vs_frequency_matched_generated,0.030651524293047377,-0.006234549833939711,0.03688607412698708,0.0061987602479504095,502,0.39641434262948205
combined_c_fes_gmr72,z_reward,generated_vs_performance_matched_generated,0.030651524293047377,-0.03155999162430293,0.0622115159173503,0.0001999600079984003,502,0.39641434262948205
combined_c_fes_gmr72,z_reward,generated_vs_best_selected,0.030651524293047377,0.016403652404723242,0.014057189281110594,0.35432913417316536,454,0.39641434262948205
combined_c_fes_gmr72,z_reward,generated_vs_best_fixed,0.030651524293047377,-0.1176609116699097,0.13493578986014299,0.0005998800239952009,439,0.39641434262948205
combined_c_fes_gmr72,z_reward,generated_vs_oracle,0.030651524293047377,1.2239410650761156,-1.1932895407830684,1.0,502,0.39641434262948205
