mode,endpoint,direction,control_level,mean_true_c,mean_control,effect_true_minus_control,p_true_greater,n_pairs,c_beats_control
linear_c_state,z_reward,A_to_C_to_B,direction_label_only,-0.6485108812946611,-0.7298555650544621,0.08134468375980104,0.001999600079984003,145,True
linear_c_state,z_reward,A_to_C_to_B,communication_direction_only,-0.6485108812946611,-0.497945005814948,-0.15056587547971298,1.0,145,False
linear_c_state,z_reward,A_to_C_to_B,symmetric_midpoint_control,-0.6485108812946611,-0.5096629757830695,-0.13884790551159154,0.9996000799840032,145,False
linear_c_state,z_reward,A_to_C_to_B,sender_receiver_transfer_control,-0.6485108812946611,-0.46510275812289453,-0.18340812317176644,0.9998000399920016,145,False
linear_c_state,z_reward,A_to_C_to_B,asymmetric_standpoint_control,-0.6485108812946611,-0.49757869256657794,-0.15093218872808303,1.0,145,False
linear_c_state,z_reward,A_to_C_to_B,standpoint_inverted_control,-0.6485108812946611,-0.4623071684258354,-0.18620371286882567,0.9998000399920016,145,False
linear_c_state,z_reward,A_to_C_to_B,endpoint_o1o2_reference,-0.6485108812946611,-0.36334861819110453,-0.28516226310355647,1.0,145,False
linear_c_state,z_reward,A_to_C_to_B,endpoint_o1o2_direction_swapped,-0.6485108812946611,-0.7139714866288804,0.06546060533421935,0.015796840631873626,145,True
linear_c_state,z_reward,A_to_C_to_B,endpoint_o1o2_asymmetric_standpoint,-0.6485108812946611,-0.5934627588558814,-0.055048122438779545,0.9300139972005599,145,False
linear_c_state,z_reward,A_to_C_to_B,endpoint_o1o2_standpoint_inverted,-0.6485108812946611,-0.5582150036200266,-0.09029587767463437,0.9822035592881424,145,False
linear_c_state,z_reward,A_to_C_to_B,standpoint_consistent_split_operator,-0.6485108812946611,-0.5052767477610254,-0.1432341335336357,0.9998000399920016,145,False
linear_c_state,z_reward,A_to_C_to_B,standpoint_inverted_split_operator,-0.6485108812946611,-0.4623071684258354,-0.18620371286882567,1.0,145,False
linear_c_state,z_reward,A_to_C_to_B,standpoint_operator_side_only,-0.6485108812946611,-0.4758223162294845,-0.17268856506517644,1.0,145,False
linear_c_state,z_reward,A_to_C_to_B,standpoint_wrong_operator_side_only,-0.6485108812946611,-0.4939982759969987,-0.15451260529766234,1.0,145,False
linear_c_state,z_reward,A_to_C_to_B,standpoint_consistent_operator_contrast,-0.6485108812946611,-0.5565567516091141,-0.091954129685547,0.9984003199360127,145,False
linear_c_state,z_reward,A_to_C_to_B,standpoint_inverted_operator_contrast,-0.6485108812946611,-0.5559758122528394,-0.09253506904182161,0.999000199960008,145,False
linear_c_state,z_reward,A_to_C_to_B,standpoint_contrast_with_side_polarity,-0.6485108812946611,-0.5454051266013691,-0.10310575469329193,0.9988002399520096,145,False
linear_c_state,z_reward,A_to_C_to_B,standpoint_inverted_contrast_with_side_polarity,-0.6485108812946611,-0.5449778424207332,-0.1035330388739277,0.9996000799840032,145,False
linear_c_state,z_reward,A_to_C_to_B,mismatch_train_consistent_test_inverted,-0.6485108812946611,-0.9559505226218297,0.30743964132716867,0.0001999600079984003,145,True
