true_policy_operator,true_policy_source,n_events,mean_regime_composite,mean_readiness,oracle_hit_rate
O1_lag0_AB,state_mapping,65,0.2527613762565197,0.15791337486103896,0.24615384615384617
O2_lag5_AB,state_mapping,40,0.08125706046690599,0.040151373475575576,0.175
O3_A_C_boundary,global_fallback,3,,,0.0
O3_A_C_boundary,state_mapping,127,-0.08898665635876007,-0.2112518074393449,0.11023622047244094
O4_B_C_boundary,global_fallback,4,,,0.0
O4_B_C_boundary,state_mapping,134,-0.05597398491784642,0.025221947642575,0.12686567164179105
O6_phase_only,state_mapping,63,-0.07797561343279959,-0.054901156890820146,0.12698412698412698
O7_suppress_event,state_mapping,66,0.07497590908589358,0.285520878048538,0.15151515151515152
