selected_operator,n_state_fold_mappings,mean_selected_train_reward,mean_global_best_train_reward
O1_lag0_AB,5,0.2512097322367351,0.18730499392554362
O2_lag5_AB,2,0.07201436419989345,0.05683470697921654
O3_A_C_boundary,6,0.03364564995120908,-0.013939467587038346
O4_B_C_boundary,9,-0.04662243156495241,-0.058549276127120874
O6_phase_only,3,-0.04999836226468635,-0.07717223921714195
O7_suppress_event,5,0.07577531900716841,0.027921530595956007
