label,idx_in_session,phase,strength,selected_operator,selection_reason,A_B,A_C,B_C,TFC_min,TFC_mean,abs_dphi,C_memory_scalar,O1_lag0_AB_raw,O2_lag5_AB_raw,O3_A_C_boundary_raw,O4_B_C_boundary_raw,O5_full_TFC_raw,O6_phase_only_raw,O1_lag0_AB_z,O2_lag5_AB_z,O3_A_C_boundary_z,O4_B_C_boundary_z,O5_full_TFC_z,O6_phase_only_z,oracle_operator,oracle_reward_z,selected_reward_z,selected_matches_oracle,O7_suppress_event_raw,O7_suppress_event_z,phase_quadrant,strength_bin,ab_bin,ac_bin,bc_bin,tfc_bin,memory_bin,phase_activity_bin,boundary_side,boundary_distance_bin,state_label_full,state_label,operator_random_expectation,operator_margin,regime_status,regime_transition_score_O1_lag0_AB_raw,policy_readiness_O1_lag0_AB_raw,operator_margin_persistence_O1_lag0_AB_raw,policy_regret_reduction_O1_lag0_AB_raw,regime_recursive_composite_O1_lag0_AB_raw,regime_transition_score_O2_lag5_AB_raw,policy_readiness_O2_lag5_AB_raw,operator_margin_persistence_O2_lag5_AB_raw,policy_regret_reduction_O2_lag5_AB_raw,regime_recursive_composite_O2_lag5_AB_raw,regime_transition_score_O3_A_C_boundary_raw,policy_readiness_O3_A_C_boundary_raw,operator_margin_persistence_O3_A_C_boundary_raw,policy_regret_reduction_O3_A_C_boundary_raw,regime_recursive_composite_O3_A_C_boundary_raw,regime_transition_score_O4_B_C_boundary_raw,policy_readiness_O4_B_C_boundary_raw,operator_margin_persistence_O4_B_C_boundary_raw,policy_regret_reduction_O4_B_C_boundary_raw,regime_recursive_composite_O4_B_C_boundary_raw,regime_transition_score_O5_full_TFC_raw,policy_readiness_O5_full_TFC_raw,operator_margin_persistence_O5_full_TFC_raw,policy_regret_reduction_O5_full_TFC_raw,regime_recursive_composite_O5_full_TFC_raw,regime_transition_score_O6_phase_only_raw,policy_readiness_O6_phase_only_raw,operator_margin_persistence_O6_phase_only_raw,policy_regret_reduction_O6_phase_only_raw,regime_recursive_composite_O6_phase_only_raw,regime_transition_score_O7_suppress_event_raw,policy_readiness_O7_suppress_event_raw,operator_margin_persistence_O7_suppress_event_raw,policy_regret_reduction_O7_suppress_event_raw,regime_recursive_composite_O7_suppress_event_raw,regime_transition_score_O1_lag0_AB,regime_transition_score_O2_lag5_AB,regime_transition_score_O3_A_C_boundary,regime_transition_score_O4_B_C_boundary,regime_transition_score_O5_full_TFC,regime_transition_score_O6_phase_only,regime_transition_score_O7_suppress_event,policy_readiness_O1_lag0_AB,policy_readiness_O2_lag5_AB,policy_readiness_O3_A_C_boundary,policy_readiness_O4_B_C_boundary,policy_readiness_O5_full_TFC,policy_readiness_O6_phase_only,policy_readiness_O7_suppress_event,operator_margin_persistence_O1_lag0_AB,operator_margin_persistence_O2_lag5_AB,operator_margin_persistence_O3_A_C_boundary,operator_margin_persistence_O4_B_C_boundary,operator_margin_persistence_O5_full_TFC,operator_margin_persistence_O6_phase_only,operator_margin_persistence_O7_suppress_event,policy_regret_reduction_O1_lag0_AB,policy_regret_reduction_O2_lag5_AB,policy_regret_reduction_O3_A_C_boundary,policy_regret_reduction_O4_B_C_boundary,policy_regret_reduction_O5_full_TFC,policy_regret_reduction_O6_phase_only,policy_regret_reduction_O7_suppress_event,regime_recursive_composite_O1_lag0_AB,regime_recursive_composite_O2_lag5_AB,regime_recursive_composite_O3_A_C_boundary,regime_recursive_composite_O4_B_C_boundary,regime_recursive_composite_O5_full_TFC,regime_recursive_composite_O6_phase_only,regime_recursive_composite_O7_suppress_event
P1,42.0,-0.1482350940017722,0.3509050971810473,O4_B_C_boundary,B-side boundary projection dominates current C-state,0.1035762065948523,0.0068961004608218,0.3583805531111812,0.0068961004608218,0.1562842867222851,0.0145975752823088,0.9126085211488411,0.10357620659485237,0.20660109910889468,0.1179478041898347,0.1203776380507217,0.1179478041898347,0.1677632104761346,-0.7386210357837245,0.06196139303741841,-0.24748192190721924,-0.5332911506946512,0.23874259993798955,0.9430778244170148,O6_phase_only,0.9430778244170148,-0.5332911506946512,False,0.0,0.0,q4,high,low,low,high,low,high,low,B_side,far,phase=q4|str=high|ab=low|ac=low|bc=high|tfc=low|mem=high|dphi=low|side=B_side|dist=far,side=B_side|tfc=low,-0.03937318442759603,0.9824510088446109,bad,-1.0,0.0,1.0257616442476056,-0.6944770867857211,,-1.0,0.0,1.0257616442476056,-0.4429364799582214,,-1.0,0.0,1.0257616442476056,0.6979754717810049,,-1.0,0.0,1.0257616442476056,-0.2350693875814922,,-1.0,0.0,1.0257616442476056,0.0032138752940404636,,-1.0,0.0,1.0257616442476056,0.2564404110619014,,-1.0,0.0,1.0257616442476056,0.11167874836752484,,-1.22525000917611,-1.2234195444572022,-1.2234195444572022,-1.2234195444572022,-1.2234195444572022,-1.22525000917611,-1.2234195444572022,-1.4053469322555197,-1.4097593353646567,-1.4097593353646567,-1.4097593353646567,-1.4097593353646567,-1.4053469322555197,-1.4097593353646567,-0.28616568449278385,-0.29375085416470104,-0.29375085416470104,-0.29375085416470104,-0.29375085416470104,-0.28616568449278385,-0.29375085416470104,-0.39377498918174914,-0.26372760444438637,0.4614554822728324,-0.13533063536704365,-0.021438670311262103,0.1684084557173117,0.08387166242267756,-0.8276344037765406,-0.7976643346077366,-0.6163685629284319,-0.7655650923384009,-0.7370921010744554,-0.6870885425517754,-0.7107645178909706
P1,53.0,0.153373759199195,0.2010800482409479,O3_A_C_boundary,A-side boundary projection dominates current C-state,0.0360581789229298,0.1076205934652459,0.0748497347889251,0.0360581789229298,0.0728428357257002,0.0922528699738228,0.8042894328442071,0.036058178922929805,0.14324743436499915,0.1721917194128667,0.1067039854486507,0.1067039854486507,0.161721246638925,-1.2358214967495766,-0.3941230682306622,0.27105184120500864,-0.7040314293149346,0.10422218149160413,0.8702715896891131,O6_phase_only,0.8702715896891131,0.27105184120500864,False,0.0,0.0,q1,mid,low,mid,low,low,high,high,A_side,near,phase=q1|str=mid|ab=low|ac=mid|bc=low|tfc=low|mem=high|dphi=high|side=A_side|dist=near,side=A_side|tfc=low,-0.1554900545584925,1.0257616442476056,bad,1.75,1.0,0.7133186966791407,1.578872901619093,,1.75,1.0,0.7133186966791407,1.4427243320895604,,1.75,1.0,0.7133186966791407,-0.478329077913617,,1.75,1.0,0.7133186966791407,0.4954592873612798,,1.75,1.0,0.7133186966791407,0.2080586633152031,,1.75,1.0,0.7133186966791407,-1.5124758491949692,,1.75,1.0,0.7133186966791407,0.45279037570270364,,1.2517419012664042,1.2706760933847336,1.2706760933847336,1.2706760933847336,1.2706760933847336,1.2517419012664042,1.2706760933847336,0.7115680669648201,0.7093409314018366,0.7093409314018366,0.7093409314018366,0.7093409314018366,0.7115680669648201,0.7093409314018366,-0.728857603469596,-0.7254150278883938,-0.7254150278883938,-0.7254150278883938,-0.7254150278883938,-0.728857603469596,-0.7254150278883938,0.9325507307473654,0.9986889530360882,-0.31106842488797554,0.2656961954269009,0.11059879009174566,-0.9177876311162704,0.3115072735353241,0.5417507738772483,0.5633227374835662,0.23588339300255023,0.3800745480812694,0.3413001967474805,0.07916618341133944,0.39152731760837517
P1,66.0,-0.14228507273569,0.2337503920317854,O5_full_TFC,full triadic projection is already active,0.1919565519232225,0.1768592239983368,0.1135617488390458,0.1135617488390458,0.160792508253535,0.0682079844924187,0.7875305059722026,0.19195655192322256,0.2642043798972934,0.0885970965237179,0.120714084040211,0.0885970965237179,0.0168039342249651,-0.08779117666654969,0.4766487105249557,-0.5280540899290497,-0.5290900141250867,-0.11240762471671713,-0.8759957081668478,O2_lag5_AB,0.4766487105249557,-0.11240762471671713,False,0.0,0.0,q4,mid,mid,high,low,high,high,mid,A_side,near,phase=q4|str=mid|ab=mid|ac=high|bc=low|tfc=high|mem=high|dphi=mid|side=A_side|dist=near,side=A_side|tfc=high,-0.23666998615418505,0.7133186966791407,good,1.0,1.0,0.4539919490546838,0.6779378744551764,,1.0,1.0,0.4539919490546838,0.08143688015899447,,1.0,1.0,0.4539919490546838,-0.16024872778687152,,1.0,1.0,0.4539919490546838,0.9941489515092747,,1.0,1.0,0.4539919490546838,-0.05525312184384616,,1.0,1.0,0.4539919490546838,0.309809815646021,,1.0,1.0,0.4539919490546838,-0.032544438767549984,,0.5761986529639004,0.5904681921551147,0.5904681921551147,0.5904681921551147,0.5904681921551147,0.5761986529639004,0.5904681921551147,0.7115680669648201,0.7093409314018366,0.7093409314018366,0.7093409314018366,0.7093409314018366,0.7115680669648201,0.7093409314018366,-1.0962906226537785,-1.0836950502378637,-1.0836950502378637,-1.0836950502378637,-1.0836950502378637,-1.0962906226537785,-1.0836950502378637,0.40692409841742205,0.08733108431032836,-0.10217296925551765,0.5394540127755951,-0.059124929717964375,0.2011797291338899,-0.01237346881656634,0.14960004892309103,0.075861289407354,0.02848527601589249,0.18889202152367068,0.03924728590028081,0.098163956602208,0.05093515112563032
P1,85.0,0.0409833014373422,0.098866622125212,O5_full_TFC,full triadic projection is already active,0.2715256434922839,0.1086118511029543,0.2046637225337445,0.1086118511029543,0.1949337390429942,0.095391752435118,0.6686543223376353,0.2715256434922839,0.2636286507710695,0.0889577283070557,0.1949662623200607,0.0889577283070557,0.054071903210655,0.4981529092449413,0.47250402356120014,-0.5246067031586968,0.3980827009213903,-0.10809304623441067,-0.42691316300262155,O1_lag0_AB,0.4981529092449413,-0.10809304623441067,False,0.0,0.0,q1,low,high,mid,mid,high,mid,high,B_side,mid,phase=q1|str=low|ab=high|ac=mid|bc=mid|tfc=high|mem=mid|dphi=high|side=B_side|dist=mid,side=B_side|tfc=high,0.044160960190257524,0.4539919490546838,good,1.25,1.0,0.504410323841614,0.1261025809604035,,-1.0,0.0,2.0866510086576295,-3.1028709280716704,,-1.0,0.0,2.0866510086576295,-1.9358549654806043,,-1.0,0.0,2.0866510086576295,-0.9339147112220443,,-1.0,0.0,2.0866510086576295,-1.891477655931945,,1.25,1.0,0.504410323841614,-0.48852198382495415,,-1.0,0.0,2.0866510086576295,-1.5671719976400997,,0.8013797357314016,-1.2234195444572022,-1.2234195444572022,-1.2234195444572022,-1.2234195444572022,0.8013797357314016,-1.2234195444572022,0.7115680669648201,-1.4097593353646567,-1.4097593353646567,-1.4097593353646567,-1.4097593353646567,0.7115680669648201,-1.4097593353646567,-1.0248541979886727,1.1719501144896083,1.1719501144896083,1.1719501144896083,1.1719501144896083,-1.0248541979886727,1.1719501144896083,0.08497044118916362,-2.0445066648441514,-1.2682810733841368,-0.518964755378409,-1.2427060525417535,-0.2890327789778643,-1.0364836257271715,0.14326601147417817,-0.8764338575441005,-0.6823774596790968,-0.49504838017766495,-0.6759837044685011,0.04976520643242119,-0.6244280977648555
P1,86.0,-0.0954593448508036,0.1364426462881459,O5_full_TFC,full triadic projection is already active,0.265191789336054,0.1202129291102803,0.2234456056011832,0.1202129291102803,0.2029501080158392,0.0818140193028471,0.7567249111335096,0.26519178933605403,0.22923353609022795,0.0876381210551276,0.1946907566179433,0.0876381210551276,0.0247502471506284,0.4515106225141994,0.2248928172816612,-0.5372212224344354,0.39464251403717204,-0.12388075357836244,-0.780241887112137,O1_lag0_AB,0.4515106225141994,-0.12388075357836244,False,0.0,0.0,q4,low,high,mid,mid,high,mid,high,B_side,mid,phase=q4|str=low|ab=high|ac=mid|bc=mid|tfc=high|mem=mid|dphi=high|side=B_side|dist=mid,side=B_side|tfc=high,-0.052899701327414596,0.504410323841614,good,-1.0,0.0,2.0866510086576295,-3.444051983286227,,-1.0,0.0,2.0866510086576295,-2.9019020085228737,,-1.0,0.0,2.0866510086576295,-1.969882732935608,,-1.0,0.0,2.0866510086576295,-0.977116811068568,,-1.0,0.0,2.0866510086576295,-1.9223322353187353,,-1.0,0.0,2.0866510086576295,1.7534152617907437,,-1.0,0.0,2.0866510086576295,-1.6138142843708416,,-1.22525000917611,-1.2234195444572022,-1.2234195444572022,-1.2234195444572022,-1.2234195444572022,-1.22525000917611,-1.2234195444572022,-1.4053469322555197,-1.4097593353646567,-1.4097593353646567,-1.4097593353646567,-1.4097593353646567,-1.4053469322555197,-1.4097593353646567,1.2169796167781028,1.1719501144896083,1.1719501144896083,1.1719501144896083,1.1719501144896083,1.2169796167781028,1.1719501144896083,-1.9979414935478446,-1.9099615282234017,-1.2906284016105922,-0.5426807322857524,-1.262594087494412,1.0876199873665462,-1.0676096401834625,-0.8528897045503429,-0.842797573388913,-0.6879642917357107,-0.5009773744045007,-0.6809557132066657,-0.08149933432174516,-0.6322096013789282
P1,102.0,0.0197528907662181,0.1694565122691791,O4_B_C_boundary,B-side boundary projection dominates current C-state,0.0540973490405201,0.0347436515587911,0.1969561789382297,0.0347436515587911,0.0952657265125137,0.037453631350961,0.8038995074272522,0.05409734904052015,0.07984537471818198,0.0690791735275339,0.229161492930492,0.0690791735275339,0.2612489761013291,-1.1029816611209489,-0.8505559254962965,-0.7146317367993612,0.8250719898715565,-0.34591896362100494,2.0695901272395587,O6_phase_only,2.0695901272395587,0.8250719898715565,False,0.0,0.0,q1,mid,low,low,mid,low,high,low,B_side,mid,phase=q1|str=mid|ab=low|ac=low|bc=mid|tfc=low|mem=high|dphi=low|side=B_side|dist=mid,side=B_side|tfc=low,-0.01706088141807089,2.0866510086576295,bad,1.75,1.0,1.6812363923234992,0.9417994300330539,,1.75,1.0,1.6812363923234992,0.9858667848395535,,1.75,1.0,1.6812363923234992,2.054346979639691,,1.75,1.0,1.6812363923234992,-2.346926775510375,,1.75,1.0,1.6812363923234992,-0.10171840483064468,,1.75,1.0,1.6812363923234992,0.4203090980808748,,1.75,1.0,1.6812363923234992,0.8842252020867591,,1.2517419012664042,1.2706760933847336,1.2706760933847336,1.2706760933847336,1.2706760933847336,1.2517419012664042,1.2706760933847336,0.7115680669648201,0.7093409314018366,0.7093409314018366,0.7093409314018366,0.7093409314018366,0.7115680669648201,0.7093409314018366,0.6425586676642601,0.6118383669295764,0.6118383669295764,0.6118383669295764,0.6118383669295764,0.6425586676642601,0.6118383669295764,0.5608671205866623,0.692830906682568,1.3522362049050907,-1.2946437525916934,-0.08907520583555899,0.2690313798170194,0.5994186857801821,0.7916839391205367,0.8211715745996786,0.9860228991553093,0.32430290978111326,0.6256950464701468,0.7187250039281259,0.7978185193740821
P1,114.0,-0.2217513832224785,0.2852758562216058,O4_B_C_boundary,B-side boundary projection dominates current C-state,0.0903082324355136,0.0766553435637683,0.3642702978184873,0.0766553435637683,0.1770779579392564,0.0087845789992864,0.8424899841574068,0.09030823243551363,0.1147701786720052,0.1819560545232703,0.0089342005012059,0.0089342005012059,0.1961000335942131,-0.8363259465397231,-0.5991314741948016,0.3643920326028562,-1.9248639901804618,-1.0654900564307268,1.2845392185869395,O6_phase_only,1.2845392185869395,-1.9248639901804618,False,0.0,0.0,q4,high,low,low,high,mid,high,low,B_side,far,phase=q4|str=high|ab=low|ac=low|bc=high|tfc=mid|mem=high|dphi=low|side=B_side|dist=far,side=B_side|tfc=mid,-0.39669717373655977,1.6812363923234992,neutral,0.25,1.0,1.0227431664677982,1.4305057790070175,,0.25,1.0,1.0227431664677982,1.4261044012361008,,0.25,1.0,1.0227431664677982,-1.6422328450479329,,0.25,1.0,1.0227431664677982,2.761183037695045,,0.25,1.0,1.0227431664677982,0.07571412104447828,,0.25,1.0,1.0227431664677982,0.25568579161694954,,0.25,1.0,1.0227431664677982,0.3024922954382487,,-0.09934459533860351,-0.0897397090745041,-0.0897397090745041,-0.0897397090745041,-0.0897397090745041,-0.09934459533860351,-0.0897397090745041,0.7115680669648201,0.7093409314018366,0.7093409314018366,0.7093409314018366,0.7093409314018366,0.7115680669648201,0.7093409314018366,-0.29044248360484903,-0.2979211154135596,-0.2979211154135596,-0.2979211154135596,-0.2979211154135596,-0.29044248360484903,-0.2979211154135596,0.8459898704680588,0.9875622033261005,-1.0754482668083434,1.5094749083187655,0.025293045052141718,0.16794508460892682,0.21120815556817646,0.2919427146223566,0.32731057755996834,-0.18844203997364262,0.4577887538081346,0.08674328799147865,0.1224315181575736,0.13322206562048733
P1,135.0,0.0671318684293076,0.2092282999642921,O2_lag5_AB,current AB is active; read short-lag future AB,0.235566368395934,0.0472317284642276,0.1171743628175972,0.0472317284642276,0.1333241532259196,0.0314075486656171,0.6515494868300825,0.23556636839593403,0.2562777197393053,0.0115817782239738,0.1972870075476994,0.0115817782239738,0.1716725862659696,0.23335002962323634,0.4195845052824404,-1.2642664863066602,0.42706140166106754,-1.0338145846595979,0.9901861718125123,O6_phase_only,0.9901861718125123,0.4195845052824404,False,0.0,0.0,q1,mid,mid,low,low,mid,mid,low,B_side,near,phase=q1|str=mid|ab=mid|ac=low|bc=low|tfc=mid|mem=mid|dphi=low|side=B_side|dist=near,side=B_side|tfc=mid,-0.032556994655285894,1.0227431664677982,neutral,-1.0,0.0,1.8301694807855724,-1.5968068889599842,,-1.0,0.0,1.8301694807855724,-1.389450807793288,,-1.0,0.0,1.8301694807855724,-0.42238066566170246,,-1.0,0.0,1.8301694807855724,-1.848728988068355,,-1.0,0.0,1.8301694807855724,-0.23668929708703823,,-1.0,0.0,1.8301694807855724,0.4575423701963931,,-1.0,0.0,1.8301694807855724,-0.6154699228504444,,-1.22525000917611,-1.2234195444572022,-1.2234195444572022,-1.2234195444572022,-1.2234195444572022,-1.22525000917611,-1.2234195444572022,-1.4053469322555197,-1.4097593353646567,-1.4097593353646567,-1.4097593353646567,-1.4097593353646567,-1.4053469322555197,-1.4097593353646567,0.8535779121167888,0.8176009839814813,0.8176009839814813,0.8176009839814813,0.8176009839814813,0.8535779121167888,0.8176009839814813,-0.920215365976545,-0.8974022036708839,-0.27432497605619693,-1.021155953057911,-0.1760738256882695,0.2918943244235736,-0.4013798472826932,-0.6743085988228464,-0.6782450248778154,-0.5224757179741436,-0.7091834622245722,-0.4979129303821618,-0.3712811762228168,-0.5542394357807677
P1,145.0,-0.1070763984884325,0.1716725862659696,O4_B_C_boundary,B-side boundary projection dominates current C-state,0.1226191362292736,0.0063990746869289,0.219760710353311,0.0063990746869289,0.1162596404231712,0.0280396776877285,0.3672298197414542,0.12261913622927367,0.15861145964723222,0.0541920925954706,0.1114348419744634,0.0541920925954706,0.226474862247534,-0.5983895491890427,-0.28351710372832245,-0.8569417832943346,-0.6449581308454746,-0.5240271671169534,1.65055877188748,O6_phase_only,1.65055877188748,-0.6449581308454746,False,0.0,0.0,q4,mid,mid,low,mid,low,low,low,B_side,far,phase=q4|str=mid|ab=mid|ac=low|bc=mid|tfc=low|mem=low|dphi=low|side=B_side|dist=far,side=B_side|tfc=low,-0.17961070889809255,1.8301694807855724,bad,1.75,1.0,2.0803563556971887,2.76903741000082,,1.75,1.0,2.0803563556971887,-0.13548658406543596,,1.75,1.0,2.0803563556971887,-0.4830955195942093,,1.75,1.0,2.0803563556971887,-0.05406204440669109,,1.75,1.0,2.0803563556971887,-0.1576126368851535,,1.75,1.0,2.0803563556971887,-2.4581843897784936,,1.75,1.0,2.0803563556971887,-1.2319043596521497,,1.2517419012664042,1.2706760933847336,1.2706760933847336,1.2706760933847336,1.2706760933847336,1.2517419012664042,1.2706760933847336,0.7115680669648201,0.7093409314018366,0.7093409314018366,0.7093409314018366,0.7093409314018366,0.7115680669648201,0.7093409314018366,1.208060894111975,1.1632535630385608,1.1632535630385608,1.1632535630385608,1.1632535630385608,1.208060894111975,1.1632535630385608,1.6269206282399742,-0.05789533774462877,-0.3141987283041284,-0.035965882587819936,-0.12510312982106597,-1.4984962486727367,-0.812747911245973,1.1995728726457933,0.7713438125201255,0.7072679648802507,0.7768261763093278,0.7545418645010162,0.4182186534176156,0.5826306691447896
P1,155.0,0.1554367715654621,0.226474862247534,O2_lag5_AB,current AB is active; read short-lag future AB,0.5735217232590317,0.0637374606897099,0.0989907680340648,0.0637374606897099,0.2454166506609355,0.053484816184123,0.7753737849227877,0.5735217232590317,0.28832874201698366,0.1347874887923836,0.1972266194866537,0.1347874887923836,0.1176677664150768,2.7220417763711415,0.6503205374867133,-0.08650635458911528,0.4263073475199876,0.44021164452003414,0.3394229934089089,O1_lag0_AB,2.7220417763711415,0.6503205374867133,False,0.0,0.0,q1,mid,high,low,low,mid,mid,mid,B_side,near,phase=q1|str=mid|ab=high|ac=low|bc=low|tfc=mid|mem=mid|dphi=mid|side=B_side|dist=near,side=B_side|tfc=mid,0.6416854206739527,2.0803563556971887,neutral,0.25,1.0,0.6551270294177465,-1.4536055154989067,,0.25,1.0,0.6551270294177465,1.8627413997983244,,0.25,1.0,0.6551270294177465,1.57353708872191,,0.25,1.0,0.6551270294177465,1.4895683360419372,,0.25,1.0,0.6551270294177465,1.484205904842833,,0.25,1.0,0.6551270294177465,2.5464005403166694,,0.25,1.0,0.6551270294177465,2.4737575297333274,,-0.09934459533860351,-0.0897397090745041,-0.0897397090745041,-0.0897397090745041,-0.0897397090745041,-0.09934459533860351,-0.0897397090745041,0.7115680669648201,0.7093409314018366,0.7093409314018366,0.7093409314018366,0.7093409314018366,0.7115680669648201,0.7093409314018366,-0.8113077949329889,-0.8058113311542549,-0.8058113311542549,-0.8058113311542549,-0.8058113311542549,-0.8113077949329889,-0.8058113311542549,-0.8366683249492746,1.2798829500222786,1.0364700747564026,0.8114165961862793,0.9331691005172384,1.574549485276425,1.6601686977743297,-0.2589381620640117,0.27341821029883906,0.21256499148237007,0.15630162183983923,0.18673974792257902,0.3438662904924132,0.36848964723685185
