event_class,label,heldout_label,task_idx,phase,strength,event_rule,selection_mode,selection_value,fold_status
receiver_standpoint_magnitude_c,P1,P1,42.0,-0.1482350940017722,1.532208435711343,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P1,P1,114.0,-0.2217513832224785,1.217174359721367,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P1,P1,145.0,-0.1070763984884325,0.3484525999366279,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P1,P1,192.0,-0.1039464023075152,0.15379645334379533,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P1,P1,218.0,0.0826799849791917,0.17203769647648315,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P1,P1,330.0,-0.0880205138140065,1.0931236569067295,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P1,P1,347.0,0.0783333981054355,0.22827219164670431,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P1,P1,394.0,-0.2395561751530914,0.1898922589449409,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P10,P10,56.0,0.2951533867861125,0.8494212209363826,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P10,P10,101.0,0.0393428476403445,0.1667058315876978,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P10,P10,175.0,0.1693792155442748,1.2605034203107228,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P10,P10,252.0,-0.1007655179833738,0.5713957434842226,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P10,P10,299.0,0.3142150404850233,6.418506281653832,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P10,P10,321.0,-0.0193354472317494,0.7530190445777006,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P11,P11,103.0,0.0789594950236299,0.6951555909542468,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P11,P11,181.0,0.0812688243422559,0.06962201605573716,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P11,P11,324.0,0.0113287440707904,0.29954108779738703,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P12,P12,18.0,0.0431056136154499,0.17371350031303234,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P12,P12,59.0,-0.0088072614204127,3.930676391181351,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P12,P12,92.0,0.1241373365178793,0.1311414066243265,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P12,P12,118.0,-0.178570284908886,2.6455708764436787,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P12,P12,231.0,-0.0686033034815776,0.7617968458732017,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,10.0,-0.0199780750453744,0.5713410086682302,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,39.0,0.0117774279592946,0.11615565472958597,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,47.0,0.0170060096906269,1.4939174181755162,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,72.0,-0.1264123549288479,1.772899746883889,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,102.0,0.0518721316022312,0.3841979314331253,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,111.0,-0.1729019097150981,0.7040266024052652,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,149.0,-0.0108490153218033,6.54556194690113,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,188.0,0.1144446788729172,0.4078745176474023,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,201.0,-0.070850685957047,0.9007854096760949,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,205.0,0.0562153659403958,0.3557222342801443,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,242.0,-0.0272794459432737,0.2901836232041257,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,280.0,-0.0281468621776483,0.17295532294104804,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P13,P13,366.0,0.0451449911519586,0.49214633377935196,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P14,P14,120.0,-0.0215460235450988,1.5223799242942226,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P14,P14,192.0,0.2159188369000291,0.436754894828935,train threshold q=0.60,quantile,0.6,valid
receiver_standpoint_magnitude_c,P14,P14,210.0,-0.0014434899888829,0.5626002184012986,train threshold q=0.60,quantile,0.6,valid
