mode,endpoint,operator_pool,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,z_reward,full,object,true_vs_random,0.6027504572719956,-1.0906006215534967,1.6933510788254924,0.0001999600079984003,222
combined_c_fes_gmr72,z_reward,full,object,true_vs_balanced,0.6027504572719956,1.0628471690693178,-0.46009671179732226,0.9640071985602879,222
combined_c_fes_gmr72,z_reward,full,object,true_vs_performance_matched,0.6027504572719956,-1.5027132668229402,2.105463724094936,0.0001999600079984003,222
combined_c_fes_gmr72,z_reward,full,object,true_vs_shuffled_c,0.6027504572719956,-0.5362068412478204,1.138957298519816,0.0001999600079984003,222
combined_c_fes_gmr72,z_reward,full,object,true_vs_phase_rotated,0.6027504572719956,1.3293593497715066,-0.7266088924995108,1.0,222
combined_c_fes_gmr72,z_reward,core_5,object,true_vs_random,0.7391355735714641,-1.0248685307854732,1.7640041043569372,0.0001999600079984003,222
combined_c_fes_gmr72,z_reward,core_5,object,true_vs_balanced,0.7391355735714641,1.1353282185484286,-0.39619264497696427,0.9486102779444111,222
combined_c_fes_gmr72,z_reward,core_5,object,true_vs_performance_matched,0.7391355735714641,-2.011125778796959,2.7502613523684234,0.0001999600079984003,222
combined_c_fes_gmr72,z_reward,core_5,object,true_vs_shuffled_c,0.7391355735714641,-0.4741853329179721,1.2133209064894361,0.0001999600079984003,222
combined_c_fes_gmr72,z_reward,core_5,object,true_vs_phase_rotated,0.7391355735714641,1.5150211589837548,-0.7758855854122905,1.0,222
combined_c_fes_gmr72,z_reward,no_phase_only,object,true_vs_random,0.6395771334559965,-1.0917860015400573,1.7313631349960537,0.0001999600079984003,222
combined_c_fes_gmr72,z_reward,no_phase_only,object,true_vs_balanced,0.6395771334559965,1.1189427898281519,-0.47936565637215484,0.9722055588882224,222
combined_c_fes_gmr72,z_reward,no_phase_only,object,true_vs_performance_matched,0.6395771334559965,-1.7066883882497577,2.346265521705754,0.0001999600079984003,222
combined_c_fes_gmr72,z_reward,no_phase_only,object,true_vs_shuffled_c,0.6395771334559965,-0.5459697592394261,1.1855468926954227,0.0001999600079984003,222
combined_c_fes_gmr72,z_reward,no_phase_only,object,true_vs_phase_rotated,0.6395771334559965,1.4520901392063919,-0.8125130057503952,1.0,222
combined_c_fes_gmr72,z_reward,no_suppress,object,true_vs_random,0.620092045369891,-0.9773021666427161,1.597394212012607,0.0001999600079984003,222
combined_c_fes_gmr72,z_reward,no_suppress,object,true_vs_balanced,0.620092045369891,1.1177842314551314,-0.49769218608524074,0.9712057588482303,222
combined_c_fes_gmr72,z_reward,no_suppress,object,true_vs_performance_matched,0.620092045369891,-1.682261104455847,2.302353149825738,0.0001999600079984003,222
combined_c_fes_gmr72,z_reward,no_suppress,object,true_vs_shuffled_c,0.620092045369891,-0.5290774865456231,1.149169531915514,0.0001999600079984003,222
combined_c_fes_gmr72,z_reward,no_suppress,object,true_vs_phase_rotated,0.620092045369891,1.3233883991990718,-0.7032963538291807,1.0,222
combined_c_fes_gmr72,rank_reward,full,object,true_vs_random,0.5051896726693629,-1.0820377096689864,1.5872273823383494,0.0001999600079984003,222
combined_c_fes_gmr72,rank_reward,full,object,true_vs_balanced,0.5051896726693629,1.1576705040155006,-0.6524808313461379,0.9902019596080783,222
combined_c_fes_gmr72,rank_reward,full,object,true_vs_performance_matched,0.5051896726693629,-1.4795182474670945,1.9847079201364575,0.0001999600079984003,222
combined_c_fes_gmr72,rank_reward,full,object,true_vs_shuffled_c,0.5051896726693629,-0.5385251647412346,1.0437148374105973,0.0001999600079984003,222
combined_c_fes_gmr72,rank_reward,full,object,true_vs_phase_rotated,0.5051896726693629,1.3146599911106485,-0.8094703184412854,1.0,222
combined_c_fes_gmr72,rank_reward,core_5,object,true_vs_random,0.6972155289237076,-0.985729449016338,1.6829449779400456,0.0001999600079984003,222
combined_c_fes_gmr72,rank_reward,core_5,object,true_vs_balanced,0.6972155289237076,1.1421687844705561,-0.4449532555468484,0.9600079984003199,222
combined_c_fes_gmr72,rank_reward,core_5,object,true_vs_performance_matched,0.6972155289237076,-2.0444558849199934,2.7416714138437013,0.0001999600079984003,222
combined_c_fes_gmr72,rank_reward,core_5,object,true_vs_shuffled_c,0.6972155289237076,-0.512015696571527,1.2092312254952347,0.0001999600079984003,222
combined_c_fes_gmr72,rank_reward,core_5,object,true_vs_phase_rotated,0.6972155289237076,1.5781142441476053,-0.8808987152238975,1.0,222
combined_c_fes_gmr72,rank_reward,no_phase_only,object,true_vs_random,0.5830700097938942,-1.0760870629115769,1.659157072705471,0.0001999600079984003,222
combined_c_fes_gmr72,rank_reward,no_phase_only,object,true_vs_balanced,0.5830700097938942,1.1186706625945748,-0.5356006528006805,0.9806038792241552,222
combined_c_fes_gmr72,rank_reward,no_phase_only,object,true_vs_performance_matched,0.5830700097938942,-1.715368469886793,2.298438479680687,0.0001999600079984003,222
combined_c_fes_gmr72,rank_reward,no_phase_only,object,true_vs_shuffled_c,0.5830700097938942,-0.5035168501113441,1.0865868599052384,0.0001999600079984003,222
combined_c_fes_gmr72,rank_reward,no_phase_only,object,true_vs_phase_rotated,0.5830700097938942,1.4559303975113946,-0.8728603877175005,1.0,222
combined_c_fes_gmr72,rank_reward,no_suppress,object,true_vs_random,0.5803566118455148,-1.0005014721719734,1.580858084017488,0.0001999600079984003,222
combined_c_fes_gmr72,rank_reward,no_suppress,object,true_vs_balanced,0.5803566118455148,1.1830971705433275,-0.6027405586978126,0.991001799640072,222
combined_c_fes_gmr72,rank_reward,no_suppress,object,true_vs_performance_matched,0.5803566118455148,-1.7099544116673193,2.290311023512834,0.0001999600079984003,222
combined_c_fes_gmr72,rank_reward,no_suppress,object,true_vs_shuffled_c,0.5803566118455148,-0.5532884406153618,1.1336450524608765,0.0001999600079984003,222
combined_c_fes_gmr72,rank_reward,no_suppress,object,true_vs_phase_rotated,0.5803566118455148,1.3931600604940628,-0.8128034486485478,1.0,222
combined_c_fes_gmr72,gmr72_bridge_composite,full,object,true_vs_random,1.1002876607676388,-1.8502905418018274,2.9505782025694662,0.0001999600079984003,222
combined_c_fes_gmr72,gmr72_bridge_composite,full,object,true_vs_balanced,1.1002876607676388,0.9952768707850261,0.10501078998261267,0.26194761047790444,222
combined_c_fes_gmr72,gmr72_bridge_composite,full,object,true_vs_performance_matched,1.1002876607676388,-1.7567881403170853,2.8570758010847244,0.0001999600079984003,222
combined_c_fes_gmr72,gmr72_bridge_composite,full,object,true_vs_shuffled_c,1.1002876607676388,-0.028580724157331854,1.1288683849249705,0.0001999600079984003,222
combined_c_fes_gmr72,gmr72_bridge_composite,full,object,true_vs_phase_rotated,1.1002876607676388,1.4242623012892972,-0.3239746405216585,1.0,222
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,object,true_vs_random,1.0527472852196456,-1.9250600607964554,2.9778073460161005,0.0001999600079984003,222
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,object,true_vs_balanced,1.0527472852196456,1.0988522411569976,-0.04610495593735244,0.6040791841631674,222
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,object,true_vs_performance_matched,1.0527472852196456,-1.5671268941449261,2.619874179364572,0.0001999600079984003,222
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,object,true_vs_shuffled_c,1.0527472852196456,-0.13933814148324897,1.1920854267028944,0.0001999600079984003,222
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,object,true_vs_phase_rotated,1.0527472852196456,1.3436441773323622,-0.2908968921127169,0.9996000799840032,222
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,object,true_vs_random,1.0677003748582883,-1.8339470679411958,2.9016474427994843,0.0001999600079984003,222
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,object,true_vs_balanced,1.0677003748582883,1.0405883110218457,0.027112063836442914,0.4341131773645271,222
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,object,true_vs_performance_matched,1.0677003748582883,-1.7174628603275206,2.7851632351858084,0.0001999600079984003,222
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,object,true_vs_shuffled_c,1.0677003748582883,-0.08538046137077532,1.1530808362290637,0.0001999600079984003,222
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,object,true_vs_phase_rotated,1.0677003748582883,1.4014569963435688,-0.33375662148528057,1.0,222
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,object,true_vs_random,1.0694638952425122,-1.9183541931154724,2.9878180883579843,0.0001999600079984003,222
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,object,true_vs_balanced,1.0694638952425122,1.068000109010567,0.001463786231945741,0.5046990601879624,222
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,object,true_vs_performance_matched,1.0694638952425122,-1.6182928328152606,2.687756728057773,0.0001999600079984003,222
