mode,endpoint,operator_pool,direction,robust_success,strong_success,intersection_core_pass_count,intersection_stress_pass_count,object_pass_count,objectification_gap,pass_balanced,pass_shuffled_c,pass_phase_rotated,pass_random,pass_performance,mean_intersection_effect,mean_true_intersection,mean_object_effect,mean_true_object
linear_c_state,rank_reward,full,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.05628668779703864,-0.6686005937902414,0.6612670472717079,0.5510558727264255
gmr72_phase_conditioned,rank_reward,core_5,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.056046333544490456,-0.6349409479471203,0.9643538064804826,0.8036281720670694
gmr72_phase_conditioned,rank_reward,no_phase_only,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.055827318650387855,-0.6451955309494392,0.8549182826989158,0.7124319022490951
linear_c_state,rank_reward,core_5,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.05575475141497127,-0.6371583532902109,1.0432755151891697,0.8693962626576417
gmr72_phase_conditioned,rank_reward,no_suppress,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.05569595198203668,-0.6618674003169291,0.7254857614060944,0.6045714678384125
linear_c_state,rank_reward,no_phase_only,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.05550625533545987,-0.647444554530824,0.938573784708171,0.7821448205901425
gmr72_phase_conditioned,rank_reward,full,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.05525600716411285,-0.6678307077125156,0.6298281306033368,0.5248567755027801
gmr72_phase_conditioned,z_reward,no_phase_only,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.04928173252368455,-0.645162939468008,0.7265430027670726,0.6054525023058958
gmr72_phase_conditioned,z_reward,core_5,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.04900356486309896,-0.641631278726884,0.8480354904259062,0.7066962420215883
linear_c_state,z_reward,no_suppress,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.04893805778263276,-0.6730028367782735,0.6725301910389826,0.5604418258658176
linear_c_state,z_reward,full,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.048738158789785116,-0.6742971622952946,0.5703234462910152,0.47526953857584414
gmr72_phase_conditioned,z_reward,no_suppress,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.04866943788511578,-0.6712792935703237,0.7081148914348173,0.590095742862347
gmr72_phase_conditioned,z_reward,full,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.048572898091323605,-0.6724899261213474,0.6005563862961998,0.5004636552468312
linear_c_state,z_reward,no_phase_only,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.046910223076509355,-0.6497980524937287,0.7527659630027616,0.6273049691689675
linear_c_state,z_reward,core_5,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.04661337570183578,-0.6462849368367968,0.858115879037691,0.7150965658647429
gmr72_phase_conditioned,gmr72_bridge_composite,no_phase_only,A_to_C_to_B,False,False,2,2,2,2,True,False,True,True,True,0.009621733206805871,-0.26332657835400364,1.2152250622822955,1.012687551901915
gmr72_phase_conditioned,gmr72_bridge_composite,core_5,A_to_C_to_B,False,False,2,2,2,2,True,False,True,True,True,0.009447269721881351,-0.25532323102233584,1.2870350310305063,1.072529192525423
gmr72_phase_conditioned,gmr72_bridge_composite,full,A_to_C_to_B,False,False,2,2,2,2,True,False,True,True,True,0.008966354207836993,-0.26958128248496205,1.1492347477697429,0.957695623141454
gmr72_phase_conditioned,gmr72_bridge_composite,no_suppress,A_to_C_to_B,False,False,2,2,2,2,True,False,True,True,True,0.008924257185948069,-0.26489537734171775,1.27974497319584,1.0664541443298663
fes_string_conditioned,gmr72_bridge_composite,core_5,A_to_C_to_B,False,False,2,0,2,0,True,False,True,False,False,0.0032874520228931047,-0.26035760740402564,1.4451200116790317,1.20426667639919
fes_string_conditioned,gmr72_bridge_composite,no_phase_only,A_to_C_to_B,False,False,2,0,2,0,True,False,True,False,False,0.0032165836761765916,-0.2684443429933273,1.3561394706387027,1.1301162255322543
fes_string_conditioned,gmr72_bridge_composite,no_suppress,A_to_C_to_B,False,False,2,0,2,0,True,False,True,False,False,0.002684408395847523,-0.2696625040205749,1.5231952065949155,1.2693293388290914
fes_string_conditioned,gmr72_bridge_composite,full,A_to_C_to_B,False,False,2,0,2,0,True,False,True,False,False,0.002658953241319536,-0.27432018871700853,1.355837485868311,1.1298645715569307
fes_string_conditioned,rank_reward,no_suppress,A_to_C_to_B,False,False,1,1,2,0,False,True,False,False,True,0.019031983182215568,-0.6991882249855689,1.3484291169176221,1.123690930764685
fes_string_conditioned,rank_reward,full,A_to_C_to_B,False,False,1,1,2,0,False,True,False,False,True,0.018959219792856672,-0.7052091583314067,1.2102251096658727,1.0085209247215594
combined_c_fes_gmr72,rank_reward,core_5,A_to_C_to_B,False,False,1,1,3,-1,False,False,True,False,True,0.028082857269892448,-0.6635147882638158,0.8615991293016473,0.6972155289237076
combined_c_fes_gmr72,rank_reward,no_phase_only,A_to_C_to_B,False,False,1,1,3,-1,False,False,True,False,True,0.02744434064366231,-0.6741271623693958,0.7271442743546431,0.5830700097938942
fes_string_conditioned,rank_reward,full,B_to_C_to_A,False,False,0,1,2,-1,False,False,False,False,True,0.013518365353684924,-0.7199521658516409,1.2102251096658727,1.0085209247215594
fes_string_conditioned,rank_reward,no_suppress,B_to_C_to_A,False,False,0,1,2,-1,False,False,False,False,True,0.01319369815866929,-0.7143541578818177,1.3484291169176221,1.123690930764685
fes_string_conditioned,rank_reward,no_phase_only,A_to_C_to_B,False,False,0,1,2,-1,False,False,False,False,True,0.012546978542891513,-0.6900161861791676,1.1933039659235756,0.9944199716029797
fes_string_conditioned,rank_reward,core_5,A_to_C_to_B,False,False,0,1,2,-1,False,False,False,False,True,0.012226954419470352,-0.6800647762565081,1.363478177143752,1.1362318142864636
fes_string_conditioned,rank_reward,no_phase_only,B_to_C_to_A,False,False,0,1,2,-1,False,False,False,False,True,0.009812111301445044,-0.7045066031737759,1.1933039659235756,0.9944199716029797
fes_string_conditioned,rank_reward,core_5,B_to_C_to_A,False,False,0,1,2,-1,False,False,False,False,True,0.008777454496541333,-0.6948929266397651,1.363478177143752,1.1362318142864636
fes_string_conditioned,z_reward,full,A_to_C_to_B,False,False,0,1,2,-1,False,False,False,False,True,0.008414338056225337,-0.7151615305913658,0.987233007190411,0.8226941726586772
fes_string_conditioned,z_reward,no_suppress,A_to_C_to_B,False,False,0,1,2,-1,False,False,False,False,True,0.008220871754890592,-0.7139829366691688,1.2022065865188927,1.001838822099078
fes_string_conditioned,z_reward,no_phase_only,A_to_C_to_B,False,False,0,1,2,-1,False,False,False,False,True,0.005291722501503047,-0.6912502906577613,1.0495167524369298,0.8745972936974382
fes_string_conditioned,z_reward,full,B_to_C_to_A,False,False,0,1,2,-1,False,False,False,False,True,0.00428843781093891,-0.7291747280009727,0.987233007190411,0.8226941726586772
fes_string_conditioned,z_reward,no_suppress,B_to_C_to_A,False,False,0,1,2,-1,False,False,False,False,True,0.003757903156268432,-0.7284304856203497,1.2022065865188927,1.001838822099078
fes_string_conditioned,gmr72_bridge_composite,full,B_to_C_to_A,False,False,0,1,2,-1,False,False,False,False,True,0.002532847834949839,-0.2770732435662975,1.355837485868311,1.1298645715569307
fes_string_conditioned,gmr72_bridge_composite,no_suppress,B_to_C_to_A,False,False,0,1,2,-1,False,False,False,False,True,0.002332059979385367,-0.2723472207726736,1.5231952065949155,1.2693293388290914
fes_string_conditioned,gmr72_bridge_composite,no_phase_only,B_to_C_to_A,False,False,0,1,2,-1,False,False,False,False,True,0.0022643458578630415,-0.27203998711114746,1.3561394706387027,1.1301162255322543
fes_string_conditioned,gmr72_bridge_composite,core_5,B_to_C_to_A,False,False,0,1,2,-1,False,False,False,False,True,0.0019489582765253345,-0.26357727226360816,1.4451200116790317,1.20426667639919
fes_string_conditioned,z_reward,no_phase_only,B_to_C_to_A,False,False,0,1,2,-1,False,False,False,False,True,0.001406392690577207,-0.7073789530791975,1.0495167524369298,0.8745972936974382
fes_string_conditioned,z_reward,core_5,B_to_C_to_A,False,False,0,1,2,-1,False,False,False,False,True,0.00020010745900187198,-0.7043550063269007,1.3080110040334563,1.0900091700278796
combined_c_fes_gmr72,rank_reward,no_suppress,A_to_C_to_B,False,False,0,1,3,-2,False,False,False,False,True,0.02459919535311907,-0.6936324915761415,0.7178540305289677,0.5803566118455148
combined_c_fes_gmr72,rank_reward,full,A_to_C_to_B,False,False,0,1,3,-2,False,False,False,False,True,0.02393569033090709,-0.7004877284656877,0.6307397980195961,0.5051896726693629
