mode,endpoint,operator_pool,direction,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,gmr72_bridge_composite,full,A_to_C_to_B,intersection,true_vs_random,-0.27560714915150314,-0.2775657860012983,0.0019586368497951446,0.4081183763247351,502
combined_c_fes_gmr72,gmr72_bridge_composite,full,A_to_C_to_B,intersection,true_vs_balanced,-0.27560714915150314,-0.27687332890592253,0.0012661797544194328,0.3757248550289942,502
combined_c_fes_gmr72,gmr72_bridge_composite,full,A_to_C_to_B,intersection,true_vs_performance_matched,-0.27560714915150314,-0.27882944394106635,0.003222294789563263,0.2725454909018196,502
combined_c_fes_gmr72,gmr72_bridge_composite,full,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.27560714915150314,-0.2767331707220683,0.001126021570565224,0.4243151369726055,502
combined_c_fes_gmr72,gmr72_bridge_composite,full,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.27560714915150314,-0.28089059594230287,0.005283446790799787,0.11537692461507698,502
combined_c_fes_gmr72,gmr72_bridge_composite,full,B_to_C_to_A,intersection,true_vs_random,-0.2802271600213212,-0.27975261652583905,-0.00047454349548219766,0.5316936612677464,502
combined_c_fes_gmr72,gmr72_bridge_composite,full,B_to_C_to_A,intersection,true_vs_balanced,-0.2802271600213212,-0.2773493154866781,-0.0028778445346430686,0.8114377124575085,502
combined_c_fes_gmr72,gmr72_bridge_composite,full,B_to_C_to_A,intersection,true_vs_performance_matched,-0.2802271600213212,-0.28747912629376626,0.007251966272445062,0.07838432313537293,502
combined_c_fes_gmr72,gmr72_bridge_composite,full,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.2802271600213212,-0.2771873851879184,-0.0030397748334028154,0.7262547490501899,502
combined_c_fes_gmr72,gmr72_bridge_composite,full,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.2802271600213212,-0.28266571811817887,0.002438558096857677,0.3041391721655669,502
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,A_to_C_to_B,intersection,true_vs_random,-0.2603430401365464,-0.26366036139496607,0.0033173212584196696,0.33553289342131576,502
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,A_to_C_to_B,intersection,true_vs_balanced,-0.2603430401365464,-0.2625932457024677,0.002250205565921347,0.28374325134973005,502
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,A_to_C_to_B,intersection,true_vs_performance_matched,-0.2603430401365464,-0.2642441527512536,0.00390111261470721,0.21815636872625474,502
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.2603430401365464,-0.26270662831445596,0.0023635881779095775,0.366126774645071,502
combined_c_fes_gmr72,gmr72_bridge_composite,core_5,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.2603430401365464,-0.2658084725423892,0.005465432405842838,0.129374125174965,502
