operator_pool,conditions,robust_successes,strong_successes,mean_core_pass,mean_object_pass
core_5,24,3,3,1.5833333333333333,2.5833333333333335
full,24,3,3,1.5833333333333333,2.5833333333333335
no_phase_only,24,3,3,1.5833333333333333,2.5833333333333335
no_suppress,24,3,3,1.5833333333333333,2.5833333333333335
