c_representation,topology_arm,n_nodes,n_directed_edges,n_seed_events,mean_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,topology_notes,effect_vs_no_topology_baseline,effect_vs_c8_1,effect_vs_c10,effect_vs_c11,effect_vs_c13,effect_vs_c14,effect_vs_c12_reversed,effect_vs_c12_side_broken,effect_vs_c12_shuffled,effect_vs_topology_capacity_matched_null,effect_vs_path_rewired_control,effect_vs_h24_possible_factorisations_168,effect_vs_h24_available_factorisations_junction_coupled,effect_vs_h24_one_factorisation_class_removed,effect_vs_h24_one_junction_family_broken,effect_vs_h24_paths_available_but_mutually_disconnected,effect_vs_h24_complete_factorisation_suite_coupled,effect_vs_h24_degree_matched_null
receiver_only_c,no_topology_baseline,12,0,132,0.03659176613592321,0.019126862188116493,0.006818172432595325,0.02040816326530612,12 nodes with no coupling edges,0.0,,0.0449520388020542,0.045203240777774,0.04069537991733705,0.041772872238045274,-0.0024277596664444845,0.023312227855032126,0.02164278545484117,,,,,,,,,
receiver_only_c,c12_1_2,12,48,132,0.03816217852379416,0.01720503572751849,0.0157171328327426,0.02040816326530612,primary Luke/D12RG normalized readout candidate,0.0015704123878709508,,0.04652245118992515,0.04677365316564495,0.042265792305208,0.043343284625916224,-0.0008573472785735337,0.024882640242903077,0.02321319784271212,,,,,,,,,
receiver_only_c,c12_reversed,12,48,132,0.03901952580236769,0.018866796686881553,0.009092236912134975,0.04081632653061224,"C12(1,2) with all directed arrows reversed",0.0024277596664444845,,0.047379798468498685,0.04763100044421848,0.043123139583781535,0.04420063190448976,0.0,0.02573998752147661,0.024070545121285654,,,,,,,,,
receiver_only_c,c12_side_broken,12,48,132,0.01327953828089108,0.012961987574209823,0.009430032168746619,0.02040816326530612,degree-matched C12 side-correspondence-broken control,-0.023312227855032126,,0.02163981094702207,0.02189101292274187,0.017383152062304924,0.018460644383013147,-0.02573998752147661,0.0,-0.0016694424001909586,,,,,,,,,
receiver_only_c,c12_shuffled,12,48,132,0.014948980681082039,0.007126419496255851,0.005437990664116777,0.04081632653061224,C12 capacity-preserving target-shuffled control,-0.02164278545484117,,0.02330925334721303,0.023560455322932827,0.01905259446249588,0.020130086783204104,-0.024070545121285654,0.0016694424001909586,0.0,,,,,,,,,
receiver_only_c,c10,10,40,132,-0.00836027266613099,-0.00275888571868055,-0.0069332693639056345,0.8979591836734694,"C10(1,2) neighbouring-cycle control",-0.0449520388020542,,0.0,0.0002512019757197996,-0.004256658884717148,-0.0031791665640089244,-0.047379798468498685,-0.02163981094702207,-0.02330925334721303,,,,,,,,,
receiver_only_c,c11,11,44,132,-0.00861147464185079,-0.002238760877127326,-0.0021174802069821395,0.7551020408163265,"C11(1,2) neighbouring-cycle control",-0.045203240777774,,-0.0002512019757197996,0.0,-0.004507860860436947,-0.003430368539728724,-0.04763100044421848,-0.02189101292274187,-0.023560455322932827,,,,,,,,,
receiver_only_c,c13,13,52,132,-0.004103613781413843,0.001465593908490265,0.00015627841505144475,0.3877551020408163,"C13(1,2) neighbouring-cycle control",-0.04069537991733705,,0.004256658884717148,0.004507860860436947,0.0,0.0010774923207082232,-0.043123139583781535,-0.017383152062304924,-0.01905259446249588,,,,,,,,,
receiver_only_c,c14,14,56,132,-0.0051811061021220664,0.00023346628103021114,0.001687671380839118,0.4489795918367347,"C14(1,2) neighbouring-cycle control",-0.041772872238045274,,0.0031791665640089244,0.003430368539728724,-0.0010774923207082232,0.0,-0.04420063190448976,-0.018460644383013147,-0.020130086783204104,,,,,,,,,
receiver_standpoint_magnitude_c,no_topology_baseline,12,0,132,0.031345907385753186,0.01279538207227313,0.01864219032939421,0.02040816326530612,12 nodes with no coupling edges,0.0,,0.03782526725107943,0.044470002579293864,0.03572154818059439,0.03519732950755823,-0.006995210450164359,0.03269529979521596,0.03506221416176236,,,,,,,,,
receiver_standpoint_magnitude_c,c12_1_2,12,48,132,0.03780770063738473,0.014655977929895852,0.015813913690136905,0.02040816326530612,primary Luke/D12RG normalized readout candidate,0.006461793251631542,,0.04428706050271097,0.05093179583092541,0.042183341432225935,0.04165912275918977,-0.0005334171985328165,0.0391570930468475,0.041524007413393904,,,,,,,,,
receiver_standpoint_magnitude_c,c12_reversed,12,48,132,0.038341117835917544,0.014602506084625096,0.006784233795409503,0.04081632653061224,"C12(1,2) with all directed arrows reversed",0.006995210450164359,,0.04482047770124379,0.05146521302945822,0.04271675863075875,0.04219253995772259,0.0,0.03969051024538032,0.04205742461192672,,,,,,,,,
receiver_standpoint_magnitude_c,c12_side_broken,12,48,132,-0.0013493924094627743,0.0015189097777642071,-0.0010377055807333352,0.4489795918367347,degree-matched C12 side-correspondence-broken control,-0.03269529979521596,,0.005129967455863471,0.011774702784077907,0.0030262483853784354,0.002502029712342272,-0.03969051024538032,0.0,0.002366914366546402,,,,,,,,,
receiver_standpoint_magnitude_c,c12_shuffled,12,48,132,-0.003716306776009176,-0.006083002893349435,-0.0016519321053401195,0.8775510204081632,C12 capacity-preserving target-shuffled control,-0.03506221416176236,,0.002763053089317069,0.009407788417531504,0.0006593340188320333,0.00013511534579587056,-0.04205742461192672,-0.002366914366546402,0.0,,,,,,,,,
receiver_standpoint_magnitude_c,c10,10,40,132,-0.006479359865326245,-0.004162733513210486,-0.0008246387440136553,0.7142857142857143,"C10(1,2) neighbouring-cycle control",-0.03782526725107943,,0.0,0.006644735328214435,-0.0021037190704850358,-0.0026279377435211985,-0.04482047770124379,-0.005129967455863471,-0.002763053089317069,,,,,,,,,
