,receiver_only_c,receiver_standpoint_magnitude_c,phi_eigen_energy_c,phi_differential_invariant_c
receiver_only_c,1.0,0.68644240373295,0.9248210113328252,0.050299466689484595
receiver_standpoint_magnitude_c,0.68644240373295,1.0,0.6956438122335761,0.03598813673855049
phi_eigen_energy_c,0.9248210113328252,0.6956438122335761,1.0,0.04615313804445327
phi_differential_invariant_c,0.050299466689484595,0.03598813673855049,0.04615313804445327,1.0
