label,idx_in_session,phase,strength,C_memory_scalar,O1_lag0_AB_raw,O2_lag5_AB_raw,ab_receiver_side,ba_receiver_side,ab_sender_side,ba_sender_side,ab_standpoint_polarity,ba_standpoint_polarity,ab_inverted_standpoint_polarity,ba_inverted_standpoint_polarity,ab_standpoint_magnitude,ba_standpoint_magnitude,ab_inverted_standpoint_magnitude,ba_inverted_standpoint_magnitude,scalar_c,directed_c,receiver_only_c,magnitude_only_c,receiver_magnitude_c,standpoint_inversion_c,receiver_standpoint_magnitude_c,endpoint_o1o2_reference,phi_signed_balance_c,phi_opposite_balance_c,phi_magnitude_balance_c,phi_eigen_energy_c,phi_ratio_closure_c,dvj_half_shift_bridge_c,phi_differential_invariant_c,phi_substitution_invariant_c,phi_full_invariant_c,phi_c12_product_shell_c,phi_c12_abs_shell_c
P1,42.0,-0.1482350940017722,0.3509050971810473,0.9126085211488411,0.10357620659485237,0.20660109910889468,0.3583805531111812,0.0068961004608218,0.0068961004608218,0.3583805531111812,0.35148445265035944,-0.35148445265035944,-0.35148445265035944,0.35148445265035944,0.35148445265035944,0.35148445265035944,0.35148445265035944,0.35148445265035944,0.8523446884862649,1.7716551896004267,0.11664412656128233,1.8333609490363239,1.1337315985690357,1.8333609490363239,1.532208435711343,-0.3933845966717812,-1.6661246349463723,-0.7940712943187891,-1.6661246349463723,0.7940712943187891,-2.874611288955686,1.8098794081676548,-0.6257986683981513,-0.1397906342771342,-0.2500199814732677,-0.46525437921958945,0.48003902199505755
P1,53.0,0.153373759199195,0.2010800482409479,0.8042894328442071,0.036058178922929805,0.14324743436499915,0.0748497347889251,0.1076205934652459,0.1076205934652459,0.0748497347889251,-0.03277085867632079,0.03277085867632079,0.03277085867632079,-0.03277085867632079,0.03277085867632079,0.03277085867632079,0.03277085867632079,0.03277085867632079,0.48377767582073095,-0.4379025305779725,-0.8971220764553947,-0.8619842296680537,-1.0161491877339828,-0.8619842296680537,-0.969869264056917,-0.9568263826634695,0.9223946366161916,0.9671474263868008,0.9223946366161916,-0.9671474263868008,0.8607886880773165,-0.8761791430173964,0.3990163742337759,-0.03095188764074393,-0.022263453857195005,0.36144385234588544,-0.17772682248508587
P1,66.0,-0.14228507273569,0.2337503920317854,0.7875305059722026,0.19195655192322256,0.2642043798972934,0.1135617488390458,0.1768592239983368,0.1768592239983368,0.1135617488390458,-0.06329747515929102,0.06329747515929102,0.06329747515929102,-0.06329747515929102,0.06329747515929102,0.06329747515929102,0.06329747515929102,0.06329747515929102,0.4267536765481063,-0.6134376998590242,-0.2984736714723854,-0.6038221364432707,-0.5195233822439008,-0.6038221364432707,-0.5800963240395518,0.23511858462301105,0.8237973555255661,0.49885351115206766,0.8237973555255661,-0.49885351115206766,0.9299569477148044,-0.599750710828039,-0.4131253075320827,-0.031127488520656943,-0.18834476594532282,0.1400771951677129,-0.31380068916634285
P1,85.0,0.0409833014373422,0.098866622125212,0.6686543223376353,0.2715256434922839,0.2636286507710695,0.2046637225337445,0.1086118511029543,0.1086118511029543,0.2046637225337445,0.09605187143079022,-0.09605187143079022,-0.09605187143079022,0.09605187143079022,0.09605187143079022,0.09605187143079022,0.09605187143079022,0.09605187143079022,0.022265044257822206,0.30285823304003134,-0.1717317667078646,-0.32681981918739184,-0.28550454156412647,-0.32681981918739184,-0.3162046804681668,0.5752086407282341,-0.11810724890902358,0.0314581147902998,-0.11810724890902358,-0.0314581147902998,-0.002293599429582392,-0.3054299072325457,-0.399387649933069,-0.031144166305324388,-0.18835348088662607,-0.3245431695956382,-0.298721685562109
P1,86.0,-0.0954593448508036,0.1364426462881459,0.7567249111335096,0.26519178933605403,0.22923353609022795,0.2234456056011832,0.1202129291102803,0.1202129291102803,0.2234456056011832,0.10323267649090291,-0.10323267649090291,-0.10323267649090291,0.10323267649090291,0.10323267649090291,0.10323267649090291,0.10323267649090291,0.10323267649090291,0.32193442224317365,0.3441495380395322,-0.003240774770819144,-0.26609210419834334,-0.1526444456634818,-0.26609210419834334,-0.21623581460469063,0.39985824585257634,-0.2334690362256132,-0.13537354591014283,-0.2334690362256132,0.13537354591014283,0.009555974854221846,-0.23783963050513696,-0.6031677628390248,-0.03114432966810028,-0.22949322653137072,-0.09183297714878003,-0.5348136099884003
P1,102.0,0.0197528907662181,0.1694565122691791,0.8038995074272522,0.05409734904052015,0.07984537471818198,0.1969561789382297,0.0347436515587911,0.0347436515587911,0.1969561789382297,0.1622125273794386,-0.1622125273794386,-0.1622125273794386,0.1622125273794386,0.1622125273794386,0.1622125273794386,0.1622125273794386,0.1622125273794386,0.48245091385902367,0.6832974457569141,-0.6241161753829628,0.232697592064399,-0.22340794749751436,0.232697592064399,0.004797178228103603,-1.1521271923517986,-0.28296323693969144,0.28963307087365436,-0.28296323693969144,-0.28963307087365436,-0.9560204632787253,0.2184972965319387,-0.1302419210650509,-0.136900789686472,-0.18835358169206556,0.22784072605756195,-0.5294960242363044
P1,114.0,-0.2217513832224785,0.2852758562216058,0.8424899841574068,0.09030823243551363,0.1147701786720052,0.3642702978184873,0.0766553435637683,0.0766553435637683,0.3642702978184873,0.287614954254719,-0.287614954254719,-0.287614954254719,0.287614954254719,0.287614954254719,0.287614954254719,0.287614954254719,0.287614954254719,0.6137590419866438,1.4043906675388664,0.5361612685481292,1.2932197444506819,1.0638152957518816,1.2932197444506819,1.217174359721367,-0.8458667781423221,-1.499272480658179,-1.0279019951096686,-1.499272480658179,1.0279019951096686,-0.8032647772388127,1.3152843551136397,2.208843306891414,-0.13742603751511046,-0.02503538504286108,-1.5607482057611715,-0.6713986937120454
P1,135.0,0.0671318684293076,0.2092282999642921,0.6515494868300825,0.23556636839593403,0.2562777197393053,0.1171743628175972,0.0472317284642276,0.0472317284642276,0.1171743628175972,0.0699426343533696,-0.0699426343533696,-0.0699426343533696,0.0699426343533696,0.0699426343533696,0.0699426343533696,0.0699426343533696,0.0699426343533696,-0.035935945279904465,0.15272402629815768,-0.9972986589341987,-0.5476243521813865,-0.8920039401812346,-0.5476243521813865,-0.7434249449438167,0.3887452471399714,0.3967300491671195,0.8287399571949063,0.3967300491671195,-0.8287399571949063,-0.2404311854182503,-0.5615132651937604,0.059537370346763964,-0.031125965946276302,-0.022536346614560884,-0.5645402114818665,0.17645476336219026
P1,145.0,-0.1070763984884325,0.1716725862659696,0.3672298197414542,0.12261913622927367,0.15861145964723222,0.219760710353311,0.0063990746869289,0.0063990746869289,0.219760710353311,0.21336163566638208,-0.21336163566638208,-0.21336163566638208,0.21336163566638208,0.21336163566638208,0.21336163566638208,0.21336163566638208,0.21336163566638208,-1.0033633117861993,0.9774167559245592,-0.6548389134364515,0.6652630835365677,0.009508761056290125,0.6652630835365677,0.3484525999366279,-0.5180088418586081,-0.5533168943479334,0.2035486055180576,-0.5533168943479334,-0.2035486055180576,-2.515898878819285,0.6337663107721245,1.208617549678865,-0.1656927090740479,-0.233489052464852,0.23563852109481426,-0.15719565775915773
P1,155.0,0.1554367715654621,0.226474862247534,0.7753737849227877,0.5735217232590317,0.28832874201698366,0.0989907680340648,0.0637374606897099,0.0637374606897099,0.0989907680340648,0.0352533073443549,-0.0352533073443549,-0.0352533073443549,0.0352533073443549,0.0352533073443549,0.0352533073443549,0.0352533073443549,0.0352533073443549,0.3853891633203913,-0.046747700028607425,-1.0066033717317509,-0.8409902834565472,-1.0674383597235113,-0.8409902834565472,-0.9855137374779863,1.9817333877847783,0.5935853946321074,0.9141136294380439,0.5935853946321074,-0.9141136294380439,0.1651187962815283,-0.8530308220858003,0.3675993684530942,-0.03098400716548339,-0.022313805827502992,0.3804467448749512,-0.2165569969636801
