mode,endpoint,control_kind,mean_relative_to_decohered,mean_decohered_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
combined_c_fes_gmr72,z_reward,true_intersection,-0.6978428286932588,-0.6996404122700342,-0.0017975835767753568,0.32972362421633267,0.9298140371925615,relative_to_decohered,502
combined_c_fes_gmr72,z_reward,random_intersection,-0.7151102251950077,-0.7265560321575575,-0.011445806962549893,0.41063561558619155,0.6454709058188363,relative_to_decohered,502
combined_c_fes_gmr72,z_reward,balanced_intersection,-0.7140804129272932,-0.7179173728310504,-0.0038369599037572687,0.30490142038947354,0.8318336332733454,relative_to_decohered,502
combined_c_fes_gmr72,z_reward,performance_matched_intersection,-0.7511472319294027,-0.7478795167647478,0.0032677151646549863,0.2933535765942133,0.857628474305139,decohered_to_relative,502
combined_c_fes_gmr72,z_reward,shuffled_c_intersection,-0.7113888390070113,-0.7111588094024762,0.000230029604535014,0.3197350269213653,0.9906018796240752,decohered_to_relative,502
combined_c_fes_gmr72,z_reward,phase_rotated_intersection,-0.7319208371939737,-0.7334357598137204,-0.00151492261974669,0.30371789619565887,0.9358128374325135,relative_to_decohered,502
combined_c_fes_gmr72,rank_reward,true_intersection,-0.6853025250553306,-0.6862036005536014,-0.0009010754982707046,0.3457719419023658,0.9638072385522896,relative_to_decohered,502
combined_c_fes_gmr72,rank_reward,random_intersection,-0.7111928082438042,-0.7206903249933424,-0.009497516749538259,0.44074156966599987,0.7098580283943211,relative_to_decohered,502
combined_c_fes_gmr72,rank_reward,balanced_intersection,-0.7143325140564794,-0.717347918867321,-0.0030154048108416653,0.31811102023029425,0.8618276344731054,relative_to_decohered,502
combined_c_fes_gmr72,rank_reward,performance_matched_intersection,-0.7486743848120062,-0.7464317780131305,0.0022426067988756877,0.3459526116366091,0.9128174365126974,decohered_to_relative,502
combined_c_fes_gmr72,rank_reward,shuffled_c_intersection,-0.7112548007612393,-0.7084969153807071,0.0027578853805319383,0.3369740505424962,0.888622275544891,decohered_to_relative,502
combined_c_fes_gmr72,rank_reward,phase_rotated_intersection,-0.7347708719868216,-0.7332263106854935,0.0015445613013281441,0.3165805560440072,0.9308138372325535,decohered_to_relative,502
combined_c_fes_gmr72,gmr72_bridge_composite,true_intersection,-0.2754186658689558,-0.2774263858205759,-0.002007719951620072,0.11593599578728547,0.7858428314337133,relative_to_decohered,502
combined_c_fes_gmr72,gmr72_bridge_composite,random_intersection,-0.27693585975399665,-0.2779505228705148,-0.0010146631165181281,0.1498225244990043,0.9140171965606879,relative_to_decohered,502
