mode,endpoint,minimum_success,strong_success,control_asymmetry_pass_count,true_asymmetry_nonzero,fold_direction_stable,dominant_direction,fold_dominant_direction,fold_direction_stability,mean_relative_to_decohered,mean_decohered_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,effect_vs_random_abs,p_vs_random_abs,effect_vs_balanced_abs,p_vs_balanced_abs,effect_vs_shuffled_c_abs,p_vs_shuffled_c_abs,effect_vs_phase_rotated_abs,p_vs_phase_rotated_abs
gmr72_phase_conditioned,z_reward,False,False,3,False,False,decohered_to_relative,decohered_to_relative,0.6,-0.6716198765963962,-0.6662527207362875,0.005367155860108824,0.3403491315265622,0.7958408318336333,-0.09952098056785305,1.0,0.03544771113708862,0.0001999600079984003,0.0059785090769675,0.3157368526294741,0.043697047732603314,0.0003999200159968006
combined_c_fes_gmr72,z_reward,False,False,3,False,False,relative_to_decohered,decohered_to_relative,0.6,-0.6978428286932588,-0.6996404122700342,-0.0017975835767753568,0.32972362421633267,0.9298140371925615,-0.08091199136985892,1.0,0.024822203826859075,0.0023995200959808036,0.009988597294967348,0.14097180563887224,0.026005728020673764,0.008798240351929614
linear_c_state,z_reward,False,False,3,False,False,decohered_to_relative,decohered_to_relative,0.6,-0.6716508209378064,-0.6615228285490251,0.01012799238878143,0.3296538883125594,0.620875824835033,-0.11021622378185592,1.0,0.024752467923085737,0.001999600079984003,0.0053535850279146655,0.32213557288542294,0.025139941943082316,0.016596680663867228
gmr72_phase_conditioned,gmr72_bridge_composite,False,False,3,False,False,relative_to_decohered,decohered_to_relative,0.6,-0.26997212168179446,-0.27160867466184313,-0.0016365529800486769,0.11059702737687352,0.7996400719856028,-0.051521600609425185,1.0,0.004744103549117028,0.0007998400319936012,0.0018346977984174588,0.16796640671865626,0.005024360671887681,0.009198160367926415
gmr72_phase_conditioned,rank_reward,False,False,2,False,False,decohered_to_relative,decohered_to_relative,0.6,-0.6617666058120664,-0.654124740963722,0.007641864848344448,0.3460832032155014,0.7028594281143771,-0.10348584532813214,1.0,0.02797218298520715,0.0011997600479904018,-0.005185870184028826,0.6700659868026395,0.039995484792074196,0.0009998000399920016
combined_c_fes_gmr72,rank_reward,False,False,2,False,False,relative_to_decohered,decohered_to_relative,0.6,-0.6853025250553306,-0.6862036005536014,-0.0009010754982707046,0.3457719419023658,0.9638072385522896,-0.094969627763634,1.0,0.02766092167207161,0.0001999600079984003,0.008797891359869681,0.16356728654269145,0.02919138585835867,0.004799040191961607
linear_c_state,rank_reward,False,False,2,False,False,decohered_to_relative,decohered_to_relative,0.6,-0.6612207164799927,-0.6501365627291531,0.011084153750839439,0.3360613145180908,0.5754849030193961,-0.11350773402554275,1.0,0.017950294287796546,0.01759648070385923,-0.007731678230805509,0.7570485902819436,0.021105056627996843,0.03679264147170566
combined_c_fes_gmr72,gmr72_bridge_composite,False,False,2,False,False,relative_to_decohered,decohered_to_relative,0.6,-0.2754186658689558,-0.2774263858205759,-0.002007719951620072,0.11593599578728547,0.7858428314337133,-0.03388652871171883,1.0,0.010083071959528985,0.0001999600079984003,0.0012021234971380784,0.35132973405318935,0.0038351314924848,0.13557288542291543
linear_c_state,gmr72_bridge_composite,False,False,1,False,False,relative_to_decohered,relative_to_decohered,0.6,-0.26922741848782167,-0.2695630841153482,-0.00033566562752655976,0.10668845252240917,0.9554089182163568,-0.05543017546388953,1.0,0.0008355286946526824,0.24675064987002598,0.0016420621191632592,0.14217156568686262,-0.00021531400652301507,0.5556888622275545
fes_string_conditioned,gmr72_bridge_composite,False,False,1,False,False,relative_to_decohered,decohered_to_relative,0.6,-0.2744351329078957,-0.2751575165780635,-0.0007223836701678309,0.10345291228348089,0.8990201959608078,-0.04292537148358697,1.0,-0.00240001154427561,0.9996000799840032,3.341847821472886e-05,0.4797040591881624,-0.004062343219099956,0.9988002399520096
fes_string_conditioned,rank_reward,False,False,0,False,False,relative_to_decohered,decohered_to_relative,0.6,-0.7044202421638008,-0.7081903207477435,-0.003770078583942604,0.3142582712449083,0.8424315136972605,-0.11768249775162491,1.0,-0.0038527489853859417,0.7930413917216557,-0.006712647447661809,0.9120175964807039,-0.016697070916857775,0.9864027194561088
fes_string_conditioned,z_reward,False,False,0,False,False,relative_to_decohered,decohered_to_relative,0.6,-0.7137909148752072,-0.7175221683342123,-0.0037312534590051823,0.3057816632465926,0.8332333533293341,-0.10646036693619391,1.0,0.0008802428571190773,0.41831633673265345,-0.003518629506943698,0.7418516296740651,-0.007100995638188805,0.8294341131773645
