mode,endpoint,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,z_reward,abs_readout_asymmetry,true_vs_random_intersection,0.32972362421633267,0.41063561558619155,-0.08091199136985892,1.0,502
combined_c_fes_gmr72,z_reward,abs_readout_asymmetry,true_vs_balanced_intersection,0.32972362421633267,0.30490142038947354,0.024822203826859075,0.0023995200959808036,502
combined_c_fes_gmr72,z_reward,abs_readout_asymmetry,true_vs_performance_matched_intersection,0.32972362421633267,0.2933535765942133,0.036370047622119366,0.0013997200559888023,502
combined_c_fes_gmr72,z_reward,abs_readout_asymmetry,true_vs_shuffled_c_intersection,0.32972362421633267,0.3197350269213653,0.009988597294967348,0.14097180563887224,502
combined_c_fes_gmr72,z_reward,abs_readout_asymmetry,true_vs_phase_rotated_intersection,0.32972362421633267,0.30371789619565887,0.026005728020673764,0.008798240351929614,502
combined_c_fes_gmr72,z_reward,readout_asymmetry,true_vs_random_intersection,-0.0017975835767753568,-0.011445806962549893,0.009648223385774538,0.34713057388522295,502
combined_c_fes_gmr72,z_reward,readout_asymmetry,true_vs_balanced_intersection,-0.0017975835767753568,-0.0038369599037572687,0.0020393763269819106,0.42911417716456707,502
combined_c_fes_gmr72,z_reward,readout_asymmetry,true_vs_performance_matched_intersection,-0.0017975835767753568,0.0032677151646549863,-0.005065298741430346,0.6586682663467307,502
combined_c_fes_gmr72,z_reward,readout_asymmetry,true_vs_shuffled_c_intersection,-0.0017975835767753568,0.000230029604535014,-0.002027613181310377,0.5704859028194361,502
combined_c_fes_gmr72,z_reward,readout_asymmetry,true_vs_phase_rotated_intersection,-0.0017975835767753568,-0.00151492261974669,-0.00028266095702866737,0.5006998600279944,502
combined_c_fes_gmr72,z_reward,decohered_to_relative_effect,true_vs_random_intersection,-0.6996404122700342,-0.7265560321575575,0.026915619887523456,0.08758248350329934,502
combined_c_fes_gmr72,z_reward,decohered_to_relative_effect,true_vs_balanced_intersection,-0.6996404122700342,-0.7179173728310504,0.018276960561016336,0.05058988202359528,502
combined_c_fes_gmr72,z_reward,decohered_to_relative_effect,true_vs_performance_matched_intersection,-0.6996404122700342,-0.7478795167647478,0.04823910449471377,0.0005998800239952009,502
combined_c_fes_gmr72,z_reward,decohered_to_relative_effect,true_vs_shuffled_c_intersection,-0.6996404122700342,-0.7111588094024762,0.011518397132442213,0.21695660867826436,502
combined_c_fes_gmr72,z_reward,decohered_to_relative_effect,true_vs_phase_rotated_intersection,-0.6996404122700342,-0.7334357598137204,0.03379534754368625,0.008198360327934412,502
