mode,weight_endpoint,readout,minimum_success,strong_success,control_asymmetry_pass_count,true_asymmetry_nonzero,fold_direction_stability,dominant_direction,fold_dominant_direction,mean_relative_to_q,mean_q_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,effect_vs_random_abs,p_vs_random_abs,effect_vs_balanced_abs,p_vs_balanced_abs,effect_vs_shuffled_c_abs,p_vs_shuffled_c_abs,effect_vs_phase_rotated_abs,p_vs_phase_rotated_abs
fes_string_conditioned,rank_reward,q_residual,False,False,1,False,0.6,Relative_to_Qresidual,Relative_to_Qresidual,-0.592513197167114,-0.5959260779420654,-0.0034128807749511515,0.35033140015822045,0.8824235152969406,-0.07205828303714192,1.0,0.0038704493594018084,0.15256948610277946,0.0003187160081433826,0.47550489902019594,0.016587378492661935,0.013797240551889621
fes_string_conditioned,gmr72_bridge_composite,q_residual,False,False,1,False,0.6,Relative_to_Qresidual,Relative_to_Qresidual,-0.6001132266634579,-0.6005649609518218,-0.0004517342883638556,0.341917831471162,0.9796040791841631,-0.08047185172420034,1.0,-0.004543119327656629,0.996000799840032,-0.0019843951157158908,0.789242151569686,-0.006026341478481548,0.9776044791041791
gmr72_phase_conditioned,z_reward,mq_decohered,False,False,4,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.6058451299747504,-0.5752495177126619,0.030595612262088536,0.3990530178044084,0.2471505698860228,0.02450202297351043,0.08578284343131373,0.06010344475674823,0.0001999600079984003,0.02173269196549066,0.014597080583883223,0.09573073502563102,0.0001999600079984003
linear_c_state,z_reward,mq_decohered,False,False,4,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.6062998456539066,-0.5761662036405798,0.030133642013326845,0.3888905751154742,0.2443511297740452,0.01433958028457625,0.20875824835032994,0.04994100206781406,0.0001999600079984003,0.018698367226021355,0.02519496100779844,0.08478330915986132,0.0001999600079984003
gmr72_phase_conditioned,gmr72_bridge_composite,mq_decohered,False,False,4,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.5996003225682268,-0.590244964502296,0.009355358065930798,0.3574922295519516,0.6788642271545691,-0.017058765278946366,0.8552289542091581,0.018542656504291443,0.0001999600079984003,0.008029469128817286,0.049590081983603276,0.0219464309672723,0.0001999600079984003
linear_c_state,gmr72_bridge_composite,mq_decohered,False,False,4,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.5991293847937188,-0.5901243158591186,0.009005068934600123,0.3469468036901403,0.6806638672265547,-0.027604191140757624,0.9658068386322736,0.007997230642480174,0.003999200159968006,0.008439437550354369,0.01919616076784643,0.014900082946565762,0.0003999200159968006
gmr72_phase_conditioned,rank_reward,mq_decohered,False,False,3,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.6027950087478886,-0.573000150227499,0.029794858520389773,0.39223943100414765,0.2595480903819236,0.017688436173249708,0.15076984603079385,0.05328985795648751,0.0001999600079984003,0.020826686696468994,0.020195960807838434,0.09182889155288153,0.0001999600079984003
linear_c_state,rank_reward,mq_decohered,False,False,3,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.6036696574873684,-0.5742924196458453,0.02937723784152296,0.3833187505768939,0.2453509298140372,0.008767755745995993,0.2975404919016197,0.04436917752923379,0.0001999600079984003,0.018153368373293184,0.023395320935812838,0.08381083845980379,0.0001999600079984003
combined_c_fes_gmr72,rank_reward,mq_decohered,False,False,2,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.5951652767463501,-0.5748497472326922,0.020315529513658,0.3611195143697375,0.41091781643671266,-0.025083394515308558,0.908618276344731,0.02216994132207734,0.015196960607878424,0.002991799348386457,0.38912217556488704,0.03353713681720179,0.00639872025594881
combined_c_fes_gmr72,z_reward,mq_decohered,False,False,2,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.5939339651219447,-0.5759087167229404,0.018025248399004393,0.3605382511538196,0.4861027794441112,-0.025664657731226483,0.9182163567286543,0.021588678106159425,0.01779644071185763,0.0035235831922235273,0.3765246950609878,0.03454843228777683,0.001999600079984003
combined_c_fes_gmr72,gmr72_bridge_composite,mq_decohered,False,False,2,False,0.6,Relative_to_Qresidual,Relative_to_Qresidual,-0.5903900447222262,-0.5912859170715569,-0.0008958723493306902,0.3584352923685816,0.9694061187762447,-0.02776761651646447,0.9472105578884223,0.019485719320921427,0.009398120375924815,-0.0035160210640856606,0.6694661067786443,0.013972804019757043,0.08038392321535692
fes_string_conditioned,z_reward,mq_decohered,False,False,2,False,0.6,Relative_to_Qresidual,Relative_to_Qresidual,-0.5864183692185706,-0.5886526910846693,-0.0022343218660987496,0.34911465105149786,0.9168166366726654,-0.0629618398181987,1.0,0.010165078003837726,0.010997800439912017,-0.0026170439420649867,0.6604679064187162,0.020473998354969637,0.006998600279944011
fes_string_conditioned,rank_reward,mq_decohered,False,False,1,False,0.6,Relative_to_Qresidual,Relative_to_Qresidual,-0.5844273623379598,-0.5882624491874053,-0.003835086849445543,0.34342813452103865,0.8598280343931214,-0.06864835634865793,1.0,0.0044785614733785,0.11537692461507698,0.0012933844162729068,0.38812237552489504,0.018003701617429767,0.008198360327934412
fes_string_conditioned,gmr72_bridge_composite,mq_decohered,False,False,1,False,0.6,Relative_to_Qresidual,Relative_to_Qresidual,-0.5924110144552454,-0.5929028727979113,-0.0004918583426658633,0.33437708918801234,0.977004599080184,-0.07769940168168427,1.0,-0.0045724838596478455,0.9978004399120176,-0.0017737337191676694,0.7774445110977805,-0.005176161289365972,0.9586082783443312
