mode,weight_endpoint,readout,minimum_success,strong_success,control_asymmetry_pass_count,true_asymmetry_nonzero,fold_direction_stability,dominant_direction,fold_dominant_direction,mean_relative_to_q,mean_q_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,effect_vs_random_abs,p_vs_random_abs,effect_vs_balanced_abs,p_vs_balanced_abs,effect_vs_shuffled_c_abs,p_vs_shuffled_c_abs,effect_vs_phase_rotated_abs,p_vs_phase_rotated_abs
gmr72_phase_conditioned,z_reward,q_residual,False,False,4,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.6133996426644138,-0.5847807516310607,0.02861889103335308,0.40380124926252053,0.27754449110177964,0.024723971268801517,0.08458308338332333,0.057340298463701894,0.0001999600079984003,0.021758855161062088,0.017196560687862426,0.0933197992567483,0.0001999600079984003
linear_c_state,z_reward,q_residual,False,False,4,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.6141489646587615,-0.585618772929072,0.028530191729689316,0.3936226929751392,0.28494301139772044,0.014545414981420172,0.20815836832633472,0.04716174217632055,0.0001999600079984003,0.019218448531212885,0.02399520095980804,0.08187435517417485,0.0001999600079984003
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,False,False,4,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.6077193035265527,-0.5996710771639406,0.0080482263626121,0.3640978868981687,0.7258548290341932,-0.014979391095550293,0.8238352329534093,0.017636936099350076,0.0001999600079984003,0.008257451808757359,0.04239152169566087,0.02108885441575301,0.0001999600079984003
linear_c_state,gmr72_bridge_composite,q_residual,False,False,4,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.6076247390596313,-0.599443130818067,0.008181608241564255,0.3527905657983709,0.7266546690661868,-0.02628671219534814,0.9494101179764047,0.006329614999552227,0.021395720855828835,0.008286069985419123,0.020995800839832032,0.012784428014399754,0.003199360127974405
gmr72_phase_conditioned,rank_reward,q_residual,False,False,3,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.6086809003054032,-0.579689825363106,0.028991074942297267,0.3977152771481592,0.27334533093381325,0.018637999154440144,0.15096980603879223,0.05125432634934051,0.0001999600079984003,0.022600524747853325,0.011397720455908818,0.09047834521061027,0.0001999600079984003
linear_c_state,rank_reward,q_residual,False,False,3,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.6098216600357124,-0.5809061767758185,0.02891548325989384,0.38864204846252637,0.26754649070185965,0.009564770468807377,0.28694261147770445,0.04218109766370774,0.0001999600079984003,0.02023840102845438,0.015396920615876825,0.08126211892195899,0.0001999600079984003
combined_c_fes_gmr72,rank_reward,q_residual,False,False,2,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.606592336126333,-0.5852846254428552,0.021307710683477758,0.37020954527999655,0.41051789642071584,-0.018757137799457656,0.8336332733453309,0.023748594481177884,0.015596880623875225,0.004367553874895485,0.34973005398920215,0.03910916935327762,0.003599280143971206
combined_c_fes_gmr72,z_reward,q_residual,False,False,2,False,0.6,Qresidual_to_Relative,Relative_to_Qresidual,-0.6057066666243887,-0.588035911468895,0.017670755155493684,0.36928407944770303,0.5022995400919816,-0.01968260363175117,0.8420315936812638,0.022823128648884385,0.015396920615876825,0.004515512704669536,0.34073185362927416,0.039473846431776226,0.0009998000399920016
combined_c_fes_gmr72,gmr72_bridge_composite,q_residual,False,False,2,False,0.6,Relative_to_Qresidual,Relative_to_Qresidual,-0.6029497336656425,-0.6043712490083883,-0.0014215153427459448,0.3660845198226487,0.9524095180963807,-0.022882163256805487,0.9078184363127374,0.01962356902383006,0.014797040591881624,-0.00345882278790906,0.645870825834833,0.015932338288234954,0.057588482303539294
fes_string_conditioned,z_reward,q_residual,False,False,2,False,0.6,Relative_to_Qresidual,Relative_to_Qresidual,-0.5942974217733487,-0.5962785749986084,-0.00198115322525958,0.35589462913210484,0.9338132373525295,-0.06649505406325751,1.0,0.009433678333286202,0.01899620075984803,-0.004128774037186913,0.744251149770046,0.01886601839204017,0.008198360327934412
