mode,weight_endpoint,readout,control_kind,mean_relative_to_q,mean_q_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
combined_c_fes_gmr72,z_reward,q_residual,true_intersection,-0.6057066666243887,-0.588035911468895,0.017670755155493684,0.36928407944770303,0.5022995400919816,Qresidual_to_Relative,502
combined_c_fes_gmr72,z_reward,q_residual,random_intersection,-0.5832402788969818,-0.6228507311122405,-0.03961045221525868,0.3889666830794542,0.13877224555088982,Relative_to_Qresidual,502
combined_c_fes_gmr72,z_reward,q_residual,balanced_intersection,-0.6025528223224285,-0.6028232586569008,-0.0002704363344723494,0.34646095079881867,0.9894021195760848,Relative_to_Qresidual,502
combined_c_fes_gmr72,z_reward,q_residual,performance_matched_intersection,-0.5982211135825001,-0.600987763174912,-0.002766649592412018,0.36254047153314245,0.906618676264747,Relative_to_Qresidual,502
combined_c_fes_gmr72,z_reward,q_residual,shuffled_c_intersection,-0.599909697567105,-0.6005838006159732,-0.0006741030488682819,0.3647685667430335,0.9798040391921615,Relative_to_Qresidual,502
combined_c_fes_gmr72,z_reward,q_residual,phase_rotated_intersection,-0.5739592120930199,-0.5810693064136864,-0.007110094320666308,0.3298102330159268,0.7400519896020796,Relative_to_Qresidual,502
combined_c_fes_gmr72,rank_reward,q_residual,true_intersection,-0.606592336126333,-0.5852846254428552,0.021307710683477758,0.37020954527999655,0.41051789642071584,Qresidual_to_Relative,502
combined_c_fes_gmr72,rank_reward,q_residual,random_intersection,-0.5832402788969818,-0.6228507311122405,-0.03961045221525868,0.3889666830794542,0.14037192561487702,Relative_to_Qresidual,502
combined_c_fes_gmr72,rank_reward,q_residual,balanced_intersection,-0.6025528223224285,-0.6028232586569008,-0.0002704363344723494,0.34646095079881867,0.991001799640072,Relative_to_Qresidual,502
combined_c_fes_gmr72,rank_reward,q_residual,performance_matched_intersection,-0.5940767867339856,-0.5973586704625398,-0.0032818837285541495,0.38750277685979795,0.9030193961207759,Relative_to_Qresidual,502
combined_c_fes_gmr72,rank_reward,q_residual,shuffled_c_intersection,-0.6008636633312163,-0.6026062909808582,-0.0017426276496419417,0.3658419914051011,0.9454109178164367,Relative_to_Qresidual,502
combined_c_fes_gmr72,rank_reward,q_residual,phase_rotated_intersection,-0.5758224324576765,-0.5828705666303204,-0.007048134172644006,0.3311003759267189,0.749250149970006,Relative_to_Qresidual,502
combined_c_fes_gmr72,gmr72_bridge_composite,q_residual,true_intersection,-0.6029497336656425,-0.6043712490083883,-0.0014215153427459448,0.3660845198226487,0.9524095180963807,Relative_to_Qresidual,502
combined_c_fes_gmr72,gmr72_bridge_composite,q_residual,random_intersection,-0.5832402788969818,-0.6228507311122405,-0.03961045221525868,0.3889666830794542,0.13257348530293941,Relative_to_Qresidual,502
combined_c_fes_gmr72,gmr72_bridge_composite,q_residual,balanced_intersection,-0.6025528223224285,-0.6028232586569008,-0.0002704363344723494,0.34646095079881867,0.9892021595680864,Relative_to_Qresidual,502
combined_c_fes_gmr72,gmr72_bridge_composite,q_residual,performance_matched_intersection,-0.5997412612842729,-0.607636106960745,-0.007894845676472114,0.28352353007479547,0.6792641471705659,Relative_to_Qresidual,502
combined_c_fes_gmr72,gmr72_bridge_composite,q_residual,shuffled_c_intersection,-0.6001394362486926,-0.6035570158190479,-0.00341757957035513,0.3695433426105578,0.8952209558088382,Relative_to_Qresidual,502
combined_c_fes_gmr72,gmr72_bridge_composite,q_residual,phase_rotated_intersection,-0.5795753784130291,-0.5818695049453733,-0.0022941265323441888,0.3501521815344138,0.9260147970405919,Relative_to_Qresidual,502
gmr72_phase_conditioned,z_reward,q_residual,true_intersection,-0.6133996426644138,-0.5847807516310607,0.02861889103335308,0.40380124926252053,0.27754449110177964,Qresidual_to_Relative,502
gmr72_phase_conditioned,z_reward,q_residual,random_intersection,-0.5879778640624971,-0.6192790168350037,-0.03130115277250666,0.37907727799371904,0.20615876824635074,Relative_to_Qresidual,502
gmr72_phase_conditioned,z_reward,q_residual,balanced_intersection,-0.6025528223224285,-0.6028232586569008,-0.0002704363344723494,0.34646095079881867,0.9892021595680864,Relative_to_Qresidual,502
gmr72_phase_conditioned,z_reward,q_residual,performance_matched_intersection,-0.5982211135825001,-0.600987763174912,-0.002766649592412018,0.36254047153314245,0.9156168766246751,Relative_to_Qresidual,502
gmr72_phase_conditioned,z_reward,q_residual,shuffled_c_intersection,-0.6046155973828674,-0.6061187275294132,-0.0015031301465458823,0.38204239410145846,0.9482103579284143,Relative_to_Qresidual,502
gmr72_phase_conditioned,z_reward,q_residual,phase_rotated_intersection,-0.6087576416530618,-0.5951089524897739,0.013648689163287835,0.31048145000577226,0.5016996600679864,Qresidual_to_Relative,502
gmr72_phase_conditioned,rank_reward,q_residual,true_intersection,-0.6086809003054032,-0.579689825363106,0.028991074942297267,0.3977152771481592,0.27334533093381325,Qresidual_to_Relative,502
