mode,weight_endpoint,readout,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
gmr72_phase_conditioned,z_reward,q_residual,abs_readout_asymmetry,true_vs_random_intersection,0.40380124926252053,0.37907727799371904,0.024723971268801517,0.08458308338332333,502
gmr72_phase_conditioned,z_reward,q_residual,abs_readout_asymmetry,true_vs_balanced_intersection,0.40380124926252053,0.34646095079881867,0.057340298463701894,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,q_residual,abs_readout_asymmetry,true_vs_performance_matched_intersection,0.40380124926252053,0.36254047153314245,0.04126077772937811,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,q_residual,abs_readout_asymmetry,true_vs_shuffled_c_intersection,0.40380124926252053,0.38204239410145846,0.021758855161062088,0.017196560687862426,502
gmr72_phase_conditioned,z_reward,q_residual,abs_readout_asymmetry,true_vs_phase_rotated_intersection,0.40380124926252053,0.31048145000577226,0.0933197992567483,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,q_residual,readout_asymmetry,true_vs_random_intersection,0.02861889103335308,-0.03130115277250666,0.05992004380585976,0.006998600279944011,502
gmr72_phase_conditioned,z_reward,q_residual,readout_asymmetry,true_vs_balanced_intersection,0.02861889103335308,-0.0002704363344723494,0.028889327367825436,0.0009998000399920016,502
gmr72_phase_conditioned,z_reward,q_residual,readout_asymmetry,true_vs_performance_matched_intersection,0.02861889103335308,-0.002766649592412018,0.0313855406257651,0.004399120175964807,502
gmr72_phase_conditioned,z_reward,q_residual,readout_asymmetry,true_vs_shuffled_c_intersection,0.02861889103335308,-0.0015031301465458823,0.030122021179898966,0.004799040191961607,502
gmr72_phase_conditioned,z_reward,q_residual,readout_asymmetry,true_vs_phase_rotated_intersection,0.02861889103335308,0.013648689163287835,0.014970201870065253,0.15636872625474904,502
gmr72_phase_conditioned,rank_reward,q_residual,abs_readout_asymmetry,true_vs_random_intersection,0.3977152771481592,0.37907727799371904,0.018637999154440144,0.15096980603879223,502
gmr72_phase_conditioned,rank_reward,q_residual,abs_readout_asymmetry,true_vs_balanced_intersection,0.3977152771481592,0.34646095079881867,0.05125432634934051,0.0001999600079984003,502
gmr72_phase_conditioned,rank_reward,q_residual,abs_readout_asymmetry,true_vs_performance_matched_intersection,0.3977152771481592,0.38750277685979795,0.010212500288361206,0.17956408718256348,502
gmr72_phase_conditioned,rank_reward,q_residual,abs_readout_asymmetry,true_vs_shuffled_c_intersection,0.3977152771481592,0.37511475240030584,0.022600524747853325,0.011397720455908818,502
gmr72_phase_conditioned,rank_reward,q_residual,abs_readout_asymmetry,true_vs_phase_rotated_intersection,0.3977152771481592,0.3072369319375489,0.09047834521061027,0.0001999600079984003,502
gmr72_phase_conditioned,rank_reward,q_residual,readout_asymmetry,true_vs_random_intersection,0.028991074942297267,-0.03130115277250666,0.06029222771480393,0.004999000199960008,502
gmr72_phase_conditioned,rank_reward,q_residual,readout_asymmetry,true_vs_balanced_intersection,0.028991074942297267,-0.0002704363344723494,0.029261511276769618,0.0005998800239952009,502
gmr72_phase_conditioned,rank_reward,q_residual,readout_asymmetry,true_vs_performance_matched_intersection,0.028991074942297267,-0.0032818837285541495,0.03227295867085143,0.0023995200959808036,502
gmr72_phase_conditioned,rank_reward,q_residual,readout_asymmetry,true_vs_shuffled_c_intersection,0.028991074942297267,0.0007047687930651416,0.02828630614923213,0.003999200159968006,502
gmr72_phase_conditioned,rank_reward,q_residual,readout_asymmetry,true_vs_phase_rotated_intersection,0.028991074942297267,0.0064343270335130535,0.022556747908784217,0.05458908218356329,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,abs_readout_asymmetry,true_vs_random_intersection,0.3640978868981687,0.37907727799371904,-0.014979391095550293,0.8238352329534093,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,abs_readout_asymmetry,true_vs_balanced_intersection,0.3640978868981687,0.34646095079881867,0.017636936099350076,0.0001999600079984003,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,abs_readout_asymmetry,true_vs_performance_matched_intersection,0.3640978868981687,0.28352353007479547,0.08057435682337329,0.0001999600079984003,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,abs_readout_asymmetry,true_vs_shuffled_c_intersection,0.3640978868981687,0.3558404350894114,0.008257451808757359,0.04239152169566087,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,abs_readout_asymmetry,true_vs_phase_rotated_intersection,0.3640978868981687,0.34300903248241577,0.02108885441575301,0.0001999600079984003,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,readout_asymmetry,true_vs_random_intersection,0.0080482263626121,-0.03130115277250666,0.03934937913511876,0.029194161167766446,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,readout_asymmetry,true_vs_balanced_intersection,0.0080482263626121,-0.0002704363344723494,0.008318662697084447,0.018196360727854428,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,readout_asymmetry,true_vs_performance_matched_intersection,0.0080482263626121,-0.007894845676472114,0.015943072039084207,0.046990601879624075,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,readout_asymmetry,true_vs_shuffled_c_intersection,0.0080482263626121,0.001414212978334292,0.006634013384277806,0.09078184363127374,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,readout_asymmetry,true_vs_phase_rotated_intersection,0.0080482263626121,0.010635208962806626,-0.002586982600194523,0.6860627874425115,502
fes_string_conditioned,z_reward,q_residual,abs_readout_asymmetry,true_vs_random_intersection,0.35589462913210484,0.42238968319536235,-0.06649505406325751,1.0,502
fes_string_conditioned,z_reward,q_residual,abs_readout_asymmetry,true_vs_balanced_intersection,0.35589462913210484,0.34646095079881867,0.009433678333286202,0.01899620075984803,502
fes_string_conditioned,z_reward,q_residual,abs_readout_asymmetry,true_vs_performance_matched_intersection,0.35589462913210484,0.36254047153314245,-0.006645842401037572,0.7668466306738653,502
fes_string_conditioned,z_reward,q_residual,abs_readout_asymmetry,true_vs_shuffled_c_intersection,0.35589462913210484,0.36002340316929177,-0.004128774037186913,0.744251149770046,502
fes_string_conditioned,z_reward,q_residual,abs_readout_asymmetry,true_vs_phase_rotated_intersection,0.35589462913210484,0.33702861074006474,0.01886601839204017,0.008198360327934412,502
fes_string_conditioned,z_reward,q_residual,readout_asymmetry,true_vs_random_intersection,-0.00198115322525958,-0.004124118651997885,0.002142965426738298,0.4573085382923415,502
fes_string_conditioned,z_reward,q_residual,readout_asymmetry,true_vs_balanced_intersection,-0.00198115322525958,-0.0002704363344723494,-0.0017107168907872315,0.642871425714857,502
fes_string_conditioned,z_reward,q_residual,readout_asymmetry,true_vs_performance_matched_intersection,-0.00198115322525958,-0.002766649592412018,0.0007854963671524362,0.46230753849230155,502
fes_string_conditioned,z_reward,q_residual,readout_asymmetry,true_vs_shuffled_c_intersection,-0.00198115322525958,-0.01013973396791132,0.008158580742651743,0.10477904419116177,502
fes_string_conditioned,z_reward,q_residual,readout_asymmetry,true_vs_phase_rotated_intersection,-0.00198115322525958,-0.011861168644269322,0.009880015419009743,0.10817836432713457,502
fes_string_conditioned,rank_reward,q_residual,abs_readout_asymmetry,true_vs_random_intersection,0.35033140015822045,0.42238968319536235,-0.07205828303714192,1.0,502
fes_string_conditioned,rank_reward,q_residual,abs_readout_asymmetry,true_vs_balanced_intersection,0.35033140015822045,0.34646095079881867,0.0038704493594018084,0.15256948610277946,502
fes_string_conditioned,rank_reward,q_residual,abs_readout_asymmetry,true_vs_performance_matched_intersection,0.35033140015822045,0.38750277685979795,-0.037171376701577497,1.0,502
fes_string_conditioned,rank_reward,q_residual,abs_readout_asymmetry,true_vs_shuffled_c_intersection,0.35033140015822045,0.3500126841500771,0.0003187160081433826,0.47550489902019594,502
fes_string_conditioned,rank_reward,q_residual,abs_readout_asymmetry,true_vs_phase_rotated_intersection,0.35033140015822045,0.3337440216655585,0.016587378492661935,0.013797240551889621,502
fes_string_conditioned,rank_reward,q_residual,readout_asymmetry,true_vs_random_intersection,-0.0034128807749511515,-0.004124118651997885,0.0007112378770467455,0.48930213957208557,502
fes_string_conditioned,rank_reward,q_residual,readout_asymmetry,true_vs_balanced_intersection,-0.0034128807749511515,-0.0002704363344723494,-0.0031424444404788004,0.787242551489702,502
fes_string_conditioned,rank_reward,q_residual,readout_asymmetry,true_vs_performance_matched_intersection,-0.0034128807749511515,-0.0032818837285541495,-0.0001309970463969873,0.5022995400919816,502
fes_string_conditioned,rank_reward,q_residual,readout_asymmetry,true_vs_shuffled_c_intersection,-0.0034128807749511515,-0.00975847294376738,0.006345592168816228,0.11757648470305938,502
fes_string_conditioned,rank_reward,q_residual,readout_asymmetry,true_vs_phase_rotated_intersection,-0.0034128807749511515,-0.012448162470539207,0.00903528169558806,0.121375724855029,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,abs_readout_asymmetry,true_vs_random_intersection,0.341917831471162,0.42238968319536235,-0.08047185172420034,1.0,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,abs_readout_asymmetry,true_vs_balanced_intersection,0.341917831471162,0.34646095079881867,-0.004543119327656629,0.996000799840032,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,abs_readout_asymmetry,true_vs_performance_matched_intersection,0.341917831471162,0.28352353007479547,0.058394301396366595,0.0001999600079984003,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,abs_readout_asymmetry,true_vs_shuffled_c_intersection,0.341917831471162,0.3439022265868779,-0.0019843951157158908,0.789242151569686,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,abs_readout_asymmetry,true_vs_phase_rotated_intersection,0.341917831471162,0.34794417294964364,-0.006026341478481548,0.9776044791041791,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,readout_asymmetry,true_vs_random_intersection,-0.0004517342883638556,-0.004124118651997885,0.003672384363634022,0.4295140971805639,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,readout_asymmetry,true_vs_balanced_intersection,-0.0004517342883638556,-0.0002704363344723494,-0.00018129795389150641,0.5432913417316537,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,readout_asymmetry,true_vs_performance_matched_intersection,-0.0004517342883638556,-0.007894845676472114,0.0074431113881082535,0.17776444711057787,502
