control_level,endpoint,direction,fold,label,idx_in_session,control_state,access_readout,baseline_max,access_effect
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,235.0,dir=0.0|side=B_side|recv=q2|ss=q2|sp=q3,-0.5074387994795949,0.2827450617506639,-0.7901838612302587
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,250.0,dir=0.0|side=A_side|recv=q2|ss=q2|sp=q2,0.34312144675125794,2.0664932516567585,-1.7233718049055005
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,262.0,dir=0.0|side=A_side|recv=q2|ss=q2|sp=q1,1.4772208663468884,2.3908901811204126,-0.9136693147735242
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,272.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q1,-0.6632435310165998,-0.603127293080406,-0.060116237936193806
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,292.0,dir=0.0|side=B_side|recv=q2|ss=q2|sp=q2,0.9408041560717685,3.5071269302745263,-2.566322774202758
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,297.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q3,-0.4666487232115587,-0.4645401671349031,-0.00210855607665561
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,315.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q1,-0.22279564851915243,0.17711174299323706,-0.3999073915123895
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,327.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q1,-0.45922976355576584,-0.40070484014446195,-0.058524923411303886
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,341.0,dir=0.0|side=B_side|recv=q2|ss=q2|sp=q2,0.06995001062648762,1.0880920839681572,-1.0181420733416695
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,343.0,dir=0.0|side=B_side|recv=q2|ss=q2|sp=q2,-0.08040137156842322,1.1065166370177693,-1.1869180085861926
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,358.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q3,0.33488488752058815,0.25733750464556626,0.07754738287502189
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,369.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q3,0.250524793569839,1.2432200945261855,-0.9926953009563466
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,380.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q1,0.08310119764184816,0.9594967080490077,-0.8763955104071595
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,392.0,dir=0.0|side=A_side|recv=q2|ss=q2|sp=q1,0.5302225543992468,0.7460855171557977,-0.21586296275655092
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,400.0,dir=0.0|side=A_side|recv=q2|ss=q2|sp=q1,1.4124328302636133,2.379676750466956,-0.9672439202033427
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,415.0,dir=0.0|side=missing|recv=missing|ss=missing|sp=missing,0.0,0.0,0.0
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P15,417.0,dir=0.0|side=missing|recv=missing|ss=missing|sp=missing,0.0,0.0,0.0
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,12.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q3,-0.07428811154145902,0.6835065368557758,-0.7577946483972348
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,29.0,dir=0.0|side=B_side|recv=q1|ss=q1|sp=q2,0.004350576872203471,-0.09683617277604716,0.10118674964825063
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,41.0,dir=0.0|side=B_side|recv=q2|ss=q2|sp=q3,-0.32149061939750745,0.48753451189914865,-0.8090251312966561
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,49.0,dir=0.0|side=B_side|recv=q2|ss=q2|sp=q3,-0.4003242080947561,0.22345820417846152,-0.6237824122732176
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,73.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q1,-0.05151887609275293,0.16335182357255548,-0.21487069966530842
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,93.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q1,0.19954712026609694,2.0968231004922866,-1.8972759802261896
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,102.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q2,0.014149558312754565,0.31441001360054105,-0.3002604552877865
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,128.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q1,-0.37655016200485575,0.8455191436622935,-1.2220693056671492
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,145.0,dir=0.0|side=B_side|recv=q1|ss=q1|sp=q2,0.2841210882020057,0.871467089048181,-0.5873460008461753
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,161.0,dir=0.0|side=B_side|recv=q2|ss=q2|sp=q2,0.21441106894162365,0.5433855527792855,-0.3289744838376618
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,175.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q3,-0.17566363213410063,0.28231844850758364,-0.4579820806416843
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,195.0,dir=0.0|side=B_side|recv=q2|ss=q2|sp=q3,0.9643329398607345,1.0564389501346074,-0.09210601027387288
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,228.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q3,-0.0725952422446973,0.7459258939826708,-0.8185211362273681
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,242.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q2,-0.3528677456600899,0.13160690068740094,-0.4844746463474908
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,258.0,dir=0.0|side=A_side|recv=q2|ss=q2|sp=q2,0.5414892555614178,1.0017549524509812,-0.4602656968895634
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P18,289.0,dir=0.0|side=A_side|recv=q2|ss=q2|sp=q1,0.3419008241573573,0.6881749394717059,-0.34627411531434865
