mode,endpoint,direction,control_level,effect_true_minus_control,p_true_greater,n_pairs,c_beats_control
linear_c_state,rank_reward,B_to_C_to_A,receiver_inverted__standpoint_preserved,0.015095757331174775,0.3171365726854629,106,False
linear_c_state,rank_reward,B_to_C_to_A,receiver_inverted__standpoint_inverted,0.02811912391760916,0.1731653669266147,106,False
linear_c_state,rank_reward,B_to_C_to_A,receiver_only,0.014144693909023526,0.3137372525494901,106,False
linear_c_state,rank_reward,B_to_C_to_A,standpoint_only_preserved,0.025787951981806174,0.20915816836632672,106,False
linear_c_state,rank_reward,B_to_C_to_A,standpoint_only_inverted,0.02811912391760916,0.1851629674065187,106,False
linear_c_state,rank_reward,B_to_C_to_A,standpoint_sign_only,0.049122793175199096,0.028994201159768047,106,True
linear_c_state,rank_reward,B_to_C_to_A,standpoint_magnitude_only,0.03837908080187632,0.08598280343931214,106,False
linear_c_state,rank_reward,B_to_C_to_A,receiver_plus_magnitude,0.02013332777950848,0.2653469306138772,106,False
linear_c_state,rank_reward,B_to_C_to_A,receiver_plus_standpoint_sign,0.01461565609156303,0.3089382123575285,106,False
linear_c_state,rank_reward,B_to_C_to_A,complexity_matched_shuffled_pair,0.07244389735466399,0.016596680663867228,106,True
linear_c_state,rank_reward,B_to_C_to_A,parity_label_shuffled,0.021876744414418496,0.23875224955008997,106,False
linear_c_state,rank_reward,B_to_C_to_A,ab_exchange_parity_mismatch,0.015095757331174775,0.3291341731653669,106,False
linear_c_state,rank_reward,B_to_C_to_A,endpoint_o1o2_reference,-0.33598806904424505,1.0,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,receiver_preserved__standpoint_preserved,0.012685201649580397,0.11737652469506099,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,receiver_preserved__standpoint_inverted,0.013417661795357094,0.122375524895021,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,receiver_inverted__standpoint_preserved,0.013519576819349628,0.1191761647670466,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,receiver_inverted__standpoint_inverted,0.014106438892672735,0.10237952409518096,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,receiver_only,0.013559809245982182,0.10177964407118577,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,standpoint_only_preserved,0.012685201649580397,0.11337732453509299,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,standpoint_only_inverted,0.014106438892672735,0.10397920415916817,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,standpoint_sign_only,0.015815124068971176,0.0591881623675265,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,standpoint_magnitude_only,0.013639288187110256,0.09718056388722256,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,receiver_plus_magnitude,0.01017079476587388,0.1929614077184563,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,receiver_plus_standpoint_sign,0.013559809245982182,0.10197960407918416,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,complexity_matched_shuffled_pair,0.021228601742937867,0.02299540091981604,106,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,parity_label_shuffled,0.02026691782572946,0.02979404119176165,106,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,ab_exchange_parity_mismatch,0.013519576819349628,0.1191761647670466,106,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,endpoint_o1o2_reference,-0.03620932424715022,0.9996000799840032,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,receiver_preserved__standpoint_preserved,-0.007084147217471919,0.7824435112977405,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,receiver_preserved__standpoint_inverted,-0.007671009290795025,0.7950409918016397,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,receiver_inverted__standpoint_preserved,-0.0077729243147875585,0.7996400719856028,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,receiver_inverted__standpoint_inverted,-0.008505384460564263,0.7976404719056189,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,receiver_only,-0.009537128153952003,0.8552289542091581,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,standpoint_only_preserved,-0.007084147217471919,0.787242551489702,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,standpoint_only_inverted,-0.008505384460564263,0.8038392321535693,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,standpoint_sign_only,-0.0053754620411734805,0.7200559888022395,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,standpoint_magnitude_only,-0.007551297923034399,0.8082383523295341,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,receiver_plus_magnitude,-0.011659324049923672,0.8926214757048591,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,receiver_plus_standpoint_sign,-0.009386665173507606,0.8598280343931214,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,complexity_matched_shuffled_pair,-0.003465334692179046,0.6336732653469306,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,parity_label_shuffled,-0.012715297342494285,0.8978204359128175,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,ab_exchange_parity_mismatch,-0.0077729243147875585,0.7944411117776444,106,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,endpoint_o1o2_reference,-0.057399910357294866,1.0,106,False
gmr72_phase_conditioned,z_reward,A_to_C_to_B,receiver_preserved__standpoint_preserved,0.07248702709866836,0.010597880423915218,106,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,receiver_preserved__standpoint_inverted,0.05593094054855855,0.08858228354329134,106,False
gmr72_phase_conditioned,z_reward,A_to_C_to_B,receiver_inverted__standpoint_preserved,0.05632912690998808,0.09278144371125775,106,False
