c_representation,topology_arm,n_nodes,n_directed_edges,n_seed_events,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,topology_notes,effect_vs_single_c12,effect_vs_paired_c12_0,effect_vs_paired_c12_90_regulated,effect_vs_regulation_only_90,effect_vs_paired_c12_45_proxy,effect_vs_paired_c12_180,effect_vs_paired_c12_90_identity_coupled,effect_vs_paired_c12_90_cross_regulated,effect_vs_paired_c12_90_broken_factor12,effect_vs_paired_c12_90_reversed_second,effect_vs_h24_edge_suite,n_positive_controls,min_control_margin
receiver_only_c,paired_c12_90,24,96,264,0.00043882218495937,0.018036124041222394,"two separate C12 rings, second event stream +90 degrees",-0.0819677697117017,0.002230592087272355,-0.05697022655192239,-0.05453768694257611,0.0065699730769439735,0.009723804130888216,0.002249101884572663,-0.05850168153655642,0.004677799078806532,-0.0022839891592499146,0.0028337723686269888,6,-0.0819677697117017
receiver_standpoint_magnitude_c,paired_c12_90,24,96,264,-0.00020111770851950167,0.012304784105205593,"two separate C12 rings, second event stream +90 degrees",-0.08486253482772887,-0.0012695234516141365,-0.03363879270664691,-0.0344274885702954,-0.006538705387035243,0.0020104352909627254,-0.014015498479374633,-0.03260578432510686,-0.007842741233918624,0.0024608001816225915,0.007119118789821319,3,-0.08486253482772887
phi_eigen_energy_c,paired_c12_90,24,96,264,-0.0068900624937023045,0.01225344629270587,"two separate C12 rings, second event stream +90 degrees",-0.09869873983646364,-0.0015222275102403128,-0.042263225058639324,-0.051223236672363726,-0.013022896366652948,-0.002075328377946075,-0.0027259574985048322,-0.04869736785952949,-0.001446934244534041,-0.0009885244382241264,0.0007201058494097903,1,-0.09869873983646364
phi_differential_invariant_c,paired_c12_90,24,96,268,-0.007758585343172764,0.007147291459750967,"two separate C12 rings, second event stream +90 degrees",-0.0748620535854147,-0.0009641608211077863,-0.05720398131759653,-0.05905660968897151,-0.0061222621485603305,-0.0009401302212608828,-0.0032278588672510038,-0.0514294185684591,0.004376116004406914,-0.0024597361296490178,-0.0011453411731940453,1,-0.0748620535854147
