topology_arm,comparison,left_arm,right_arm,mean_delta,median_delta,sd_delta,left_win_fraction,bootstrap_ci_low,bootstrap_ci_high,classification,base_topology,perturbation_kind,node_count_n,distance_from_12,signed_distance_from_12,is_odd,edge_count,is_ring_sharing,is_reversed,is_null
c8,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.004707537156492543,-0.004970466128519806,0.0042545997663096255,0.05555555555555555,-0.0060111026477154324,-0.0031803715259995737,reverse-stable,c8,sweep,8,4,-4,False,32,False,False,False
c8,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.004730383165682719,0.005017934557772351,0.008032904341803657,0.6944444444444444,0.0021744855104276753,0.00734967067685353,left-stable,c8,sweep,8,4,-4,False,32,False,False,False
c8,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.006247211929398939,-0.006232779736300498,0.0045423194074763595,0.027777777777777776,-0.007693918127381352,-0.004649011599837908,right-stable,c8,sweep,8,4,-4,False,32,False,False,False
c8,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.006247211929398939,-0.006232779736300498,0.0045423194074763595,0.027777777777777776,-0.00768564984540023,-0.004724332968297604,right-stable,c8,sweep,8,4,-4,False,32,False,False,False
c9,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.00015600182204748706,-0.00040571185446879585,0.0024555086135106255,0.4722222222222222,-0.0009157490393244619,0.0006751898004425405,boundary,c9,sweep,9,3,-3,True,36,False,False,False
c9,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.000556372308075601,0.0001365214872702604,0.003335487971681985,0.5555555555555556,-0.0005312630624259533,0.0016010402387951473,boundary,c9,sweep,9,3,-3,True,36,False,False,False
c9,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.0007316872439738294,-0.0014379703370615482,0.003687522873735281,0.2777777777777778,-0.001916300312413941,0.000493609401996422,boundary,c9,sweep,9,3,-3,True,36,False,False,False
c9,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.0007316872439738294,-0.0014379703370615482,0.003687522873735281,0.2777777777777778,-0.001879015302834771,0.0004672226212077608,boundary,c9,sweep,9,3,-3,True,36,False,False,False
c10,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,0.00014643711446370552,-9.893236357209814e-05,0.0028465282814008524,0.4722222222222222,-0.0008143757392624441,0.0010538276956574247,boundary,c10,sweep,10,2,-2,False,40,False,False,False
c10,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0021606957568971953,0.0026579419660165138,0.003926717883602606,0.6944444444444444,0.0007961902031181561,0.003417050277636606,left-stable,c10,sweep,10,2,-2,False,40,False,False,False
c10,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.0010706229069669595,-0.0009189083776939568,0.0024688211818437657,0.3055555555555556,-0.0018464210339771809,-0.00027674283882608245,right-stable,c10,sweep,10,2,-2,False,40,False,False,False
c10,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.0010706229069669595,-0.0009189083776939568,0.0024688211818437657,0.3055555555555556,-0.0018721558896351211,-0.0002990290558727404,right-stable,c10,sweep,10,2,-2,False,40,False,False,False
c11,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,1.5328161397065247e-05,-0.0004203030156357474,0.0034254148202004582,0.4722222222222222,-0.0011081140319892395,0.0011094582697948943,boundary,c11,sweep,11,1,-1,True,44,False,False,False
c11,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0037606512750943183,0.004204748372294188,0.0066980432560607844,0.6944444444444444,0.001620839096993016,0.005834192655993294,left-stable,c11,sweep,11,1,-1,True,44,False,False,False
c11,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,0.0023452308809988162,0.001403666975496003,0.004643381538803619,0.5833333333333334,0.0008361166093932264,0.0038709002951664074,left-stable,c11,sweep,11,1,-1,True,44,False,False,False
c11,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,0.0023452308809988162,0.001403666975496003,0.004643381538803619,0.5833333333333334,0.0008221477101290409,0.003870247349448735,left-stable,c11,sweep,11,1,-1,True,44,False,False,False
c12,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.004485799567179342,-0.0043943210685787135,0.0034983740329806176,0.05555555555555555,-0.005654719123585501,-0.0033631294509038493,reverse-stable,c12,sweep,12,0,0,False,48,False,False,False
c12,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0028863018471288293,0.0029593986316062693,0.0028942188291028233,0.8333333333333334,0.001894519482489205,0.0038014971524087033,left-stable,c12,sweep,12,0,0,False,48,False,False,False
c12,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.0060202808613778434,-0.005330665269767517,0.003533297718206142,0.0,-0.007130429277820985,-0.004934961002296463,right-stable,c12,sweep,12,0,0,False,48,False,False,False
c12,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.0060202808613778434,-0.005330665269767517,0.003533297718206142,0.0,-0.0072015082971514455,-0.004837387687683914,right-stable,c12,sweep,12,0,0,False,48,False,False,False
c13,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,0.002647637560376963,0.0027810186313598547,0.00277933248849285,0.8333333333333334,0.0017669224682359973,0.0035387672446484824,full-stable,c13,sweep,13,1,1,True,52,False,False,False
c13,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,-0.003018960912047978,-0.002942037211684021,0.002700804118880472,0.1388888888888889,-0.003869632824869867,-0.002139190740589722,right-stable,c13,sweep,13,1,1,True,52,False,False,False
c13,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,0.0028268406826765582,0.003271216545807817,0.0027557169609206244,0.8888888888888888,0.001898644365492994,0.0037168685358533416,left-stable,c13,sweep,13,1,1,True,52,False,False,False
c13,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,0.0028268406826765582,0.003271216545807817,0.0027557169609206244,0.8888888888888888,0.0019056292453622228,0.0036049125420714594,left-stable,c13,sweep,13,1,1,True,52,False,False,False
c14,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,0.000657284044251341,0.0007014039893039681,0.002003624440726313,0.5833333333333334,1.7213553396760166e-06,0.0012800945653080812,full-stable,c14,sweep,14,2,2,False,56,False,False,False
c14,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,-0.0018644117100843007,-0.0016760125858516558,0.002270065961357702,0.2222222222222222,-0.002648560328043849,-0.0011793817378399072,right-stable,c14,sweep,14,2,2,False,56,False,False,False
c14,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,0.0018517724329636812,0.0019334629299929897,0.001765196301421834,0.7777777777777778,0.0012684208011458926,0.0024196871918947577,left-stable,c14,sweep,14,2,2,False,56,False,False,False
c14,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,0.0018517724329636812,0.0019334629299929897,0.001765196301421834,0.7777777777777778,0.001282248952594113,0.0023921694574032463,left-stable,c14,sweep,14,2,2,False,56,False,False,False
c15,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.0003909338657384039,-0.0007074967099377693,0.0025391088464629644,0.4444444444444444,-0.0012334792303282597,0.0004556469801436214,boundary,c15,sweep,15,3,3,True,60,False,False,False
c15,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.001026030750323827,0.0011225500660158967,0.0019948226672219355,0.6111111111111112,0.00039069205416387325,0.0017170261064025658,left-stable,c15,sweep,15,3,3,True,60,False,False,False
c15,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,0.0005472788945373159,0.0004649191443635343,0.0022485361465619733,0.6388888888888888,-0.00020467668796076693,0.0012733785903527126,boundary,c15,sweep,15,3,3,True,60,False,False,False
c15,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,0.0005472788945373159,0.0004649191443635343,0.0022485361465619733,0.6388888888888888,-0.00018635927089897736,0.0012614326287009778,boundary,c15,sweep,15,3,3,True,60,False,False,False
c16,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,0.0009116453733583268,0.0003469701287771814,0.0020306565915240156,0.6388888888888888,0.000281820370687038,0.0015802742234054437,full-stable,c16,sweep,16,4,4,False,64,False,False,False
c16,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0012237160579421278,0.001563420251846706,0.002077083058258254,0.75,0.0005503503855661944,0.0018634257542570767,left-stable,c16,sweep,16,4,4,False,64,False,False,False
c16,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,0.002338640721241751,0.0020577894470693277,0.0017455471667809708,0.9444444444444444,0.0017552434055497154,0.0029102113849688977,left-stable,c16,sweep,16,4,4,False,64,False,False,False
c16,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,0.002338640721241751,0.0020577894470693277,0.0017455471667809708,0.9444444444444444,0.0017640638570103461,0.002921139530035535,left-stable,c16,sweep,16,4,4,False,64,False,False,False
c10_reversed,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.0001618053416596698,-0.0002601846851103184,0.0026001699860179997,0.4444444444444444,-0.0009785301230461978,0.0006825474618526615,boundary,c10,reversed,10,2,-2,False,40,False,True,False
c10_reversed,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0015400930167433309,0.002252860322894459,0.0045181325013411945,0.6666666666666666,6.0260802919962196e-05,0.003017704894419639,left-stable,c10,reversed,10,2,-2,False,40,False,True,False
c10_reversed,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.001475583443778042,-0.0012961336559839819,0.0024096540096157438,0.2222222222222222,-0.0022473922145044207,-0.0007008064104523621,right-stable,c10,reversed,10,2,-2,False,40,False,True,False
c10_reversed,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.001475583443778042,-0.0012961336559839819,0.0024096540096157438,0.2222222222222222,-0.0022478559978719326,-0.0007051478284994109,right-stable,c10,reversed,10,2,-2,False,40,False,True,False
c10_side_broken,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,0.0041123907225288445,0.0042243551282507815,0.002274406243822468,1.0,0.0033412045525837144,0.004872810933797183,full-stable,c10,side_broken,10,2,-2,False,40,False,False,False
c10_side_broken,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,-0.004080992795975734,-0.003715303637648242,0.0022984917927732318,0.027777777777777776,-0.004867151540847496,-0.0033860889886820353,right-stable,c10,side_broken,10,2,-2,False,40,False,False,False
c10_side_broken,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,0.005507621372223862,0.005022729740207463,0.002269151277556259,1.0,0.004801260113278831,0.006256883619495949,left-stable,c10,side_broken,10,2,-2,False,40,False,False,False
c10_side_broken,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,0.005507621372223862,0.005022729740207463,0.002269151277556259,1.0,0.0047829708213611,0.0062444706347600425,left-stable,c10,side_broken,10,2,-2,False,40,False,False,False
c10_shuffled,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,0.0002668087713661282,0.0003384282378594547,0.0024560904303105417,0.6388888888888888,-0.0005574621580216012,0.0010291652290137137,boundary,c10,shuffled,10,2,-2,False,40,False,False,False
