topology_arm,representation_arm,arm_family,run_idx,seed,differentiated_recovery
c8,c_to_ab_receiver_only,receiver_only,0,1173975052,0.029005330966405524
c8,c_to_ab_receiver_only,receiver_only,1,2018252348,0.027863920553073542
c8,c_to_ab_receiver_only,receiver_only,2,1153752828,0.023062646581980362
c8,c_to_ab_receiver_only,receiver_only,3,776774463,0.027574550959569802
c8,c_to_ab_receiver_only,receiver_only,4,392559452,0.0288813572318532
c8,c_to_ab_receiver_only,receiver_only,5,580948266,0.030802571850407613
c8,c_to_ab_receiver_only,receiver_only,6,1261200521,0.022433912365746322
c8,c_to_ab_receiver_only,receiver_only,7,403744083,0.02011921329435852
c8,c_to_ab_receiver_only,receiver_only,8,1095635096,0.01955728719812759
c8,c_to_ab_receiver_only,receiver_only,9,107507719,0.02397316272625885
c8,c_to_ab_receiver_only,receiver_only,10,506668230,0.026652644373907422
c8,c_to_ab_receiver_only,receiver_only,11,1660674278,0.027412927679872547
c8,c_to_ab_receiver_only,receiver_only,12,285798294,0.029706100805204912
c8,c_to_ab_receiver_only,receiver_only,13,1896206075,0.022281017422341867
c8,c_to_ab_receiver_only,receiver_only,14,1721546390,0.01718392620367139
c8,c_to_ab_receiver_only,receiver_only,15,719422974,0.020969788876747622
c8,c_to_ab_receiver_only,receiver_only,16,1475242227,0.026887867571352444
c8,c_to_ab_receiver_only,receiver_only,17,1865023522,0.02773241976502168
c8,c_to_ab_receiver_only,receiver_only,18,1483332560,0.02541728520326456
c8,c_to_ab_receiver_only,receiver_only,19,598756086,0.03096655759549389
c8,c_to_ab_receiver_only,receiver_only,20,83755121,0.01569582701400905
c8,c_to_ab_receiver_only,receiver_only,21,931291340,0.02791902393838221
c8,c_to_ab_receiver_only,receiver_only,22,1202243855,0.030072112462217925
c8,c_to_ab_receiver_only,receiver_only,23,125504334,0.01627281006600446
c8,c_to_ab_receiver_only,receiver_only,24,1937567592,0.028624881262089556
c8,c_to_ab_receiver_only,receiver_only,25,1915655892,0.029063367187635854
c8,c_to_ab_receiver_only,receiver_only,26,1596470251,0.027837504187355356
c8,c_to_ab_receiver_only,receiver_only,27,1463276501,0.026559841122851882
c8,c_to_ab_receiver_only,receiver_only,28,1902317682,0.029594453777726515
c8,c_to_ab_receiver_only,receiver_only,29,687181979,0.027639221085750895
c8,c_to_ab_receiver_only,receiver_only,30,1441050628,0.0258342864496884
c8,c_to_ab_receiver_only,receiver_only,31,1166534419,0.026646437800763225
c8,c_to_ab_receiver_only,receiver_only,32,26570818,0.01660373930028685
c8,c_to_ab_receiver_only,receiver_only,33,337809428,0.027664770724426975
c8,c_to_ab_receiver_only,receiver_only,34,534613578,0.02427048195450351
c8,c_to_ab_receiver_only,receiver_only,35,620077560,0.01991146396822498
c8,c_to_ab_magnitude_only,magnitude_only,0,1173975052,0.006987030256997321
