mode,endpoint,selection_rule,comparison,mean_true_generated_pool,mean_comparator,effect,p_greater,n_events,generated_selection_rate
linear_c_state,gmr72_bridge_composite,stability_adjusted,true_generated_pool_vs_oracle,0.0397506316727902,0.5336440378161154,-0.4965298278145335,1.0,494,0.0
gmr72_phase_conditioned,z_reward,mean,true_generated_pool_vs_existing_selected,0.1696525118267676,0.1696525118267676,0.0,1.0,455,0.0
gmr72_phase_conditioned,z_reward,mean,true_generated_pool_vs_random_generated_selected,0.1696525118267676,0.16928046684469136,0.0,1.0,455,0.0
gmr72_phase_conditioned,z_reward,mean,true_generated_pool_vs_balanced_generated_selected,0.1696525118267676,0.1696525118267676,0.0,1.0,455,0.0
gmr72_phase_conditioned,z_reward,mean,true_generated_pool_vs_frequency_matched_generated_selected,0.1696525118267676,0.1696525118267676,0.0,1.0,455,0.0
gmr72_phase_conditioned,z_reward,mean,true_generated_pool_vs_performance_matched_generated_selected,0.1696525118267676,0.1696525118267676,0.0,1.0,455,0.0
gmr72_phase_conditioned,z_reward,mean,true_generated_pool_vs_shuffled_true_generated_selected,0.1696525118267676,0.1696525118267676,0.0,1.0,455,0.0
gmr72_phase_conditioned,z_reward,mean,true_generated_pool_vs_oracle,0.1696525118267676,1.2239410650761156,-1.0845400298455765,1.0,455,0.0
gmr72_phase_conditioned,z_reward,stability_adjusted,true_generated_pool_vs_existing_selected,0.11955572960336647,0.13171141642305603,-0.012096082910458262,0.9482103579284143,477,0.017928286852589643
gmr72_phase_conditioned,z_reward,stability_adjusted,true_generated_pool_vs_random_generated_selected,0.11955572960336647,0.1314358695267735,-0.012096082910458262,0.9584083183363328,477,0.017928286852589643
gmr72_phase_conditioned,z_reward,stability_adjusted,true_generated_pool_vs_balanced_generated_selected,0.11955572960336647,0.13171141642305603,-0.012096082910458262,0.9486102779444111,477,0.017928286852589643
gmr72_phase_conditioned,z_reward,stability_adjusted,true_generated_pool_vs_frequency_matched_generated_selected,0.11955572960336647,0.11951283713706809,4.2892466298364784e-05,0.4861027794441112,478,0.017928286852589643
gmr72_phase_conditioned,z_reward,stability_adjusted,true_generated_pool_vs_performance_matched_generated_selected,0.11955572960336647,0.13171141642305603,-0.012096082910458262,0.9514097180563887,477,0.017928286852589643
gmr72_phase_conditioned,z_reward,stability_adjusted,true_generated_pool_vs_shuffled_true_generated_selected,0.11955572960336647,0.12037177712703263,-0.0008160475236661821,0.7310537892421516,478,0.017928286852589643
gmr72_phase_conditioned,z_reward,stability_adjusted,true_generated_pool_vs_oracle,0.11955572960336647,1.2239410650761156,-1.1077053163489898,1.0,478,0.017928286852589643
gmr72_phase_conditioned,rank_reward,mean,true_generated_pool_vs_existing_selected,0.24187446155474063,0.24187446155474063,0.0,1.0,461,0.0
gmr72_phase_conditioned,rank_reward,mean,true_generated_pool_vs_random_generated_selected,0.24187446155474063,0.2413509237591676,0.0,1.0,461,0.0
gmr72_phase_conditioned,rank_reward,mean,true_generated_pool_vs_balanced_generated_selected,0.24187446155474063,0.24187446155474063,0.0,1.0,461,0.0
gmr72_phase_conditioned,rank_reward,mean,true_generated_pool_vs_frequency_matched_generated_selected,0.24187446155474063,0.24187446155474063,0.0,1.0,461,0.0
gmr72_phase_conditioned,rank_reward,mean,true_generated_pool_vs_performance_matched_generated_selected,0.24187446155474063,0.24187446155474063,0.0,1.0,461,0.0
gmr72_phase_conditioned,rank_reward,mean,true_generated_pool_vs_shuffled_true_generated_selected,0.24187446155474063,0.24187446155474063,0.0,1.0,461,0.0
gmr72_phase_conditioned,rank_reward,mean,true_generated_pool_vs_oracle,0.24187446155474063,1.1117820538752035,-0.9013112185947294,1.0,461,0.0
gmr72_phase_conditioned,rank_reward,stability_adjusted,true_generated_pool_vs_existing_selected,0.1865854415103426,0.1865854415103426,0.0,1.0,479,0.0
gmr72_phase_conditioned,rank_reward,stability_adjusted,true_generated_pool_vs_random_generated_selected,0.1865854415103426,0.1865854415103426,0.0,1.0,479,0.0
gmr72_phase_conditioned,rank_reward,stability_adjusted,true_generated_pool_vs_balanced_generated_selected,0.1865854415103426,0.1865854415103426,0.0,1.0,479,0.0
gmr72_phase_conditioned,rank_reward,stability_adjusted,true_generated_pool_vs_frequency_matched_generated_selected,0.1865854415103426,0.1865854415103426,0.0,1.0,479,0.0
gmr72_phase_conditioned,rank_reward,stability_adjusted,true_generated_pool_vs_performance_matched_generated_selected,0.1865854415103426,0.1865854415103426,0.0,1.0,479,0.0
gmr72_phase_conditioned,rank_reward,stability_adjusted,true_generated_pool_vs_shuffled_true_generated_selected,0.1865854415103426,0.1865854415103426,0.0,1.0,479,0.0
gmr72_phase_conditioned,rank_reward,stability_adjusted,true_generated_pool_vs_oracle,0.1865854415103426,1.1117820538752035,-0.9387580537869981,1.0,479,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,mean,true_generated_pool_vs_existing_selected,0.06338906345259576,0.06338906345259576,0.0,1.0,487,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,mean,true_generated_pool_vs_random_generated_selected,0.06338906345259576,0.06338906345259576,0.0,1.0,487,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,mean,true_generated_pool_vs_balanced_generated_selected,0.06338906345259576,0.06338906345259576,0.0,1.0,487,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,mean,true_generated_pool_vs_frequency_matched_generated_selected,0.06338906345259576,0.06338906345259576,0.0,1.0,487,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,mean,true_generated_pool_vs_performance_matched_generated_selected,0.06338906345259576,0.06338906345259576,0.0,1.0,487,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,mean,true_generated_pool_vs_shuffled_true_generated_selected,0.06338906345259576,0.06338906345259576,0.0,1.0,487,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,mean,true_generated_pool_vs_oracle,0.06338906345259576,0.5336440378161154,-0.47182480117580283,1.0,487,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,stability_adjusted,true_generated_pool_vs_existing_selected,0.0397506316727902,0.0397506316727902,0.0,1.0,494,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,stability_adjusted,true_generated_pool_vs_random_generated_selected,0.0397506316727902,0.0397506316727902,0.0,1.0,494,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,stability_adjusted,true_generated_pool_vs_balanced_generated_selected,0.0397506316727902,0.0397506316727902,0.0,1.0,494,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,stability_adjusted,true_generated_pool_vs_frequency_matched_generated_selected,0.0397506316727902,0.0397506316727902,0.0,1.0,494,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,stability_adjusted,true_generated_pool_vs_performance_matched_generated_selected,0.0397506316727902,0.0397506316727902,0.0,1.0,494,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,stability_adjusted,true_generated_pool_vs_shuffled_true_generated_selected,0.0397506316727902,0.0397506316727902,0.0,1.0,494,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,stability_adjusted,true_generated_pool_vs_oracle,0.0397506316727902,0.5336440378161154,-0.4965298278145335,1.0,494,0.0
fes_string_conditioned,z_reward,mean,true_generated_pool_vs_existing_selected,0.02998243779351871,0.02998243779351871,0.0,1.0,473,0.0
fes_string_conditioned,z_reward,mean,true_generated_pool_vs_random_generated_selected,0.02998243779351871,0.02998243779351871,0.0,1.0,473,0.0
