mode,weight_endpoint,readout,direction,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,rank_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_balanced_intersection,-0.06268816554075103,-0.0246597081267326,-0.03802845741401844,0.9728054389122176,101
combined_c_fes_gmr72,rank_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_performance_matched_intersection,-0.06268816554075103,-0.04506358394374999,-0.01762458159700105,0.7024595080983803,101
combined_c_fes_gmr72,rank_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_shuffled_c_intersection,-0.06268816554075103,-0.020964613515536613,-0.04172355202521443,0.9328134373125375,101
combined_c_fes_gmr72,rank_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_phase_rotated_intersection,-0.06268816554075103,0.011710444402943311,-0.07439860994369435,0.9856028794241152,101
combined_c_fes_gmr72,rank_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_random_intersection,-0.6022362309757344,-0.5288493358616289,-0.07338689511410543,0.9650069986002799,101
combined_c_fes_gmr72,rank_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_balanced_intersection,-0.6022362309757344,-0.5642077735617159,-0.03802845741401844,0.9704059188162367,101
combined_c_fes_gmr72,rank_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_performance_matched_intersection,-0.6022362309757344,-0.5846116493787333,-0.017624581597001046,0.6956608678264347,101
combined_c_fes_gmr72,rank_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_shuffled_c_intersection,-0.6022362309757344,-0.56051267895052,-0.041723552025214446,0.937612477504499,101
combined_c_fes_gmr72,rank_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_phase_rotated_intersection,-0.6022362309757344,-0.52783762103204,-0.07439860994369434,0.9836032793441312,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_random_intersection,-0.02051837209421894,0.011973001750227993,-0.03249137384444691,0.7416516696660668,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_balanced_intersection,-0.02051837209421894,-0.0014905345301488506,-0.01902783756407009,0.8042391521695661,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_performance_matched_intersection,-0.02051837209421894,0.006785794038024288,-0.02730416613224321,0.855628874225155,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_shuffled_c_intersection,-0.02051837209421894,0.01568203689298064,-0.036200408987199555,0.9304139172165566,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_phase_rotated_intersection,-0.02051837209421894,0.02762085850059899,-0.048139230594817915,0.997000599880024,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_random_intersection,-0.5600664375292023,-0.5275750636847554,-0.032491373844446905,0.7248550289942012,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_balanced_intersection,-0.5600664375292023,-0.5410385999651321,-0.01902783756407009,0.8086382723455309,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_performance_matched_intersection,-0.5600664375292023,-0.5327622713969591,-0.027304166132243218,0.8582283543291341,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_shuffled_c_intersection,-0.5600664375292023,-0.5238660285420027,-0.036200408987199555,0.9344131173765247,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_phase_rotated_intersection,-0.5600664375292023,-0.5119272069343843,-0.04813923059481791,0.9974005198960207,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_random_intersection,-0.05277699694270153,0.010698729573354375,-0.06347572651605589,0.9548090381923615,101
