mode,weight_endpoint,readout,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,readout_asymmetry,true_vs_phase_rotated_intersection,-0.03225862484848261,-0.007484289715453177,-0.024774335133029422,0.9188162367526495,101
gmr72_phase_conditioned,z_reward,sic_continuous,abs_readout_asymmetry,true_vs_random_intersection,0.39693581229771946,0.4309125727616613,-0.033976760463941755,0.8086382723455309,101
gmr72_phase_conditioned,z_reward,sic_continuous,abs_readout_asymmetry,true_vs_balanced_intersection,0.39693581229771946,0.31857476945681057,0.07836104284090904,0.0001999600079984003,101
gmr72_phase_conditioned,z_reward,sic_continuous,abs_readout_asymmetry,true_vs_performance_matched_intersection,0.39693581229771946,0.31089777892210796,0.08603803337561163,0.0003999200159968006,101
gmr72_phase_conditioned,z_reward,sic_continuous,abs_readout_asymmetry,true_vs_shuffled_c_intersection,0.39693581229771946,0.35820764722845927,0.038728165069260315,0.06418716256748651,101
gmr72_phase_conditioned,z_reward,sic_continuous,abs_readout_asymmetry,true_vs_phase_rotated_intersection,0.39693581229771946,0.2807791741218727,0.116156638175847,0.0001999600079984003,101
gmr72_phase_conditioned,z_reward,sic_continuous,readout_asymmetry,true_vs_random_intersection,0.016234702096297782,-0.05519069787086413,0.07142539996716192,0.054789042191561686,101
gmr72_phase_conditioned,z_reward,sic_continuous,readout_asymmetry,true_vs_balanced_intersection,0.016234702096297782,-0.023169173596583784,0.03940387569288155,0.02659468106378724,101
gmr72_phase_conditioned,z_reward,sic_continuous,readout_asymmetry,true_vs_performance_matched_intersection,0.016234702096297782,-0.03488177315299183,0.05111647524928962,0.03139372125574885,101
gmr72_phase_conditioned,z_reward,sic_continuous,readout_asymmetry,true_vs_shuffled_c_intersection,0.016234702096297782,-0.008830310849294816,0.02506501294559259,0.16596680663867228,101
gmr72_phase_conditioned,z_reward,sic_continuous,readout_asymmetry,true_vs_phase_rotated_intersection,0.016234702096297782,-0.036584785145075356,0.052819487241373135,0.08018396320735853,101
gmr72_phase_conditioned,rank_reward,sic_continuous,abs_readout_asymmetry,true_vs_random_intersection,0.3912432844726571,0.4309125727616613,-0.03966928828900415,0.8738252349530093,101
gmr72_phase_conditioned,rank_reward,sic_continuous,abs_readout_asymmetry,true_vs_balanced_intersection,0.3912432844726571,0.31857476945681057,0.07266851501584663,0.0001999600079984003,101
gmr72_phase_conditioned,rank_reward,sic_continuous,abs_readout_asymmetry,true_vs_performance_matched_intersection,0.3912432844726571,0.34441386368184373,0.046829420790813425,0.028794241151769647,101
gmr72_phase_conditioned,rank_reward,sic_continuous,abs_readout_asymmetry,true_vs_shuffled_c_intersection,0.3912432844726571,0.3511298011241684,0.04011348334848875,0.036192761447710456,101
gmr72_phase_conditioned,rank_reward,sic_continuous,abs_readout_asymmetry,true_vs_phase_rotated_intersection,0.3912432844726571,0.2678550687987366,0.12338821567392055,0.0001999600079984003,101
gmr72_phase_conditioned,rank_reward,sic_continuous,readout_asymmetry,true_vs_random_intersection,0.013819614261440122,-0.05519069787086413,0.06901031213230426,0.04939012197560488,101
gmr72_phase_conditioned,rank_reward,sic_continuous,readout_asymmetry,true_vs_balanced_intersection,0.013819614261440122,-0.023169173596583784,0.0369887878580239,0.021995600879824034,101
gmr72_phase_conditioned,rank_reward,sic_continuous,readout_asymmetry,true_vs_performance_matched_intersection,0.013819614261440122,-0.04403887754296377,0.05785849180440389,0.014397120575884824,101
gmr72_phase_conditioned,rank_reward,sic_continuous,readout_asymmetry,true_vs_shuffled_c_intersection,0.013819614261440122,-0.01640324283643088,0.03022285709787101,0.10417916416716656,101
gmr72_phase_conditioned,rank_reward,sic_continuous,readout_asymmetry,true_vs_phase_rotated_intersection,0.013819614261440122,-0.04128789451615003,0.05510750877759014,0.07178564287142572,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,abs_readout_asymmetry,true_vs_random_intersection,0.34048335731500223,0.4309125727616613,-0.09042921544665906,0.9924015196960608,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,abs_readout_asymmetry,true_vs_balanced_intersection,0.34048335731500223,0.31857476945681057,0.02190858785819174,0.005598880223955209,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,abs_readout_asymmetry,true_vs_performance_matched_intersection,0.34048335731500223,0.2860853879615874,0.05439796935341492,0.0009998000399920016,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,abs_readout_asymmetry,true_vs_shuffled_c_intersection,0.34048335731500223,0.32533506559396624,0.015148291721036109,0.11417716456708658,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,abs_readout_asymmetry,true_vs_phase_rotated_intersection,0.34048335731500223,0.31492565961454466,0.025557697700457654,0.022395520895820836,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,readout_asymmetry,true_vs_random_intersection,-0.008908800218303798,-0.05519069787086413,0.046281897652560376,0.14537092581483704,101
