mode,weight_endpoint,readout,minimum_success,strong_success,control_asymmetry_pass_count,true_asymmetry_nonzero,fold_direction_stability,dominant_direction,fold_dominant_direction,mean_relative_to_sisic,mean_sisic_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,effect_vs_random_abs,p_vs_random_abs,effect_vs_balanced_abs,p_vs_balanced_abs,effect_vs_shuffled_c_abs,p_vs_shuffled_c_abs,effect_vs_phase_rotated_abs,p_vs_phase_rotated_abs
linear_c_state,z_reward,si_projection_reception,False,False,3,False,0.6,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.4657448638386477,-0.4569604472641497,0.008784416574498166,0.3639604161419479,0.8894221155768847,-0.05796848702492799,0.9354129174165167,0.03198876434347922,0.04279144171165767,0.027887272931369406,0.16996600679864027,0.09994578601680926,0.0011997600479904018
gmr72_phase_conditioned,gmr72_bridge_composite,si_projection_reception,False,False,3,False,0.6,Relative_to_SI_SIC,SI_SIC_to_Relative,-0.5205758668196451,-0.527781420030104,-0.007205553210458904,0.3438055527223344,0.9000199960007998,-0.07812335044454147,0.9822035592881424,0.01183390092386573,0.08138372325534893,0.02376599774217128,0.04359128174365127,0.021032547512009434,0.047590481903619274
combined_c_fes_gmr72,gmr72_bridge_composite,si_projection_reception,False,False,2,False,0.6,Relative_to_SI_SIC,SI_SIC_to_Relative,-0.5327739697434106,-0.5546243997566004,-0.02185043001318986,0.36209735061331133,0.727254549090182,-0.03166857283537116,0.7812437512497501,0.030125698814842665,0.016996600679864027,0.0013349268969214943,0.4709058188362327,0.019707495731416055,0.127374525094981
linear_c_state,rank_reward,si_projection_reception,False,False,2,False,0.6,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.46923718410122334,-0.46342209593117806,0.005815088170045348,0.3606464605029634,0.9244151169766047,-0.061282442663912445,0.9506098780243951,0.028674808704494743,0.038792241551689664,0.02520964610288324,0.1249750049990002,0.09953055390013019,0.0003999200159968006
combined_c_fes_gmr72,rank_reward,si_projection_reception,False,False,1,False,0.6,Relative_to_SI_SIC,SI_SIC_to_Relative,-0.5257285016520883,-0.5529549151843821,-0.027226413532293808,0.36517494421788266,0.6650669866026795,-0.02859097923079979,0.7608478304339132,0.03320329241941403,0.021395720855828835,-0.012596469105390282,0.7400519896020796,0.04846562579594546,0.0621875624875025
fes_string_conditioned,z_reward,si_projection_reception,False,False,1,False,0.6,Relative_to_SI_SIC,SI_SIC_to_Relative,-0.5354344161646252,-0.5486043704504044,-0.013169954285779176,0.34139568771148177,0.8158368326334733,-0.15011172744299806,0.992001599680064,0.009424035913013096,0.21975604879024196,-0.004548137073256214,0.7814437112577485,0.027093907299396893,0.0625874825034993
fes_string_conditioned,rank_reward,si_projection_reception,False,False,1,False,0.6,Relative_to_SI_SIC,SI_SIC_to_Relative,-0.5384689140027504,-0.5551468758867294,-0.01667796188397898,0.3404315342281479,0.765246950609878,-0.1510758809263318,0.9936012797440512,0.008459882429679306,0.14717056588682265,0.002163658252785883,0.3809238152369526,0.028399133626496455,0.027994401119776045
linear_c_state,gmr72_bridge_composite,si_projection_reception,False,False,1,False,0.6,Relative_to_SI_SIC,SI_SIC_to_Relative,-0.5153693112496022,-0.5199234922793898,-0.004554181029787603,0.3303217162247989,0.9348130373925215,-0.09160718694207694,0.9898020395920816,-0.001649935573669736,0.5784843031393722,0.005180149869333604,0.3385322935412917,0.012811339027048228,0.16836632673465307
fes_string_conditioned,gmr72_bridge_composite,si_projection_reception,False,False,1,False,0.6,Relative_to_SI_SIC,SI_SIC_to_Relative,-0.5361101348954328,-0.5511955164681389,-0.015085381572706256,0.32940208647688096,0.794241151769646,-0.16210532867759878,0.9976004799040192,-0.0025695653215876807,0.7266546690661868,0.002042857717144347,0.2521495700859828,-0.00015180337417778923,0.5096980603879224
gmr72_phase_conditioned,rank_reward,sic_continuous,False,False,4,False,0.8,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.5168175094039051,-0.5029978951424651,0.013819614261440122,0.3912432844726571,0.8242351529694061,-0.03966928828900415,0.8738252349530093,0.07266851501584663,0.0001999600079984003,0.04011348334848875,0.036192761447710456,0.12338821567392055,0.0001999600079984003
gmr72_phase_conditioned,z_reward,sic_continuous,False,False,3,False,0.8,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.5152080152824303,-0.4989733131861324,0.016234702096297782,0.39693581229771946,0.794241151769646,-0.033976760463941755,0.8086382723455309,0.07836104284090904,0.0001999600079984003,0.038728165069260315,0.06418716256748651,0.116156638175847,0.0001999600079984003
linear_c_state,z_reward,sic_continuous,False,False,3,False,0.8,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.5101851672633316,-0.49654076742841047,0.013644399834921259,0.3837736430024356,0.8204359128174366,-0.047138929759225796,0.8870225954809038,0.065198873545625,0.0003999200159968006,0.016333878955440157,0.22375524895020996,0.10466128154711517,0.0001999600079984003
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,False,False,3,False,0.6,Relative_to_SI_SIC,SI_SIC_to_Relative,-0.536426909894444,-0.5453357101127477,-0.008908800218303798,0.34048335731500223,0.8648270345930814,-0.09042921544665906,0.9924015196960608,0.02190858785819174,0.005598880223955209,0.015148291721036109,0.11417716456708658,0.025557697700457654,0.022395520895820836
linear_c_state,rank_reward,sic_continuous,False,False,2,False,0.8,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.511471883036471,-0.5012607556955875,0.01021112734088357,0.3797872590586648,0.8680263947210558,-0.05112531370299662,0.9170165966806638,0.06121248960185418,0.0001999600079984003,0.017574933136321694,0.17776444711057787,0.114104609415599,0.0001999600079984003
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,False,False,1,False,0.8,Relative_to_SI_SIC,Relative_to_SI_SIC,-0.5600664375292023,-0.5923250623776848,-0.03225862484848261,0.33518692182772597,0.5518896220755849,-0.13229802394300816,0.9982003599280144,0.016612152370915453,0.07618476304739052,0.0045182131155654046,0.40191961607678467,-0.013761091825275192,0.8080383923215357
linear_c_state,gmr72_bridge_composite,sic_continuous,False,False,1,False,0.6,Relative_to_SI_SIC,SI_SIC_to_Relative,-0.534317632696381,-0.543906180656924,-0.009588547960543118,0.32751905063086595,0.8638272345530894,-0.10339352213079539,0.997000599880024,0.00894428117405538,0.09198160367926415,-0.003742482351448565,0.6630673865226955,0.017075333272766034,0.09278144371125775
fes_string_conditioned,gmr72_bridge_composite,sic_continuous,False,False,1,False,0.8,Relative_to_SI_SIC,Relative_to_SI_SIC,-0.5409567328610606,-0.5650281492372164,-0.024071416376155792,0.315123057875675,0.6250749850029994,-0.11970267059166323,0.9988002399520096,-0.003451711581135555,0.7674465106978604,-0.005674988266804241,0.8642271545690862,-0.003961344718084867,0.7320535892821436
combined_c_fes_gmr72,rank_reward,sic_continuous,False,False,0,False,0.6,Relative_to_SI_SIC,Relative_to_SI_SIC,-0.5666932921671082,-0.6022362309757344,-0.03554293880862615,0.3385615399257066,0.5178964207158568,-0.12892340584502773,0.9942011597680463,0.019986770468895864,0.07838432313537293,-0.0104861822670701,0.6996600679864027,0.029240234848416955,0.13777244551089782
combined_c_fes_gmr72,z_reward,sic_continuous,False,False,0,False,0.6,Relative_to_SI_SIC,Relative_to_SI_SIC,-0.5611583520175073,-0.5983607927489427,-0.03720244073143533,0.335226284944547,0.4947010597880424,-0.13225866082618723,0.9968006398720256,0.016651515487736347,0.10777844431113777,-0.008840627301678457,0.6722655468906219,0.01827515118658029,0.27134573085382924
fes_string_conditioned,z_reward,sic_continuous,False,False,0,False,0.8,Relative_to_SI_SIC,Relative_to_SI_SIC,-0.5404762909404393,-0.5655812418711968,-0.025104950930757406,0.32379024019055436,0.6312737452509498,-0.11103548827678388,0.9944011197760448,0.0052154707337437566,0.32833433313337335,-0.019878834815580542,0.9188162367526495,0.012232773968730279,0.23655268946210758
fes_string_conditioned,rank_reward,sic_continuous,False,False,0,False,0.8,Relative_to_SI_SIC,Relative_to_SI_SIC,-0.5443072406411398,-0.5727773109407179,-0.02847007029957821,0.3227871243497058,0.5698860227954409,-0.11203860411763249,0.9966006798640272,0.004212354892895168,0.3271345730853829,-0.013687068407615039,0.9150169966006798,0.009826677177808971,0.259748050389922
gmr72_phase_conditioned,z_reward,sic_signature_binary,False,False,3,False,1.0,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.2822226968472945,-0.22152607342278965,0.06069662342450492,0.17004619127493245,0.08238352329534093,-0.0061313850076471985,0.6044791041791642,0.036482242655439014,0.0003999200159968006,0.010896372087328686,0.26034793041391724,0.06835949686334958,0.0001999600079984003
linear_c_state,z_reward,sic_signature_binary,False,False,3,False,1.0,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.2817256281545726,-0.21913044934902987,0.06259517880554279,0.16724644821315057,0.06818636272745451,-0.008931128069428971,0.6564687062587482,0.03368249959365724,0.0001999600079984003,0.0044060463062456584,0.39332133573285344,0.06300318747021394,0.0001999600079984003
gmr72_phase_conditioned,gmr72_bridge_composite,sic_signature_binary,False,False,3,False,0.8,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.2877082987232599,-0.2462172445338486,0.04149105418941117,0.14135409368078394,0.14497100579884023,-0.03482348260179563,0.9726054789042191,0.007790145061290586,0.020195960807838434,0.0008295703048874767,0.4287142571485703,0.024830335488287652,0.0001999600079984003
gmr72_phase_conditioned,rank_reward,sic_signature_binary,False,False,2,False,1.0,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.28027712880459477,-0.2202173908271108,0.060059737977483964,0.17030146426387097,0.08938212357528494,-0.005876112018708605,0.6190761847630474,0.036737515644377605,0.0001999600079984003,0.008467391129934778,0.2523495300939812,0.07304813905490931,0.0001999600079984003
linear_c_state,rank_reward,sic_signature_binary,False,False,2,False,1.0,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.2798968434081833,-0.21787696610123045,0.06201987730695286,0.1672174404777689,0.0649870025994801,-0.008960135804810634,0.6818636272745451,0.033653491858275576,0.0001999600079984003,0.0014233989412795937,0.4511097780443911,0.06791671342827181,0.0001999600079984003
combined_c_fes_gmr72,rank_reward,sic_signature_binary,False,False,2,False,0.6,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.2928776915131394,-0.266733524870101,0.026144166643038435,0.15646243351530695,0.3685262947410518,0.012475136902253875,0.22395520895820836,0.022898484895813566,0.0005998800239952009,0.0020606834277447326,0.4345130973805239,0.030366639939876473,0.0003999200159968006
combined_c_fes_gmr72,z_reward,sic_signature_binary,False,False,2,False,0.8,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.291600354588084,-0.26544369497872145,0.026156659609362563,0.15355128951691438,0.38032393521295743,0.009563992903861302,0.27374525094981006,0.01998734089742099,0.0013997200559888023,0.0034240754970552294,0.386122775444911,0.028950096218476298,0.0013997200559888023
combined_c_fes_gmr72,gmr72_bridge_composite,sic_signature_binary,False,False,2,False,0.6,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.292552035331186,-0.26771202307159986,0.024840012259586184,0.1471853229666195,0.36272745450909816,0.003198026353566433,0.4065186962607478,0.013621374347126127,0.007798440311937612,0.0069868669132806364,0.28654269146170763,0.008726617009106867,0.21015796840631873
linear_c_state,gmr72_bridge_composite,sic_signature_binary,False,False,2,False,1.0,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.2873777589014782,-0.24291274232153293,0.04446501657994524,0.13525104584844463,0.10017996400719856,-0.04092653043413494,0.9912017596480703,0.001687097228951265,0.2923415316936613,-0.008088759017594769,0.9290141971605679,0.01740732876637163,0.001799640071985603
fes_string_conditioned,gmr72_bridge_composite,sic_signature_binary,False,False,1,False,0.8,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.2886066128156512,-0.2513255973543361,0.03728101546131503,0.13025126022178804,0.14297140571885622,-0.026727560483807564,0.8272345530893821,-0.0033126883977053177,0.848630273945211,-0.006060074678641559,0.8990201959608078,0.0007439192861813802,0.41551689662067587
fes_string_conditioned,z_reward,sic_signature_binary,False,False,0,False,1.0,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.28803262277210767,-0.24689004491241548,0.04114257785969216,0.1335845325916532,0.1315736852629474,-0.02339428811394244,0.7748450309938012,2.0583972159809853e-05,0.48210357928414316,-0.01917941036668382,0.9396120775844831,0.006648018427090443,0.3065386922615477
fes_string_conditioned,rank_reward,sic_signature_binary,False,False,0,False,1.0,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.28917447280615327,-0.2527989032516508,0.036375569554502545,0.1291767395713692,0.14117176564687062,-0.027802081134226414,0.8248350329934013,-0.00438720904812417,0.7606478704259149,-0.015680120697460127,0.9822035592881424,0.0013639817898323174,0.4341131773645271
