mode,weight_endpoint,readout,control_kind,mean_relative_to_sisic,mean_sisic_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
combined_c_fes_gmr72,z_reward,sic_continuous,true_intersection,-0.5611583520175073,-0.5983607927489427,-0.03720244073143533,0.335226284944547,0.4947010597880424,Relative_to_SI_SIC,101
combined_c_fes_gmr72,z_reward,sic_continuous,random_intersection,-0.5275750636847554,-0.5288493358616289,-0.0012742721768736053,0.4674849457707342,0.9902019596080783,Relative_to_SI_SIC,101
combined_c_fes_gmr72,z_reward,sic_continuous,balanced_intersection,-0.5410385999651321,-0.5642077735617159,-0.023169173596583784,0.31857476945681057,0.638872225554889,Relative_to_SI_SIC,101
combined_c_fes_gmr72,z_reward,sic_continuous,performance_matched_intersection,-0.5396701203435219,-0.5745518934965137,-0.03488177315299183,0.31089777892210796,0.4807038592281544,Relative_to_SI_SIC,101
combined_c_fes_gmr72,z_reward,sic_continuous,shuffled_c_intersection,-0.546066299361545,-0.5731192620814508,-0.027052962719905805,0.3440669122462254,0.6322735452909418,Relative_to_SI_SIC,101
combined_c_fes_gmr72,z_reward,sic_continuous,phase_rotated_intersection,-0.5124223275195746,-0.5240934588692827,-0.011671131349708075,0.3169511337579666,0.8204359128174366,Relative_to_SI_SIC,101
combined_c_fes_gmr72,rank_reward,sic_continuous,true_intersection,-0.5666932921671082,-0.6022362309757344,-0.03554293880862615,0.3385615399257066,0.5178964207158568,Relative_to_SI_SIC,101
combined_c_fes_gmr72,rank_reward,sic_continuous,random_intersection,-0.5275750636847554,-0.5288493358616289,-0.0012742721768736053,0.4674849457707342,0.9880023995200959,Relative_to_SI_SIC,101
combined_c_fes_gmr72,rank_reward,sic_continuous,balanced_intersection,-0.5410385999651321,-0.5642077735617159,-0.023169173596583784,0.31857476945681057,0.6354729054189162,Relative_to_SI_SIC,101
combined_c_fes_gmr72,rank_reward,sic_continuous,performance_matched_intersection,-0.5405727718357695,-0.5846116493787333,-0.04403887754296377,0.34441386368184373,0.4191161767646471,Relative_to_SI_SIC,101
combined_c_fes_gmr72,rank_reward,sic_continuous,shuffled_c_intersection,-0.5377982581172048,-0.56051267895052,-0.02271442083331499,0.34904772219277663,0.6898620275944811,Relative_to_SI_SIC,101
combined_c_fes_gmr72,rank_reward,sic_continuous,phase_rotated_intersection,-0.5203343139286815,-0.52783762103204,-0.007503307103358649,0.30932130507728944,0.8920215956808638,Relative_to_SI_SIC,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,true_intersection,-0.5600664375292023,-0.5923250623776848,-0.03225862484848261,0.33518692182772597,0.5518896220755849,Relative_to_SI_SIC,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,random_intersection,-0.5275750636847554,-0.5288493358616289,-0.0012742721768736053,0.4674849457707342,0.9864027194561088,Relative_to_SI_SIC,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,balanced_intersection,-0.5410385999651321,-0.5642077735617159,-0.023169173596583784,0.31857476945681057,0.6396720655868826,Relative_to_SI_SIC,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,performance_matched_intersection,-0.5327622713969591,-0.5584223109333928,-0.025660039536433657,0.2860853879615874,0.5516896620675865,Relative_to_SI_SIC,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,shuffled_c_intersection,-0.5238660285420027,-0.5594869909165129,-0.03562096237451024,0.3306687087121606,0.5232953409318136,Relative_to_SI_SIC,101
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,phase_rotated_intersection,-0.5119272069343843,-0.5194114966498374,-0.007484289715453177,0.34894801365300115,0.8942211557688462,Relative_to_SI_SIC,101
gmr72_phase_conditioned,z_reward,sic_continuous,true_intersection,-0.5152080152824303,-0.4989733131861324,0.016234702096297782,0.39693581229771946,0.794241151769646,SI_SIC_to_Relative,101
gmr72_phase_conditioned,z_reward,sic_continuous,random_intersection,-0.4571162032955442,-0.5123069011664083,-0.05519069787086413,0.4309125727616613,0.4465106978604279,Relative_to_SI_SIC,101
gmr72_phase_conditioned,z_reward,sic_continuous,balanced_intersection,-0.5410385999651321,-0.5642077735617159,-0.023169173596583784,0.31857476945681057,0.6476704659068186,Relative_to_SI_SIC,101
gmr72_phase_conditioned,z_reward,sic_continuous,performance_matched_intersection,-0.5396701203435219,-0.5745518934965137,-0.03488177315299183,0.31089777892210796,0.4839032193561288,Relative_to_SI_SIC,101
gmr72_phase_conditioned,z_reward,sic_continuous,shuffled_c_intersection,-0.5450589021647354,-0.5538892130140302,-0.008830310849294816,0.35820764722845927,0.8772245550889822,Relative_to_SI_SIC,101
gmr72_phase_conditioned,z_reward,sic_continuous,phase_rotated_intersection,-0.5816139898542828,-0.6181987749993579,-0.036584785145075356,0.2807791741218727,0.396120775844831,Relative_to_SI_SIC,101
gmr72_phase_conditioned,rank_reward,sic_continuous,true_intersection,-0.5168175094039051,-0.5029978951424651,0.013819614261440122,0.3912432844726571,0.8242351529694061,SI_SIC_to_Relative,101
gmr72_phase_conditioned,rank_reward,sic_continuous,random_intersection,-0.4571162032955442,-0.5123069011664083,-0.05519069787086413,0.4309125727616613,0.4331133773245351,Relative_to_SI_SIC,101
gmr72_phase_conditioned,rank_reward,sic_continuous,balanced_intersection,-0.5410385999651321,-0.5642077735617159,-0.023169173596583784,0.31857476945681057,0.6306738652269546,Relative_to_SI_SIC,101
gmr72_phase_conditioned,rank_reward,sic_continuous,performance_matched_intersection,-0.5405727718357695,-0.5846116493787333,-0.04403887754296377,0.34441386368184373,0.40451909618076387,Relative_to_SI_SIC,101
gmr72_phase_conditioned,rank_reward,sic_continuous,shuffled_c_intersection,-0.5337980554367314,-0.5502012982731624,-0.01640324283643088,0.3511298011241684,0.7742451509698061,Relative_to_SI_SIC,101
gmr72_phase_conditioned,rank_reward,sic_continuous,phase_rotated_intersection,-0.587766882913711,-0.629054777429861,-0.04128789451615003,0.2678550687987366,0.3049390121975605,Relative_to_SI_SIC,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,true_intersection,-0.536426909894444,-0.5453357101127477,-0.008908800218303798,0.34048335731500223,0.8648270345930814,Relative_to_SI_SIC,101
