event_class,event_role,source_file,label,task_idx,phase,strength,event_rule
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,3.0,0.5746651679373374,0.1875380547650054,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,7.0,0.585527291781047,0.18338540244252263,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,11.0,1.0227694185553626,0.17731835948074032,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,19.0,2.5000323874341106,0.20620005836704766,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,42.0,-0.8335201253639855,0.15628428672228512,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,45.0,-0.2890450078171063,0.16948596093514837,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,47.0,-0.04770628904175285,0.1483088471164837,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,94.0,-0.5061116041794425,0.15673790182490296,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,97.0,0.019752890766218167,0.16215334184076566,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,109.0,-0.22175138322247856,0.15818648342332498,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,112.0,-0.7234004074212014,0.20361480415116615,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,114.0,-0.8186258883434898,0.17707795793925643,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,120.0,-0.11541621460605928,0.1760824187383396,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,135.0,0.6026006048131944,0.13332415322591964,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,147.0,-0.24887882011312207,0.11627210594645554,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,150.0,0.15543677156546212,0.10807946473905546,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,163.0,-0.04705373363906326,0.13041437051866556,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,167.0,0.31138443975821095,0.181325824632156,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,175.0,1.0393777633230286,0.09172277108264044,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,178.0,1.5130217356517668,0.13566368275572646,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,184.0,0.8439833927251769,0.12325007801971209,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,197.0,-0.9592634677674108,0.142741259428208,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,206.0,-1.134589804693367,0.16055451704216536,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,208.0,-0.8550448219028257,0.1950632637651881,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,213.0,0.0826799849791917,0.2556702546533615,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,228.0,0.9505697549922885,0.10263030472541161,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,232.0,0.9088163167829619,0.10818010362857655,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,238.0,1.3849473656277094,0.15544755407002675,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,279.0,-0.7095288221652305,0.17463817694218853,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,303.0,-0.7284852485920132,0.1446062823754308,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,347.0,0.6893833957234998,0.18239098771435328,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,351.0,0.637444952228873,0.12228143651267039,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,355.0,0.18627820278794138,0.1702529348019833,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,358.0,-0.3702800469594031,0.18998579779629363,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,362.0,-0.6947332826240821,0.15887985747375613,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,364.0,-0.7606151473369234,0.12134955769530997,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,366.0,-0.8291421774104432,0.22445055304216133,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,383.0,0.6744381983238288,0.12895141612989955,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,385.0,0.4970363426770293,0.12978183972816076,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,389.0,-0.23955617515309147,0.15836215884972557,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,391.0,-0.5038571771622609,0.14718267523092884,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,399.0,-0.9722526206164563,0.23886735706075596,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P1,410.0,-1.3734377361871632,1.0,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,19.0,-1.2875058533628134,0.1888983281831802,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,23.0,-1.4946634133867853,0.181228709813273,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,32.0,-1.3293104976846746,0.22958301063312245,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,34.0,-1.3927378050207655,0.22365804326078345,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,61.0,-0.566150260618663,0.19358135004229574,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,65.0,-0.8976507075535045,0.2767401903060519,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,67.0,-0.9813538287654313,0.25122781371170316,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,71.0,-1.1361041512966887,0.27635988187149435,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,80.0,-1.1704560189517998,0.2896333390017116,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,83.0,-1.1046890817088966,0.256119159328606,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,120.0,-0.8484165678158356,0.2188409537401207,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,125.0,-0.4069935145125576,0.21267323688781456,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,135.0,-0.5564173982904055,0.19974715187610262,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,139.0,-0.8943182916697124,0.16800970183134084,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,148.0,-0.9021792677682466,0.21252932773370437,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,156.0,-0.5057016696872773,0.1899951614238673,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,162.0,-0.3540477379661434,0.21182843583594035,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,169.0,-0.01960325266811476,0.2689841465384624,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,184.0,0.2572948598587064,0.16176484302336816,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,190.0,-0.4856584070792149,0.1448864536750891,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,195.0,-0.4676013379413369,0.26513171003959823,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,206.0,-0.9889014563979398,0.07550510857322201,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,208.0,-1.0778116141300798,0.11298550500592675,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,215.0,-0.6123603538187896,0.1575641491622217,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,222.0,-0.03409996897717721,0.10690321919548262,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,234.0,0.5473772388066825,0.1726427288515696,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,240.0,0.8106100704825909,0.21650400847376727,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,250.0,0.923317349971535,0.19812151826763574,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,295.0,0.5639825752591465,0.233136199268956,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,300.0,0.8756156199073584,0.18302604263996472,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,337.0,-0.817930640003175,0.1696487159794099,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,347.0,0.6008953795306295,0.19138001394782098,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,355.0,1.2508135042419322,0.3316796678428539,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,360.0,1.8044978899221986,0.5444409571515828,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,363.0,2.2655422644092176,0.27085441769211466,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,368.0,2.592223130252691,0.259398701868475,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,371.0,2.5227516258127896,0.27292662881699326,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,377.0,2.0045533969841394,0.37447816878323553,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,381.0,0.6903315746463746,0.27110033829949765,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,383.0,0.34665593811683587,0.25999549732312993,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,387.0,-0.18932097992438904,0.23238212717215764,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,392.0,-0.9439116404773098,0.31889586689495314,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,395.0,-1.26911295241944,0.2709358556480046,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,399.0,-1.4611145899890128,0.30431859504430275,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P10,402.0,-1.5102028087778672,0.2264237072193969,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,0.0,0.11346817068743337,0.22904148780826028,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,4.0,0.9397632601902619,0.20801863625052577,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,27.0,-1.0298417469494396,0.18064219941224605,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,29.0,1.5088366633320813,0.22890310188906446,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,32.0,1.3744333751677467,0.25420021859240294,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,37.0,1.2635418652350163,0.29082043332051194,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,39.0,0.6562693426802445,0.2792225129452249,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,44.0,-0.6018778995818086,0.25406679855427344,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,55.0,-0.9136566853349045,0.1789838077753059,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,59.0,-0.3704245685191622,0.17346123524294924,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,61.0,-0.12378956099454114,0.140031084479082,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,75.0,1.5493598325528244,0.20975394113875342,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,94.0,-1.1796312167476264,0.2768939029046096,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,102.0,0.6686364613339876,0.2932390829251233,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,105.0,0.7271589637437793,0.20668602806098538,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,108.0,0.7009636296716012,0.1915735548944569,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,112.0,0.32482287026317597,0.17109065245200594,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,115.0,-0.04238653362433673,0.1451520527435717,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,118.0,-0.23229717595945898,0.19654004803253433,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,124.0,-0.7636514755443824,0.22945240537850967,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,129.0,-0.8922103507136038,0.18202645116587965,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,148.0,0.5220059805599262,0.1525806609590218,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,186.0,0.8274890070069771,0.24793280584108013,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,197.0,-1.0953592542816701,0.010432963439772461,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,199.0,1.1835342677051837,0.29832572637217714,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,247.0,-0.07894356483172407,0.08188720226955887,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,290.0,0.24027185221031,0.1878320247058655,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,313.0,-0.5771786221156686,0.14584151282589516,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,315.0,1.7141312405302696,0.0037291904508402456,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,317.0,-0.0788544328362098,0.16148639108159013,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,345.0,2.290154608731487,0.21649829220379851,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,347.0,2.478759774608065,0.27389654469847613,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,352.0,2.7037729672468096,0.25919533648777443,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,355.0,2.7870426378398183,0.25602275108915756,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,359.0,2.594589461152312,0.23615222997456373,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,362.0,2.0949782038039,0.20100134008801288,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,396.0,-1.1484884419796295,0.24043144192901864,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,400.0,1.3590986150697202,0.18697491592866178,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P11,404.0,-1.0315123708712948,0.3165756066745617,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,19.0,0.15283640577403576,0.15398026601583162,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,29.0,0.2438370047954951,0.13770199778553496,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,31.0,0.3313540251435947,0.11488755771848612,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,34.0,0.4121008959927265,0.18899129517485594,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,37.0,0.5221889066828207,0.18770493300965643,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,43.0,0.6122442194721773,0.18670551532044458,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,52.0,0.14782087584696665,0.17879135608709143,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,57.0,-0.24074150453310372,0.24787586808751894,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,60.0,-0.5665957904557707,0.36747350680951746,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,74.0,-1.0281818992171683,0.23274785700083753,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,79.0,-0.719680380711646,0.20803032943625963,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,81.0,-0.5497526019237675,0.20087007705480706,density-only C kernel local TFC maxima
b55_density_only_gate,density_control,test_Stage_B5_5_triadic_constraint_audit,P12,111.0,-0.28852232289370233,0.08806218347837966,density-only C kernel local TFC maxima
