delta,event_class,n_events,mean_future_AB,mean_return_gain,mean_closure_min_z,mean_constraint_closure_min_z,effect_future_AB_vs_b55_shuffled_c_timing_gate,p_future_AB_vs_b55_shuffled_c_timing_gate,effect_return_gain_vs_b55_shuffled_c_timing_gate,p_return_gain_vs_b55_shuffled_c_timing_gate,effect_constraint_closure_min_z_vs_b55_shuffled_c_timing_gate,p_constraint_closure_min_z_vs_b55_shuffled_c_timing_gate,effect_future_AB_vs_b55_shuffled_c_phase_gate,p_future_AB_vs_b55_shuffled_c_phase_gate,effect_return_gain_vs_b55_shuffled_c_phase_gate,p_return_gain_vs_b55_shuffled_c_phase_gate,effect_constraint_closure_min_z_vs_b55_shuffled_c_phase_gate,p_constraint_closure_min_z_vs_b55_shuffled_c_phase_gate,effect_future_AB_vs_b55_density_only_gate,p_future_AB_vs_b55_density_only_gate,effect_return_gain_vs_b55_density_only_gate,p_return_gain_vs_b55_density_only_gate,effect_constraint_closure_min_z_vs_b55_density_only_gate,p_constraint_closure_min_z_vs_b55_density_only_gate,effect_future_AB_vs_b55_pairwise_ac_only,p_future_AB_vs_b55_pairwise_ac_only,effect_return_gain_vs_b55_pairwise_ac_only,p_return_gain_vs_b55_pairwise_ac_only,effect_constraint_closure_min_z_vs_b55_pairwise_ac_only,p_constraint_closure_min_z_vs_b55_pairwise_ac_only,effect_future_AB_vs_b55_phase_event_only_lag5,p_future_AB_vs_b55_phase_event_only_lag5,effect_return_gain_vs_b55_phase_event_only_lag5,p_return_gain_vs_b55_phase_event_only_lag5,effect_constraint_closure_min_z_vs_b55_phase_event_only_lag5,p_constraint_closure_min_z_vs_b55_phase_event_only_lag5,future_ab_primary_q
5,b55_tfc_mean_gated_c_event,227,0.22956283110237685,0.03815655282316082,-0.5245948212494523,-0.6303738852067658,0.03332221374703884,0.0003999200159968006,0.042862729394536545,0.0015996800639872025,0.07960267926735376,0.09238152369526095,0.015448416906055279,0.14877024595080984,0.02148499010554514,0.15696860627874426,0.10943736960860362,0.0651869626074785,0.0324887046115889,0.0009998000399920016,0.03611199817766492,0.007798440311937612,0.19137151808105213,0.0003999200159968006,0.06552173288999608,0.0003999200159968006,0.0517571350365926,0.022195560887822437,0.3656709205935841,0.0001999600079984003,0.03156864947241378,0.005398920215956809,0.037699583515560034,0.013197360527894421,0.31799103955586916,0.0001999600079984003,0.0011997600479904018
5,b55_tfc_min_gated_c_event,158,0.2192093014764181,0.023188838166412023,-0.49644970228208546,-0.6315716287201641,0.02296868412108008,0.020195960807838434,0.02789501473778774,0.04799040191961608,0.07840493575395546,0.1347730453909218,0.005094887280096522,0.36732653469306137,0.006517275448796336,0.38492301539692064,0.10823962609520532,0.09278144371125775,0.02213517498563014,0.03679264147170566,0.02114428352091611,0.10377924415116976,0.19017377456765383,0.0009998000399920016,0.05516820326403732,0.001999600079984003,0.03678942037984379,0.09278144371125775,0.3644731770801858,0.0001999600079984003,0.02121511984645502,0.04899020195960808,0.022731868858811233,0.11737652469506099,0.31679329604247086,0.0001999600079984003,0.04039192161567687
5,b55_phase_event_only_lag5,485,0.1979941816299631,0.00045696930760079146,-0.8634260869014697,-0.948364924762635,0.001753564274625058,0.39892021595680865,0.00516314587897651,0.3171365726854629,-0.2383883602885154,1.0,-0.0161202325663585,0.8932213557288542,-0.016214593410014896,0.8036392721455708,-0.20855366994726554,0.9996000799840032,0.0009200551391751188,0.4631073785242951,-0.0015875853378951228,0.5606878624275144,-0.12661952147481703,0.9998000399920016,0.0339530834175823,0.016996600679864027,0.014057551521032562,0.27834433113377327,0.04767988103771492,0.27914417116576684,0.0,0.5042991401719656,0.0,0.5030993801239753,0.0,0.4997000599880024,0.598380323935213
5,b55_pairwise_ac_only,89,0.16404109821238078,-0.013600582213431777,-0.9743568340112035,-0.9960448058003499,-0.03219951914295724,0.9854029194161168,-0.008894405642056052,0.6610677864427115,-0.2860682413262303,1.0,-0.0500733159839408,0.9984003199360127,-0.030272144931047455,0.8758248350329934,-0.25623355098498046,0.9998000399920016,-0.03303302827840718,0.9872025594881024,-0.015645136858927683,0.768246350729854,-0.17429940251253195,0.9926014797040592,0.0,0.49870025994801037,0.0,0.5102979404119176,0.0,0.5022995400919816,-0.0339530834175823,0.9838032393521295,-0.014057551521032562,0.7166566686662668,-0.04767988103771492,0.7280543891221756,0.9854029194161168
5,b55_pairwise_bc_only,134,0.18061524523714775,-0.017838973154938143,-0.9027698682703871,-0.9737018591145737,-0.01562537211819026,0.8986202759448111,-0.013132796583562426,0.7608478304339132,-0.26372529464045413,1.0,-0.03349916895917382,0.9856028794241152,-0.03451053587255383,0.9260147970405919,-0.23389060429920427,0.9984003199360127,-0.0164588812536402,0.903619276144771,-0.019883527800434057,0.8654269146170765,-0.15195645582675577,0.9948010397920416,0.016574147024766978,0.1871625674865027,-0.004238390941506373,0.5570885822835433,0.022342946685776188,0.3593281343731254,-0.01737893639281532,0.901619676064787,-0.018295942462538933,0.8148370325934813,-0.025336934351938734,0.6342731453709258,0.9854029194161168
5,b55_pairwise_ab_only,109,0.25288784444811996,0.04870764134834718,-0.7350364259453166,-0.8230251639844207,0.05664722709278194,0.0001999600079984003,0.053413817919722904,0.0033993201359728054,-0.1130485995103011,0.9196160767846431,0.038773430251798385,0.010597880423915218,0.032036078630731504,0.10557888422315537,-0.08321390916905125,0.8562287542491501,0.055813717957332004,0.0001999600079984003,0.04666308670285127,0.011597680463907219,-0.0012797606966027386,0.5048990201959608,0.08884674623573918,0.0001999600079984003,0.06230822356177896,0.01779644071185763,0.17301964181592921,0.007598480303939212,0.054893662818156885,0.0005998800239952009,0.048250672040746394,0.015996800639872025,0.1253397607782143,0.04279144171165767,0.0011997600479904018
10,b55_tfc_mean_gated_c_event,219,0.21603814408039076,0.02354303293449439,-0.47272621763189476,-0.5820007735943521,0.021254052317566052,0.017996400719856028,0.029556922229694006,0.020195960807838434,0.11387019030241063,0.038592281543691265,0.006650676828337587,0.3155368926214757,0.0170734986737471,0.20415916816636673,0.07489771707736792,0.17116576684663068,0.025579022730415152,0.007398520295940812,0.027947208580698005,0.03259348130373925,0.23320943903961977,0.0001999600079984003,0.0246117518690524,0.08058388322335533,0.01007486564337517,0.32953409318136373,0.3585624048839978,0.0003999200159968006,0.012066782363104961,0.14237152569486103,0.01701134248070281,0.16056788642271547,0.35021356202813514,0.0001999600079984003,
10,b55_tfc_min_gated_c_event,151,0.2028832102359239,0.004720143709994691,-0.4189624706651335,-0.5479086479712497,0.00809911847309916,0.2509498100379924,0.010734033005194314,0.27194561087782443,0.147962315925513,0.026994601079784044,-0.006504257016129306,0.6544691061787642,-0.0017493905507525954,0.5328934213157368,0.1089898427004703,0.11457708458308338,0.012424088885948259,0.15136972605478904,0.009124319356198311,0.3087382523495301,0.26730156466272215,0.0001999600079984003,0.011456818024585508,0.2679464107178564,-0.008748023581124524,0.6266746650669867,0.3926545305071002,0.0003999200159968006,-0.001088151481361932,0.53249350129974,-0.0018115467437968841,0.533493301339732,0.3843056876512375,0.0001999600079984003,
10,b55_phase_event_only_lag5,475,0.2039713617172858,0.0065316904537915796,-0.8393155105766201,-0.9322143356224872,0.009187269954461091,0.11437712457508498,0.012545579748991197,0.12117576484703059,-0.2363433717257245,1.0,-0.005416105534767374,0.6630673865226955,6.215619304428873e-05,0.5032993401319736,-0.2753158449507672,1.0,0.013512240367310191,0.03539292141571686,0.010935866099995195,0.15816836632673464,-0.11700412298851537,0.9998000399920016,0.01254496950594744,0.22035592881423716,-0.006936476837327641,0.6000799840031994,0.008348842855862681,0.4611077784443111,0.0,0.4931013797240552,0.0,0.501499700059988,0.0,0.500499900019996,
10,b55_pairwise_ac_only,88,0.19142639221133836,0.013468167291119217,-0.8795101218848184,-0.9405631784783499,-0.0033576995514863484,0.5822835432913417,0.01948205658631884,0.1877624475104979,-0.2446922145815872,0.9984003199360127,-0.017961075040714813,0.8436312737452509,0.0069986330303719296,0.39912017596480703,-0.2836646878066299,0.9986002799440112,0.0009672708613627512,0.4741051789642072,0.017872342937322837,0.21555688862227554,-0.12535296584437805,0.9602079584083183,0.0,0.5068986202759448,0.0,0.4983003399320136,0.0,0.4973005398920216,-0.01254496950594744,0.7874425114977005,0.006936476837327641,0.39732053589282146,-0.008348842855862681,0.5238952209558089,
