event_class,event_role,null_index,null_model,n_nodes,n_directed_edges,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,D12_recovery,D24_recovery
b55_density_only_gate,density_control,0,degree-matched directed random graph,12,48,-0.0017091554693400327,0.0012193125482236043,0.49523016597202885,0.4997119706892388
b55_density_only_gate,density_control,1,degree-matched directed random graph,12,48,-0.0013050251475496628,0.001180318937454105,0.49487866486466164,0.4988091527816878
b55_density_only_gate,density_control,2,degree-matched directed random graph,12,48,-0.0023045944545211487,0.0006897001256929322,0.49556661521106066,0.4986358052150843
b55_density_only_gate,density_control,3,degree-matched directed random graph,12,48,-0.0018733383889669292,0.0009007065615084899,0.49416423381285896,0.49754466446901874
b55_density_only_gate,density_control,4,degree-matched directed random graph,12,48,-0.002535070666518475,0.001296763430650996,0.4961675927033435,0.4981858729992001
b55_density_only_gate,density_control,5,degree-matched directed random graph,12,48,-0.0022949371206160995,0.0016490483055695395,0.4954515981322409,0.4986784983979886
b55_density_only_gate,density_control,6,degree-matched directed random graph,12,48,-0.0020173624832188126,0.0009930284109277063,0.49588056711276735,0.49834041555555775
b55_density_only_gate,density_control,7,degree-matched directed random graph,12,48,-0.0023629431614063997,0.00022991219286072804,0.49526719131415026,0.49676386344899764
b55_density_only_gate,density_control,8,degree-matched directed random graph,12,48,-0.001785670818455679,0.0008274070254429272,0.4954084928867965,0.4999421254195242
b55_density_only_gate,density_control,9,degree-matched directed random graph,12,48,-0.002774184386441458,0.0007740126483522722,0.4954117194291187,0.49635021048150746
b55_density_only_gate,density_control,10,degree-matched directed random graph,12,48,-0.0011249529782217354,0.0011022574556676114,0.4951851308467101,0.5021913658659541
b55_density_only_gate,density_control,11,degree-matched directed random graph,12,48,-0.001955061243358215,0.0010574810538323764,0.49450440641369253,0.4989012957927268
b55_density_only_gate,density_control,12,degree-matched directed random graph,12,48,-0.0013835087420789012,0.000990613223066049,0.49481866091718646,0.4965946937080899
b55_density_only_gate,density_control,13,degree-matched directed random graph,12,48,-0.0011140437866221868,0.0006750870739894513,0.4937793746194852,0.49338614775117384
b55_density_only_gate,density_control,14,degree-matched directed random graph,12,48,-0.0026726616971440536,0.0007281989363933655,0.49617354592944357,0.498294222061312
b55_density_only_gate,density_control,15,degree-matched directed random graph,12,48,-0.0018230583713734468,0.0007131941765410416,0.4964279130722779,0.49559261345867883
b55_density_only_gate,density_control,16,degree-matched directed random graph,12,48,-0.001782329516741523,0.0006599116245295932,0.4949334295415502,0.49799448532654184
b55_density_only_gate,density_control,17,degree-matched directed random graph,12,48,-0.0015994218171137622,0.0008303196629468785,0.4951555253358873,0.4983325338728492
b55_density_only_gate,density_control,18,degree-matched directed random graph,12,48,-0.0019406614027854222,0.0007186097675535267,0.4964619808088926,0.49751931039423686
b55_density_only_gate,density_control,19,degree-matched directed random graph,12,48,-0.0024577005697960434,0.0012693715402579877,0.49569505935906477,0.49888743603232727
b55_density_only_gate,density_control,20,degree-matched directed random graph,12,48,-0.00220255192912797,0.0013039914482729452,0.49522870710065986,0.4939051553982163
b55_density_only_gate,density_control,21,degree-matched directed random graph,12,48,-0.0020495302602142568,0.0006285960675123275,0.49473000239426446,0.4979752025595023
b55_density_only_gate,density_control,22,degree-matched directed random graph,12,48,-0.002436712157462608,0.0010039930431491042,0.49504788419271084,0.5017890402303821
b55_density_only_gate,density_control,23,degree-matched directed random graph,12,48,-0.0014433939417786703,0.0003486890228813834,0.494550414415911,0.4974673923674238
b55_density_only_gate,density_control,24,degree-matched directed random graph,12,48,-0.0024995557183473995,0.0008340844353506156,0.49582278316494816,0.49620872956961487
b55_density_only_gate,density_control,25,degree-matched directed random graph,12,48,-0.0017742946181642705,0.00061466838486072,0.4958011230045505,0.4948474553688566
b55_density_only_gate,density_control,26,degree-matched directed random graph,12,48,-0.001748019102911857,0.0010452926363992109,0.49456329409849414,0.4964581736002663
b55_density_only_gate,density_control,27,degree-matched directed random graph,12,48,-0.0016718528857554598,0.0005154278281347591,0.49809720930378437,0.49672543803611285
b55_density_only_gate,density_control,28,degree-matched directed random graph,12,48,-0.001098290009370218,0.0010381388248626297,0.49412064938149874,0.4974887040863985
b55_density_only_gate,density_control,29,degree-matched directed random graph,12,48,-0.002733123626990738,0.0012585260893928454,0.4945268319613514,0.49603867964996606
b55_density_only_gate,density_control,30,degree-matched directed random graph,12,48,-0.0022797619147604735,0.0009969182622157518,0.49676199190792764,0.4959227074480627
b55_density_only_gate,density_control,31,degree-matched directed random graph,12,48,-0.001611128435891434,0.0010352006876678727,0.49408019825523125,0.5028357911467373
b55_density_only_gate,density_control,32,degree-matched directed random graph,12,48,-0.0019126727526074475,0.0006448391335684408,0.4954326478994647,0.4999881546020835
b55_density_only_gate,density_control,33,degree-matched directed random graph,12,48,-0.0018272869475967804,0.0009020341648538427,0.49465825665533375,0.496980090956892
b55_density_only_gate,density_control,34,degree-matched directed random graph,12,48,-0.0021158480328413486,0.00038871095315813544,0.4949567013010001,0.49572379564067476
b55_density_only_gate,density_control,35,degree-matched directed random graph,12,48,-0.0024025525808660272,0.0007640090370955791,0.49423549627973357,0.4979697364799081
b55_density_only_gate,density_control,36,degree-matched directed random graph,12,48,-0.0014470935630396594,0.0007754290083828137,0.493866988980131,0.49437002057834106
b55_density_only_gate,density_control,37,degree-matched directed random graph,12,48,-0.002629070244371949,0.0009800158831818465,0.49533284814045514,0.4955458023703953
b55_density_only_gate,density_control,38,degree-matched directed random graph,12,48,-0.0017186914616659377,0.0005929361689326971,0.4939578721248286,0.4985950566560284
b55_density_only_gate,density_control,39,degree-matched directed random graph,12,48,-0.002893828997168476,0.000947249302171809,0.49514922506082165,0.49647016885463885
b55_density_only_gate,density_control,40,degree-matched directed random graph,12,48,-0.0017108532588601358,0.0008157772111571177,0.49543994114566337,0.5009583813977087
b55_density_only_gate,density_control,41,degree-matched directed random graph,12,48,-0.002781284959410843,0.0008027812663839478,0.496655020958505,0.4947424343118505
