source,topology_arm,classification,representation_arm,comparison,metric,value,nearest_fraction,numerator,denominator,abs_error_to_fraction,is_close_to_fraction,is_focus_fraction,has_numerator_gt_1,tags,denominator_universe,raw_numerator,raw_denominator,raw_fraction,raw_count_recovered,carrier_dimension_R,reduced_fraction,c12_neighborhood,reversed_region,ring_share_region,survivor_strength_region,five_or_ten_proxy_region,x3_or_7mod12_proxy_region,boundary_or_reverse_side,reverse_side_readout,c_side_localization,c_side_localization_score,candidate_family,full_carrier_rank_integral,punctured_carrier_rank_integral,candidate_rank,projector_level,topology_compatibility_candidate,trace_determinant_candidate,basis
readout_rank_scaled,c10_side_broken,full-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,0.2498028096371051,1/4,1,4,0.0001971903628948,True,True,False,c10_boundary_candidate|5_or_10_proxy|even_n,topology_readout_scaled_metric,1,4,1/4,False,10,1/4,False,False,False,False,True,False,False,False,five_or_ten_proxy_region,0,five_or_ten_proxy_fraction_diagnostic,False,False,,1,False,False,topology_readout_scaled_metric; 1/4 or 3/4 near 5/10 proxy
readout_rank_scaled,c10_side_broken,full-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,0.2498028096371051,1/4,1,4,0.0001971903628948,True,True,False,c10_boundary_candidate|5_or_10_proxy|even_n,topology_readout_scaled_metric,1,4,1/4,False,10,1/4,False,False,False,False,True,False,False,False,five_or_ten_proxy_region,0,five_or_ten_proxy_fraction_diagnostic,False,False,,1,False,False,topology_readout_scaled_metric; 1/4 or 3/4 near 5/10 proxy
readout_deviation_from_c12,c12_degree_null,reverse-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.7487659613108484,3/4,3,4,0.0012340386891516,True,True,True,c12_neighborhood|even_n,topology_readout_scaled_metric,3,4,3/4,False,12,3/4,True,False,False,False,False,False,True,True,registered_c_side_target,3,full_carrier_projector_rank_candidate,True,False,9.0,3,True,True,topology_readout_scaled_metric; R=12; rank=9
readout_rank_scaled,c12_degree_null,reverse-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.2487147615857819,1/4,1,4,0.001285238414218,True,True,False,c12_neighborhood|even_n,topology_readout_scaled_metric,1,4,1/4,False,12,1/4,True,False,False,False,False,False,True,True,registered_c_side_target,3,full_carrier_projector_rank_candidate,True,False,3.0,3,True,True,topology_readout_scaled_metric; R=12; rank=3
readout_rank_scaled,c13_ring_share_7,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.1834614214123698,2/11,2,11,0.001643239594188,True,True,True,c13_full_branch|ring_sharing|ring_share_7|x3_or_7mod12_proxy|odd_n,topology_readout_scaled_metric,2,11,2/11,False,13,2/11,False,False,True,False,False,True,False,False,x3_or_7mod12_proxy_region,1,two_eleven_anomaly_not_c12_projector,False,False,,0,False,False,topology_readout_scaled_metric; R=13; R*2/11=2.3636363636363638; (R-1)*2/11=2.1818181818181817
readout_deviation_from_c12,c10_side_broken,full-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.7482557131394216,3/4,3,4,0.0017442868605783,True,True,True,c10_boundary_candidate|5_or_10_proxy|even_n,topology_readout_scaled_metric,3,4,3/4,False,10,3/4,False,False,False,False,True,False,False,False,five_or_ten_proxy_region,0,five_or_ten_proxy_fraction_diagnostic,False,False,,1,False,False,topology_readout_scaled_metric; 1/4 or 3/4 near 5/10 proxy
readout_deviation_from_c12,c10_side_broken,full-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.7482557131394216,3/4,3,4,0.0017442868605783,True,True,True,c10_boundary_candidate|5_or_10_proxy|even_n,topology_readout_scaled_metric,3,4,3/4,False,10,3/4,False,False,False,False,True,False,False,False,five_or_ten_proxy_region,0,five_or_ten_proxy_fraction_diagnostic,False,False,,1,False,False,topology_readout_scaled_metric; 1/4 or 3/4 near 5/10 proxy
readout_deviation_from_c12,c14_shuffled,full-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.7518376822740837,3/4,3,4,0.0018376822740836,True,True,True,c14_transition_probe|even_n,topology_readout_scaled_metric,3,4,3/4,False,14,3/4,False,False,False,False,False,False,False,False,non_target_or_broad,0,diagnostic_fraction_only,False,False,,0,False,False,topology_readout_scaled_metric
paired_boundary,c13,full-stable,,full_minus_reverse,abs_mean_delta_scaled,0.4973024663225964,1/2,1,2,0.0026975336774036,True,True,False,c13_full_branch|odd_n,paired_boundary_scaled_metric,1,2,1/2,False,13,1/2,False,False,False,False,False,False,False,False,non_target_or_broad,0,punctured_carrier_projector_rank_candidate,False,True,6.0,2,False,False,paired_boundary_scaled_metric; R-1=12; rank=6
paired_boundary,c13_ring_share_7,full-stable,,full_minus_reverse,ci_width_scaled,0.7460221296514735,3/4,3,4,0.0039778703485264,True,True,True,c13_full_branch|ring_sharing|ring_share_7|x3_or_7mod12_proxy|odd_n,paired_boundary_scaled_metric,3,4,3/4,False,13,3/4,False,False,True,False,False,True,False,False,x3_or_7mod12_proxy_region,1,punctured_carrier_projector_rank_candidate,False,True,9.0,2,True,False,paired_boundary_scaled_metric; R-1=12; rank=9
