bridge_variant,conditions,robust_accesses,strong_accesses,mean_core_pass,mean_stress_pass,mean_true_intersection,mean_control_effect
true72_forward,8,8,8,3.0,1.625,-0.26437507747399036,0.008537403053581333
half36,8,8,8,3.0,1.5,-0.264817854317667,0.008392296197278352
quadrature90,8,8,8,3.0,1.875,-0.26517781961598325,0.008523747700250203
reversed72,8,8,8,3.0,2.0,-0.2667391445705633,0.008870419221595345
skip144,8,8,8,3.0,1.625,-0.26700964463565346,0.008659150720644753
no_bridge,8,8,8,3.0,2.0,-0.6636221643031903,0.050409012622382114
random_phase,8,0,0,0.0,1.125,-0.4579201774173933,0.006783190999872333
