mode,endpoint,direction,control_level,mean_true_c,mean_control,effect_true_minus_control,p_true_greater,n_pairs,c_beats_control
linear_c_state,z_reward,A_to_C_to_B,unsigned_side_gap,-0.7812875747394039,-0.6523566182072907,-0.1289309565321129,0.9778044391121775,98,False
linear_c_state,z_reward,A_to_C_to_B,signed_ac_minus_bc,-0.7812875747394039,-0.757541822272682,-0.0237457524667218,0.7110577884423115,98,False
linear_c_state,z_reward,A_to_C_to_B,polarity_sign_only,-0.7812875747394039,-0.7544278168716577,-0.026859757867746033,0.7426514697060588,98,False
linear_c_state,z_reward,A_to_C_to_B,polarity_magnitude_only,-0.7812875747394039,-0.6523566182072907,-0.1289309565321129,0.9762047590481904,98,False
linear_c_state,z_reward,A_to_C_to_B,direction_conditioned_side_polarity,-0.7812875747394039,-0.756242407139676,-0.025045167599727768,0.7180563887222555,98,False
linear_c_state,z_reward,A_to_C_to_B,receiver_side_only,-0.7812875747394039,-0.7526116475993816,-0.02867592714002207,0.7250549890021996,98,False
linear_c_state,z_reward,A_to_C_to_B,giver_side_only,-0.7812875747394039,-0.675957030893728,-0.10533054384567572,0.9626074785042992,98,False
linear_c_state,z_reward,A_to_C_to_B,standpoint_polarity_preserved,-0.7812875747394039,-0.7516069457067659,-0.029680629032637833,0.7140571885622875,98,False
linear_c_state,z_reward,A_to_C_to_B,standpoint_polarity_inverted,-0.7812875747394039,-0.6859487242585962,-0.09533885048080744,0.9496100779844031,98,False
linear_c_state,z_reward,A_to_C_to_B,phase_tfc_matched_polarity_control,-0.7812875747394039,-0.7609273905842258,-0.020360184155178013,0.7354529094181164,98,False
linear_c_state,z_reward,A_to_C_to_B,endpoint_o1o2_reference,-0.7812875747394039,-0.4236530220312701,-0.35763455270813366,1.0,98,False
linear_c_state,z_reward,B_to_C_to_A,unsigned_side_gap,-0.6549044496698045,-0.6523566182072907,-0.002547831462513645,0.531493701259748,98,False
linear_c_state,z_reward,B_to_C_to_A,signed_ac_minus_bc,-0.6549044496698045,-0.757541822272682,0.10263737260287745,0.0005998800239952009,98,True
