endpoint,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate,oracle_hit_rate
A_to_C_to_B,true_transport_C_policy_vs_balanced_pool_shuffle,-0.06623841322177568,-0.04621211278588303,-0.016420929256116372,0.824635072985403,331,0.9860557768924303,0.17928286852589642
A_to_C_to_B,true_transport_C_policy_vs_frequency_matched_random,-0.06623841322177568,-0.06491156062131281,0.0259902892085038,0.22475504899020196,331,0.9860557768924303,0.17928286852589642
A_to_C_to_B,true_transport_C_policy_vs_performance_matched_random,-0.06623841322177568,0.007372594019755768,-0.039340909125326846,0.9616076784643072,331,0.9860557768924303,0.17928286852589642
A_to_C_to_B,true_transport_C_policy_vs_within_state_shuffle,-0.06623841322177568,0.049571615346258674,-0.09040549787220598,0.9874025194961008,331,0.9860557768924303,0.17928286852589642
A_to_C_to_B,true_transport_C_policy_vs_between_state_permutation,-0.06623841322177568,-0.050154988964715055,0.01165356969873216,0.3613277344531094,331,0.9860557768924303,0.17928286852589642
A_to_C_to_B,true_transport_C_policy_vs_operator_label_permutation,-0.06623841322177568,0.05747689305627607,-0.09645071577864323,0.9922015596880623,331,0.9860557768924303,0.17928286852589642
A_to_C_to_B,true_transport_C_policy_vs_oracle,-0.06623841322177568,0.8051782498116673,-0.8368370900247887,1.0,331,0.9860557768924303,0.17928286852589642
B_to_C_to_A,true_transport_C_policy_vs_balanced_pool_shuffle,-0.04269389030053257,-0.06476770948513054,0.01623960629692942,0.20955808838232354,331,0.9860557768924303,0.17928286852589642
B_to_C_to_A,true_transport_C_policy_vs_frequency_matched_random,-0.04269389030053257,-0.07737644370797657,0.06061600553843778,0.03959208158368326,331,0.9860557768924303,0.17928286852589642
B_to_C_to_A,true_transport_C_policy_vs_performance_matched_random,-0.04269389030053257,-0.022162973978191097,0.006438832464625147,0.3955208958208358,331,0.9860557768924303,0.17928286852589642
B_to_C_to_A,true_transport_C_policy_vs_within_state_shuffle,-0.04269389030053257,0.04113628684039161,-0.060774964844353435,0.9456108778244351,331,0.9860557768924303,0.17928286852589642
B_to_C_to_A,true_transport_C_policy_vs_between_state_permutation,-0.04269389030053257,-0.060217525984110815,0.04183313403323403,0.10157968406318736,331,0.9860557768924303,0.17928286852589642
B_to_C_to_A,true_transport_C_policy_vs_operator_label_permutation,-0.04269389030053257,0.0427839652622728,-0.06000695665551266,0.9370125974805039,331,0.9860557768924303,0.17928286852589642
B_to_C_to_A,true_transport_C_policy_vs_oracle,-0.04269389030053257,0.8309155784876825,-0.8448166478617258,1.0,331,0.9860557768924303,0.17928286852589642
bidirectional_transport,true_transport_C_policy_vs_balanced_pool_shuffle,-0.0633580893976732,-0.05402368998995722,-0.012342804155879945,0.7666466706658668,331,0.9860557768924303,0.17928286852589642
bidirectional_transport,true_transport_C_policy_vs_frequency_matched_random,-0.0633580893976732,-0.07041676595067464,0.037090275742338585,0.1321735652869426,331,0.9860557768924303,0.17928286852589642
bidirectional_transport,true_transport_C_policy_vs_performance_matched_random,-0.0633580893976732,-0.014132812803665285,-0.019873594344575588,0.8074385122975405,331,0.9860557768924303,0.17928286852589642
bidirectional_transport,true_transport_C_policy_vs_within_state_shuffle,-0.0633580893976732,0.04443688740651844,-0.08123317718203749,0.9788042391521695,331,0.9860557768924303,0.17928286852589642
