mode,endpoint,comparison,mean_true_sps,mean_control_sps,effect,p_greater,n_pairs
combined_c_fes_gmr72,z_reward,true_sps_vs_random_generated,0.5983357094982137,-1.143865294190252,1.7422010036884659,0.0001999600079984003,101
combined_c_fes_gmr72,z_reward,true_sps_vs_balanced_generated,0.5983357094982137,1.4420873356496082,-0.8437516261513947,1.0,101
combined_c_fes_gmr72,z_reward,true_sps_vs_frequency_matched_generated,0.5983357094982137,-0.4925119110082447,1.0908476205064583,0.0001999600079984003,101
combined_c_fes_gmr72,z_reward,true_sps_vs_performance_matched_generated,0.5983357094982137,-0.6023711307825841,1.2007068402807977,0.0001999600079984003,101
combined_c_fes_gmr72,z_reward,true_sps_vs_shuffled_c_state_generated,0.5983357094982137,-1.6948149487606434,2.2931506582588566,0.0001999600079984003,101
combined_c_fes_gmr72,z_reward,true_sps_vs_shuffled_fes_string_generated,0.5983357094982137,0.13330581773966088,0.4650298917585527,0.0033993201359728054,101
combined_c_fes_gmr72,z_reward,true_sps_vs_shuffled_gmr72_phase_generated,0.5983357094982137,1.7995136331396289,-1.2011779236414155,1.0,101
combined_c_fes_gmr72,rank_reward,true_sps_vs_random_generated,0.5428374017413932,-1.2008807805025739,1.7437181822439671,0.0001999600079984003,101
combined_c_fes_gmr72,rank_reward,true_sps_vs_balanced_generated,0.5428374017413932,1.4522661803300623,-0.9094287785886691,1.0,101
combined_c_fes_gmr72,rank_reward,true_sps_vs_frequency_matched_generated,0.5428374017413932,-0.4894324222926942,1.0322698240340873,0.0001999600079984003,101
combined_c_fes_gmr72,rank_reward,true_sps_vs_performance_matched_generated,0.5428374017413932,-0.6086527500621888,1.151490151803582,0.0001999600079984003,101
combined_c_fes_gmr72,rank_reward,true_sps_vs_shuffled_c_state_generated,0.5428374017413932,-1.6565568410271345,2.199394242768528,0.0001999600079984003,101
combined_c_fes_gmr72,rank_reward,true_sps_vs_shuffled_fes_string_generated,0.5428374017413932,0.16141060998486897,0.3814267917565243,0.017996400719856028,101
combined_c_fes_gmr72,rank_reward,true_sps_vs_shuffled_gmr72_phase_generated,0.5428374017413932,1.8435321841426964,-1.3006947824013029,1.0,101
combined_c_fes_gmr72,gmr72_bridge_composite,true_sps_vs_random_generated,1.1132542378215589,-1.8601031919068403,2.9733574297283996,0.0001999600079984003,101
combined_c_fes_gmr72,gmr72_bridge_composite,true_sps_vs_balanced_generated,1.1132542378215589,1.1942882120549814,-0.08103397423342237,0.6694661067786443,101
combined_c_fes_gmr72,gmr72_bridge_composite,true_sps_vs_frequency_matched_generated,1.1132542378215589,-1.120639208177822,2.2338934459993807,0.0001999600079984003,101
combined_c_fes_gmr72,gmr72_bridge_composite,true_sps_vs_performance_matched_generated,1.1132542378215589,-0.6057606469169986,1.719014884738557,0.0001999600079984003,101
combined_c_fes_gmr72,gmr72_bridge_composite,true_sps_vs_shuffled_c_state_generated,1.1132542378215589,-1.642065462505799,2.755319700327358,0.0001999600079984003,101
combined_c_fes_gmr72,gmr72_bridge_composite,true_sps_vs_shuffled_fes_string_generated,1.1132542378215589,1.3208310435514512,-0.20757680572989207,0.9294141171765646,101
combined_c_fes_gmr72,gmr72_bridge_composite,true_sps_vs_shuffled_gmr72_phase_generated,1.1132542378215589,1.7595080423457812,-0.6462538045242223,1.0,101
gmr72_phase_conditioned,z_reward,true_sps_vs_random_generated,0.8249638009732363,-1.5839304462695256,2.408894247242761,0.0001999600079984003,60
gmr72_phase_conditioned,z_reward,true_sps_vs_balanced_generated,0.8249638009732363,2.039455130283702,-1.214491329310466,1.0,60
gmr72_phase_conditioned,z_reward,true_sps_vs_frequency_matched_generated,0.8249638009732363,-1.5970252472677946,2.4219890482410307,0.0001999600079984003,60
gmr72_phase_conditioned,z_reward,true_sps_vs_performance_matched_generated,0.8249638009732363,-1.3400788337016958,2.165042634674932,0.0001999600079984003,60
gmr72_phase_conditioned,z_reward,true_sps_vs_shuffled_c_state_generated,0.8249638009732363,-0.38466392374704206,1.2096277247202785,0.0001999600079984003,60
gmr72_phase_conditioned,z_reward,true_sps_vs_shuffled_fes_string_generated,0.8249638009732363,-0.5458680476538469,1.370831848627083,0.0001999600079984003,60
gmr72_phase_conditioned,z_reward,true_sps_vs_shuffled_gmr72_phase_generated,0.8249638009732363,2.5871475673829676,-1.762183766409731,1.0,60
gmr72_phase_conditioned,rank_reward,true_sps_vs_random_generated,0.7042319366554673,-1.6154013078453116,2.319633244500779,0.0001999600079984003,60
gmr72_phase_conditioned,rank_reward,true_sps_vs_balanced_generated,0.7042319366554673,1.8804162398547868,-1.1761843031993195,1.0,60
