mode,endpoint,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,z_reward,abs_projection_asymmetry,true_vs_random_intersection,0.3311702199992321,0.43202583298076536,-0.10085561298153325,1.0,502
combined_c_fes_gmr72,z_reward,abs_projection_asymmetry,true_vs_balanced_intersection,0.3311702199992321,0.30490142038947354,0.026268799609758507,0.0003999200159968006,502
combined_c_fes_gmr72,z_reward,abs_projection_asymmetry,true_vs_performance_matched_intersection,0.3311702199992321,0.3115674133287402,0.01960280667049191,0.046390721855628876,502
combined_c_fes_gmr72,z_reward,abs_projection_asymmetry,true_vs_shuffled_c_intersection,0.3311702199992321,0.3347874597144454,-0.0036172397152133173,0.6412717456508699,502
combined_c_fes_gmr72,z_reward,abs_projection_asymmetry,true_vs_phase_rotated_intersection,0.3311702199992321,0.2959770639883688,0.03519315601086326,0.0001999600079984003,502
combined_c_fes_gmr72,z_reward,projection_asymmetry,true_vs_random_intersection,-0.003559412019089944,-0.03272752677938818,0.02916811476029823,0.10557888422315537,502
combined_c_fes_gmr72,z_reward,projection_asymmetry,true_vs_balanced_intersection,-0.003559412019089944,-0.003836959903757268,0.00027754788466732383,0.4933013397320536,502
combined_c_fes_gmr72,z_reward,projection_asymmetry,true_vs_performance_matched_intersection,-0.003559412019089944,-0.014841662662741778,0.011282250643651834,0.1839632073585283,502
combined_c_fes_gmr72,z_reward,projection_asymmetry,true_vs_shuffled_c_intersection,-0.003559412019089944,-0.0006470638977108653,-0.002912348121379079,0.5892821435712857,502
combined_c_fes_gmr72,z_reward,projection_asymmetry,true_vs_phase_rotated_intersection,-0.003559412019089944,-0.004779182440079072,0.0012197704209891296,0.4575084983003399,502
combined_c_fes_gmr72,z_reward,absolute_to_relative_effect,true_vs_random_intersection,-0.6935152501692968,-0.7496576846827975,0.056142434513500684,0.0007998400319936012,502
combined_c_fes_gmr72,z_reward,absolute_to_relative_effect,true_vs_balanced_intersection,-0.6935152501692968,-0.7179173728310504,0.024402122661753668,0.016196760647870425,502
combined_c_fes_gmr72,z_reward,absolute_to_relative_effect,true_vs_performance_matched_intersection,-0.6935152501692968,-0.762028382877992,0.06851313270869519,0.0001999600079984003,502
combined_c_fes_gmr72,z_reward,absolute_to_relative_effect,true_vs_shuffled_c_intersection,-0.6935152501692968,-0.705337445195599,0.011822195026302273,0.23295340931813638,502
combined_c_fes_gmr72,z_reward,absolute_to_relative_effect,true_vs_phase_rotated_intersection,-0.6935152501692968,-0.735428122626351,0.04191287245705422,0.0015996800639872025,502
combined_c_fes_gmr72,z_reward,relative_to_absolute_effect,true_vs_random_intersection,-0.6899558381502069,-0.7169301579034092,0.026974319753202455,0.08718256348730254,502
combined_c_fes_gmr72,z_reward,relative_to_absolute_effect,true_vs_balanced_intersection,-0.6899558381502069,-0.7140804129272931,0.024124574777086346,0.022395520895820836,502
combined_c_fes_gmr72,z_reward,relative_to_absolute_effect,true_vs_performance_matched_intersection,-0.6899558381502069,-0.7471867202152502,0.05723088206504335,0.0003999200159968006,502
combined_c_fes_gmr72,z_reward,relative_to_absolute_effect,true_vs_shuffled_c_intersection,-0.6899558381502069,-0.7046903812978881,0.014734543147681347,0.19976004799040192,502
combined_c_fes_gmr72,z_reward,relative_to_absolute_effect,true_vs_phase_rotated_intersection,-0.6899558381502069,-0.7306489401862719,0.040693102036065104,0.0011997600479904018,502
combined_c_fes_gmr72,rank_reward,abs_projection_asymmetry,true_vs_random_intersection,0.3435775125281842,0.4431015016646831,-0.09952398913649896,1.0,502
combined_c_fes_gmr72,rank_reward,abs_projection_asymmetry,true_vs_balanced_intersection,0.3435775125281842,0.3181110202302942,0.025466492297889932,0.0015996800639872025,502
combined_c_fes_gmr72,rank_reward,abs_projection_asymmetry,true_vs_performance_matched_intersection,0.3435775125281842,0.3367394472534873,0.006838065274696821,0.27634473105378926,502
combined_c_fes_gmr72,rank_reward,abs_projection_asymmetry,true_vs_shuffled_c_intersection,0.3435775125281842,0.3461060520631147,-0.0025285395349305263,0.5956808638272345,502
combined_c_fes_gmr72,rank_reward,abs_projection_asymmetry,true_vs_phase_rotated_intersection,0.3435775125281842,0.3111034388776781,0.032474073650506016,0.004399120175964807,502
combined_c_fes_gmr72,rank_reward,projection_asymmetry,true_vs_random_intersection,0.0027057474482261997,-0.033620647931074055,0.03632639537930026,0.0595880823835233,502
combined_c_fes_gmr72,rank_reward,projection_asymmetry,true_vs_balanced_intersection,0.0027057474482261997,-0.003015404810841666,0.005721152259067872,0.27714457108578283,502
combined_c_fes_gmr72,rank_reward,projection_asymmetry,true_vs_performance_matched_intersection,0.0027057474482261997,-0.016724841742873347,0.019430589191099547,0.07538492301539693,502
combined_c_fes_gmr72,rank_reward,projection_asymmetry,true_vs_shuffled_c_intersection,0.0027057474482261997,-0.0020955999150707692,0.004801347363296976,0.35792841431713657,502
combined_c_fes_gmr72,rank_reward,projection_asymmetry,true_vs_phase_rotated_intersection,0.0027057474482261997,-0.005236184733132098,0.007941932181358299,0.2835432913417317,502
combined_c_fes_gmr72,rank_reward,absolute_to_relative_effect,true_vs_random_intersection,-0.6849767103815771,-0.7487220589818241,0.06374534860024689,0.0005998800239952009,502
combined_c_fes_gmr72,rank_reward,absolute_to_relative_effect,true_vs_balanced_intersection,-0.6849767103815771,-0.7173479188673209,0.03237120848574387,0.002999400119976005,502
combined_c_fes_gmr72,rank_reward,absolute_to_relative_effect,true_vs_performance_matched_intersection,-0.6849767103815771,-0.7581366744380796,0.07315996405650256,0.0001999600079984003,502
combined_c_fes_gmr72,rank_reward,absolute_to_relative_effect,true_vs_shuffled_c_intersection,-0.6849767103815771,-0.7062668819320859,0.021290171550508708,0.10597880423915217,502
combined_c_fes_gmr72,rank_reward,absolute_to_relative_effect,true_vs_phase_rotated_intersection,-0.6849767103815771,-0.7337333560589963,0.04875664567741921,0.0003999200159968006,502
combined_c_fes_gmr72,rank_reward,relative_to_absolute_effect,true_vs_random_intersection,-0.6876824578298033,-0.7151014110507499,0.027418953220946625,0.08878224355128975,502
combined_c_fes_gmr72,rank_reward,relative_to_absolute_effect,true_vs_balanced_intersection,-0.6876824578298033,-0.7143325140564794,0.026650056226676003,0.020595880823835233,502
combined_c_fes_gmr72,rank_reward,relative_to_absolute_effect,true_vs_performance_matched_intersection,-0.6876824578298033,-0.7414118326952063,0.05372937486540301,0.0003999200159968006,502
