mode,endpoint,dominant_fold_direction,fold_direction_stability,n_folds,fold_mean_asymmetry_min,fold_mean_asymmetry_max
combined_c_fes_gmr72,z_reward,relative_to_absolute,0.6,5,-0.043713400016923705,0.07194902515741793
combined_c_fes_gmr72,rank_reward,relative_to_absolute,0.6,5,-0.05438469318402519,0.07553394070442031
combined_c_fes_gmr72,gmr72_bridge_composite,relative_to_absolute,0.8,5,-0.01544956661192013,0.02622394586561672
gmr72_phase_conditioned,z_reward,relative_to_absolute,0.6,5,-0.02908857101761217,0.050016218664348515
gmr72_phase_conditioned,rank_reward,relative_to_absolute,0.6,5,-0.039549856916896865,0.06851674421577308
gmr72_phase_conditioned,gmr72_bridge_composite,relative_to_absolute,0.6,5,-0.011463976653660479,0.014458206241913595
fes_string_conditioned,z_reward,relative_to_absolute,0.6,5,-0.05008061376625051,0.048508832406098684
fes_string_conditioned,rank_reward,relative_to_absolute,0.6,5,-0.06864591605336262,0.04604147902908131
fes_string_conditioned,gmr72_bridge_composite,relative_to_absolute,0.6,5,-0.016739250147532005,0.019159647045906197
linear_c_state,z_reward,relative_to_absolute,0.6,5,-0.025324779105404885,0.05996508536957941
linear_c_state,rank_reward,relative_to_absolute,0.6,5,-0.03668223466682975,0.06446572433205398
linear_c_state,gmr72_bridge_composite,relative_to_absolute,0.6,5,-0.011313147332730238,0.018237614450916675
