mode,endpoint,control_kind,mean_relative_to_absolute,mean_absolute_to_relative,mean_projection_asymmetry,mean_abs_projection_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
combined_c_fes_gmr72,z_reward,true_intersection,-0.6899558381502069,-0.6935152501692968,-0.003559412019089944,0.3311702199992321,0.8620275944811038,relative_to_absolute,502
combined_c_fes_gmr72,z_reward,random_intersection,-0.7169301579034092,-0.7496576846827975,-0.03272752677938818,0.43202583298076536,0.22235552889422117,relative_to_absolute,502
combined_c_fes_gmr72,z_reward,balanced_intersection,-0.7140804129272931,-0.7179173728310504,-0.003836959903757268,0.30490142038947354,0.8300339932013597,relative_to_absolute,502
combined_c_fes_gmr72,z_reward,performance_matched_intersection,-0.7471867202152502,-0.762028382877992,-0.014841662662741778,0.3115674133287402,0.4215156968606279,relative_to_absolute,502
combined_c_fes_gmr72,z_reward,shuffled_c_intersection,-0.7046903812978881,-0.705337445195599,-0.0006470638977108653,0.3347874597144454,0.9722055588882224,relative_to_absolute,502
combined_c_fes_gmr72,z_reward,phase_rotated_intersection,-0.7306489401862719,-0.735428122626351,-0.004779182440079072,0.2959770639883688,0.795240951809638,relative_to_absolute,502
combined_c_fes_gmr72,rank_reward,true_intersection,-0.6876824578298033,-0.6849767103815771,0.0027057474482261997,0.3435775125281842,0.8894221155768847,absolute_to_relative,502
combined_c_fes_gmr72,rank_reward,random_intersection,-0.7151014110507499,-0.7487220589818241,-0.033620647931074055,0.4431015016646831,0.20315936812637472,relative_to_absolute,502
combined_c_fes_gmr72,rank_reward,balanced_intersection,-0.7143325140564794,-0.7173479188673209,-0.003015404810841666,0.3181110202302942,0.8804239152169566,relative_to_absolute,502
combined_c_fes_gmr72,rank_reward,performance_matched_intersection,-0.7414118326952063,-0.7581366744380796,-0.016724841742873347,0.3367394472534873,0.39432113577284544,relative_to_absolute,502
combined_c_fes_gmr72,rank_reward,shuffled_c_intersection,-0.7041712820170151,-0.7062668819320859,-0.0020955999150707692,0.3461060520631147,0.9220155968806238,relative_to_absolute,502
combined_c_fes_gmr72,rank_reward,phase_rotated_intersection,-0.7284971713258641,-0.7337333560589963,-0.005236184733132098,0.3111034388776781,0.7866426714657069,relative_to_absolute,502
combined_c_fes_gmr72,gmr72_bridge_composite,true_intersection,-0.27368334103159825,-0.2758362859660063,-0.0021529449344080322,0.11765587742265966,0.7758448310337932,relative_to_absolute,502
combined_c_fes_gmr72,gmr72_bridge_composite,random_intersection,-0.2753851702611768,-0.2903965352092137,-0.015011364948036867,0.15568600857513532,0.1285742851429714,relative_to_absolute,502
combined_c_fes_gmr72,gmr72_bridge_composite,balanced_intersection,-0.2768733289059226,-0.2773493154866781,-0.0004759865807555881,0.10585292382775649,0.9404119176164767,relative_to_absolute,502
combined_c_fes_gmr72,gmr72_bridge_composite,performance_matched_intersection,-0.2756646604773112,-0.2819437436780104,-0.006279083200699188,0.09965386156057986,0.29834033193361326,relative_to_absolute,502
combined_c_fes_gmr72,gmr72_bridge_composite,shuffled_c_intersection,-0.27486265336871846,-0.27638312464901177,-0.001520471280293231,0.1174697363911837,0.8412317536492702,relative_to_absolute,502
combined_c_fes_gmr72,gmr72_bridge_composite,phase_rotated_intersection,-0.2843750724935476,-0.2856262198490247,-0.0012511473554771676,0.11119091644340894,0.8582283543291341,relative_to_absolute,502
gmr72_phase_conditioned,z_reward,true_intersection,-0.6739772448087511,-0.668304920342612,0.005672324466138874,0.33949270009082816,0.7868426314737053,absolute_to_relative,502
gmr72_phase_conditioned,z_reward,random_intersection,-0.714082415053039,-0.7298331303253703,-0.015750715272331156,0.43783511283594456,0.5356928614277144,relative_to_absolute,502
gmr72_phase_conditioned,z_reward,balanced_intersection,-0.7140804129272931,-0.7179173728310504,-0.003836959903757268,0.30490142038947354,0.8252349530093981,relative_to_absolute,502
gmr72_phase_conditioned,z_reward,performance_matched_intersection,-0.7471867202152502,-0.762028382877992,-0.014841662662741778,0.3115674133287402,0.4185162967406519,relative_to_absolute,502
gmr72_phase_conditioned,z_reward,shuffled_c_intersection,-0.7028483993827027,-0.7006661208973973,0.0021822784853053343,0.33359672019911285,0.9178164367126574,absolute_to_relative,502
gmr72_phase_conditioned,z_reward,phase_rotated_intersection,-0.7166704037375208,-0.7210365892798791,-0.004366185542358452,0.29670159577426963,0.8156368726254749,relative_to_absolute,502
gmr72_phase_conditioned,rank_reward,true_intersection,-0.6674582503270163,-0.6582992206788193,0.009159029648197016,0.3454812707425378,0.6432713457308539,absolute_to_relative,502
gmr72_phase_conditioned,rank_reward,random_intersection,-0.7191716049884652,-0.7336809211154157,-0.0145093161269503,0.4541782986143694,0.5840831833633273,relative_to_absolute,502
gmr72_phase_conditioned,rank_reward,balanced_intersection,-0.7143325140564794,-0.7173479188673209,-0.003015404810841666,0.3181110202302942,0.8794241151769646,relative_to_absolute,502
gmr72_phase_conditioned,rank_reward,performance_matched_intersection,-0.7414118326952063,-0.7581366744380796,-0.016724841742873347,0.3367394472534873,0.38292341531693663,relative_to_absolute,502
