mode,endpoint,direction,phase_shift_bins,phase_shift_degrees,mean_true,mean_shifted,effect_true_minus_shifted,p_true_greater,n_pairs,shift_significantly_worse
combined_c_fes_gmr72,z_reward,A_to_C_to_B,0.25,22.5,-0.6857784947105539,-0.6931671127122305,0.007388618001676614,0.013997200559888023,502,True
combined_c_fes_gmr72,z_reward,A_to_C_to_B,0.5,45.0,-0.6857784947105539,-0.6996760383886077,0.013897543678053731,0.02399520095980804,502,True
combined_c_fes_gmr72,z_reward,A_to_C_to_B,0.75,67.5,-0.6857784947105539,-0.7057046139395511,0.019926119228997126,0.026394721055788842,502,True
combined_c_fes_gmr72,z_reward,A_to_C_to_B,1.0,90.0,-0.6857784947105539,-0.7114214688879255,0.02564297417737159,0.03719256148770246,502,True
combined_c_fes_gmr72,z_reward,B_to_C_to_A,0.25,22.5,-0.6889994255677812,-0.6935920628105955,0.004592637242814239,0.08758248350329934,502,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,0.5,45.0,-0.6889994255677812,-0.6978500366649303,0.008850611097149168,0.09478104379124175,502,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,0.75,67.5,-0.6889994255677812,-0.7019467461638269,0.012947320596045819,0.08218356328734253,502,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,1.0,90.0,-0.6889994255677812,-0.705965385585584,0.016965960017802716,0.08458308338332333,502,False
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,0.25,22.5,-0.6722149477340262,-0.6809030147926491,0.008688067058622814,0.006998600279944011,502,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,0.5,45.0,-0.6722149477340262,-0.6885579969633024,0.01634304922927628,0.011397720455908818,502,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,0.75,67.5,-0.6722149477340262,-0.6957908192300434,0.023575871496017226,0.011197760447910418,502,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,1.0,90.0,-0.6722149477340262,-0.7029176308886329,0.03070268315460669,0.016596680663867228,502,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,0.25,22.5,-0.6760600163318741,-0.683280542804018,0.007220526472143728,0.02299540091981604,502,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,0.5,45.0,-0.6760600163318741,-0.6893055949476948,0.013245578615820664,0.026394721055788842,502,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,0.75,67.5,-0.6760600163318741,-0.6946264624577122,0.01856644612583808,0.03079384123175365,502,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,1.0,90.0,-0.6760600163318741,-0.6994201917707484,0.023360175438874208,0.03579284143171366,502,True
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,0.25,22.5,-0.26995887873465063,-0.27104064259782457,0.0010817638631740066,0.14317136572685463,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,0.5,45.0,-0.26995887873465063,-0.27222399010744924,0.0022651113727986715,0.1285742851429714,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,0.75,67.5,-0.26995887873465063,-0.2735852255583872,0.00362634682373664,0.12117576484703059,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,1.0,90.0,-0.26995887873465063,-0.2752338345933712,0.005274955858720603,0.10797840431913618,502,False
