mode,endpoint,direction,phase_shift_bins,phase_shift_degrees,mean_access_effect,median_access_effect,n_events
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,0.5,45.0,-0.27226498247210307,-0.18747185980690656,502
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,0.75,67.5,-0.2739679218486703,-0.1877799806065732,502
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,1.0,90.0,-0.2757968185417056,-0.1901970169391547,502
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.0,0.0,-0.26965599691404823,-0.20768007338388061,502
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.25,22.5,-0.27078463789475454,-0.2049528437001918,502
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.5,45.0,-0.2719555318476934,-0.20599937036033933,502
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,0.75,67.5,-0.27318165964584773,-0.2019965118480489,502
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,1.0,90.0,-0.274479020739736,-0.2072884911338014,502
fes_string_conditioned,z_reward,A_to_C_to_B,0.0,0.0,-0.7209695546992732,-0.525581504241083,502
fes_string_conditioned,z_reward,A_to_C_to_B,0.25,22.5,-0.7209695546992732,-0.525581504241083,502
fes_string_conditioned,z_reward,A_to_C_to_B,0.5,45.0,-0.7209695546992732,-0.525581504241083,502
fes_string_conditioned,z_reward,A_to_C_to_B,0.75,67.5,-0.7209695546992732,-0.525581504241083,502
fes_string_conditioned,z_reward,A_to_C_to_B,1.0,90.0,-0.7209695546992732,-0.525581504241083,502
fes_string_conditioned,z_reward,B_to_C_to_A,0.0,0.0,-0.7143619546181607,-0.5423508994824566,502
fes_string_conditioned,z_reward,B_to_C_to_A,0.25,22.5,-0.7143619546181607,-0.5423508994824566,502
fes_string_conditioned,z_reward,B_to_C_to_A,0.5,45.0,-0.7143619546181607,-0.5423508994824566,502
fes_string_conditioned,z_reward,B_to_C_to_A,0.75,67.5,-0.7143619546181607,-0.5423508994824566,502
fes_string_conditioned,z_reward,B_to_C_to_A,1.0,90.0,-0.7143619546181607,-0.5423508994824566,502
fes_string_conditioned,rank_reward,A_to_C_to_B,0.0,0.0,-0.7081875794306772,-0.6330650083861011,502
fes_string_conditioned,rank_reward,A_to_C_to_B,0.25,22.5,-0.7081875794306772,-0.6330650083861011,502
fes_string_conditioned,rank_reward,A_to_C_to_B,0.5,45.0,-0.7081875794306772,-0.6330650083861011,502
fes_string_conditioned,rank_reward,A_to_C_to_B,0.75,67.5,-0.7081875794306772,-0.6330650083861011,502
fes_string_conditioned,rank_reward,A_to_C_to_B,1.0,90.0,-0.7081875794306772,-0.6330650083861011,502
fes_string_conditioned,rank_reward,B_to_C_to_A,0.0,0.0,-0.703821067059514,-0.6141283768454359,502
fes_string_conditioned,rank_reward,B_to_C_to_A,0.25,22.5,-0.703821067059514,-0.6141283768454359,502
fes_string_conditioned,rank_reward,B_to_C_to_A,0.5,45.0,-0.703821067059514,-0.6141283768454359,502
fes_string_conditioned,rank_reward,B_to_C_to_A,0.75,67.5,-0.703821067059514,-0.6141283768454359,502
fes_string_conditioned,rank_reward,B_to_C_to_A,1.0,90.0,-0.703821067059514,-0.6141283768454359,502
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,0.0,0.0,-0.2751014327849865,-0.19360764600121916,502
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,0.25,22.5,-0.2751014327849865,-0.19360764600121927,502
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,0.5,45.0,-0.2751014327849865,-0.19360764600121927,502
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,0.75,67.5,-0.2751014327849865,-0.19360764600121927,502
