state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O6_phase_only,train_mean_O7_suppress_event,fold,condition_id
side=B_side|tfc=low,84,O4_B_C_boundary,0.16451130701087002,O4_B_C_boundary,0.16451130701087002,-0.33733963652285953,-0.0626274668234944,-0.3943856118801448,0.16451130701087002,-0.25364416202192425,-0.060734373031751096,0.0,0,b6i_053
side=A_side|tfc=low,52,O3_A_C_boundary,0.26724723446265963,O4_B_C_boundary,-0.05759356769421409,-0.4755672167958004,0.0074172039984603064,0.26724723446265963,-0.05759356769421409,0.029562357334796834,-0.03081899334279744,0.0,0,b6i_053
side=A_side|tfc=high,43,O3_A_C_boundary,0.5501824812333758,O4_B_C_boundary,0.23357391342653458,0.4301775392104657,0.12508072650700697,0.5501824812333758,0.23357391342653458,0.49226029720838155,-0.34209802461065597,0.0,0,b6i_053
side=B_side|tfc=high,70,O1_lag0_AB,0.48437223992989664,O4_B_C_boundary,-0.021962979175571395,0.48437223992989664,0.11254837043679367,-0.014977867498469568,-0.021962979175571395,0.19771948739498266,0.01659572991484884,0.0,0,b6i_053
side=B_side|tfc=mid,86,O6_phase_only,0.22426787721859362,O4_B_C_boundary,-0.03963066159075557,-0.05433735016589301,-0.018437597536224246,-0.14374508058753901,-0.03963066159075557,-0.10461355044421777,0.22426787721859362,0.0,0,b6i_053
side=A_side|tfc=mid,43,O3_A_C_boundary,0.13352064787097245,O4_B_C_boundary,-0.12462446522384367,-0.31607732433866637,-0.3043034115888549,0.13352064787097245,-0.12462446522384367,-0.1746304936549146,0.014321896368095968,0.0,0,b6i_053
side=B_side|tfc=low,75,O4_B_C_boundary,0.24349603760281058,O2_lag5_AB,-0.09623061163567946,-0.25937825347005666,-0.09623061163567946,-0.39684948072868126,0.24349603760281058,-0.3095928825680741,0.038909988450958874,0.0,1,b6i_053
side=A_side|tfc=low,58,O3_A_C_boundary,0.2456260541781989,O2_lag5_AB,0.0865719378568692,-0.43892526014593175,0.0865719378568692,0.2456260541781989,-0.04335842284462379,0.04812280129312873,0.01665088813641873,0.0,1,b6i_053
side=A_side|tfc=high,53,O3_A_C_boundary,0.5227079049512809,O2_lag5_AB,0.20493459936486577,0.48867010763041696,0.20493459936486577,0.5227079049512809,0.05130093714984614,0.44990509773273424,-0.2561605049370853,0.0,1,b6i_053
side=B_side|tfc=high,77,O1_lag0_AB,0.530602880210937,O2_lag5_AB,0.157432444127813,0.530602880210937,0.157432444127813,0.1730547199891857,-0.202091009824142,0.21893596859405834,-0.05953013742730563,0.0,1,b6i_053
side=B_side|tfc=mid,86,O6_phase_only,0.15046128627618993,O2_lag5_AB,0.00838827635657049,-0.021126624799749645,0.00838827635657049,-0.27435623596600794,-0.2220221519354417,-0.15757930866125083,0.15046128627618993,0.0,1,b6i_053
side=A_side|tfc=mid,42,O7_suppress_event,0.0,O2_lag5_AB,-0.13893848971366263,-0.34085618944565454,-0.13893848971366263,-0.008449053460675177,-0.2618374234986953,-0.03913103784145176,-0.19261710624061534,0.0,1,b6i_053
side=B_side|tfc=low,86,O4_B_C_boundary,0.16992734210500657,O1_lag0_AB,-0.2582051692451888,-0.2582051692451888,-0.056047560671589704,-0.42985931080772594,0.16992734210500657,-0.33711825653571104,-0.031898769183486476,0.0,2,b6i_053
side=A_side|tfc=low,53,O3_A_C_boundary,0.11204179589156174,O1_lag0_AB,-0.43931622750942506,-0.43931622750942506,0.05781376198380578,0.11204179589156174,-0.029956074662207993,-0.10051355718806194,0.08793963726190655,0.0,2,b6i_053
side=A_side|tfc=high,55,O3_A_C_boundary,0.5866699142321989,O1_lag0_AB,0.45509006713138733,0.45509006713138733,0.0824755765363383,0.5866699142321989,0.005498645146114178,0.2999780454212473,-0.23170401886591302,0.0,2,b6i_053
side=B_side|tfc=high,80,O1_lag0_AB,0.5028725115400567,O1_lag0_AB,0.5028725115400567,0.5028725115400567,0.10123293042441751,0.016831050941503705,-0.10376475517667241,0.0901354339208663,-0.014258831199429656,0.0,2,b6i_053
side=B_side|tfc=mid,92,O6_phase_only,0.18819070892178671,O1_lag0_AB,0.07353931121083536,0.07353931121083536,-0.058770293517590715,-0.19780410601922394,-0.10762679832589651,-0.1066460115834541,0.18819070892178671,0.0,2,b6i_053
side=A_side|tfc=mid,46,O7_suppress_event,0.0,O1_lag0_AB,-0.19625851706632563,-0.19625851706632563,-0.11164026694622914,-0.10584152105467383,-0.07898216991098429,-0.10271897433381068,-0.0156698811794212,0.0,2,b6i_053
side=B_side|tfc=high,85,O1_lag0_AB,0.5400396417143085,O3_A_C_boundary,0.11803071652640132,0.5400396417143085,0.22873832997473928,0.11803071652640132,-0.03686254969317176,0.2742916261647169,0.05170434351925983,0.0,3,b6i_053
side=A_side|tfc=high,58,O3_A_C_boundary,0.6249603054475991,O3_A_C_boundary,0.6249603054475991,0.49475080003674987,0.08991888180673091,0.6249603054475991,0.028251659543828408,0.4004940747212422,-0.20994598085049773,0.0,3,b6i_053
side=A_side|tfc=low,48,O3_A_C_boundary,0.4736621799844349,O3_A_C_boundary,0.4736621799844349,-0.527422351903347,-0.17647909143250115,0.4736621799844349,0.1539990608625776,0.06567520629101385,0.02449369776589134,0.0,3,b6i_053
side=B_side|tfc=low,72,O4_B_C_boundary,0.26317497903257714,O3_A_C_boundary,-0.2574191124043404,-0.281340600644794,-0.08315902260707596,-0.2574191124043404,0.26317497903257714,-0.23205380113047067,-0.0678436549229849,0.0,3,b6i_053
side=A_side|tfc=mid,47,O7_suppress_event,0.0,O3_A_C_boundary,-0.01290827612047594,-0.1950159399409953,-0.2346384848811583,-0.01290827612047594,-0.121230904837821,-0.16730456567942742,-0.00044669357627765717,0.0,3,b6i_053
side=B_side|tfc=mid,81,O6_phase_only,0.050024165807587714,O3_A_C_boundary,-0.16140177125613264,-0.0656775483458614,-0.07442301076461481,-0.16140177125613264,-0.21807760490750325,-0.10389965219971649,0.050024165807587714,0.0,3,b6i_053
side=B_side|tfc=low,83,O4_B_C_boundary,0.24482243491940456,O4_B_C_boundary,0.24482243491940456,-0.36727485345146943,-0.061901603740236476,-0.4380552584244709,0.24482243491940456,-0.35962573219295796,0.12630485113013878,0.0,4,b6i_053
side=A_side|tfc=low,49,O3_A_C_boundary,0.2703697107416048,O4_B_C_boundary,0.11193670476018311,-0.5685264823325297,0.20815264554409188,0.2703697107416048,0.11193670476018311,0.12259773432100109,-0.009568966474138369,0.0,4,b6i_053
side=A_side|tfc=high,55,O3_A_C_boundary,0.6404579012807128,O4_B_C_boundary,0.08400331654870362,0.37899535741756685,0.09219106369005305,0.6404579012807128,0.08400331654870362,0.46806363978566445,-0.18538866309040927,0.0,4,b6i_053
side=B_side|tfc=high,84,O1_lag0_AB,0.5372467094258466,O4_B_C_boundary,0.05153832999159645,0.5372467094258466,0.05460842550015022,0.15089481414924527,0.05153832999159645,0.288347772140122,-0.019328360141791852,0.0,4,b6i_053
side=B_side|tfc=mid,91,O6_phase_only,0.12319907008150079,O4_B_C_boundary,-0.06902476963921957,-0.10973432879589448,-0.08241337776066988,-0.2481638651077791,-0.06902476963921957,-0.1466635450131862,0.12319907008150079,0.0,4,b6i_053
side=A_side|tfc=mid,46,O6_phase_only,0.06967772407936808,O4_B_C_boundary,-0.2645037923734274,-0.20394287560455296,-0.14347094111031397,0.026014190918394492,-0.2645037923734274,-0.15631148268188572,0.06967772407936808,0.0,4,b6i_053
