state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O7_suppress_event,fold,condition_id
strength=high,129,O5_full_TFC,0.07148403732071545,O4_B_C_boundary,0.00220901295208964,0.046014868529662044,0.009991998769178494,-0.03401427103084641,0.00220901295208964,0.07148403732071545,0.0,0,b6i_043
strength=mid,129,O4_B_C_boundary,0.1262685499861164,O4_B_C_boundary,0.1262685499861164,-0.10151887892612184,0.012367725823667021,-0.062238761094893506,0.1262685499861164,-0.0039456785121337245,0.0,0,b6i_043
strength=low,126,O3_A_C_boundary,0.059565221319419305,O4_B_C_boundary,-0.08719812884716424,-0.09838689268112726,-0.0810932512778358,0.059565221319419305,-0.08719812884716424,-0.04253707951843079,0.0,0,b6i_043
strength=high,136,O5_full_TFC,0.1076209264342888,O2_lag5_AB,-0.0010935459097078562,0.012000929275842037,-0.0010935459097078562,0.0932556497724353,-0.044811784566848055,0.1076209264342888,0.0,1,b6i_043
strength=mid,126,O4_B_C_boundary,0.044353158279148784,O2_lag5_AB,-0.03993341010617573,-0.06940035177045739,-0.03993341010617573,-0.10436957069442843,0.044353158279148784,-0.01417970565467964,0.0,1,b6i_043
strength=low,133,O2_lag5_AB,0.11550483757217347,O2_lag5_AB,0.11550483757217347,0.08018759269492817,0.11550483757217347,-0.008098455512016286,-0.1563916440544356,-0.044271440386357934,0.0,1,b6i_043
strength=high,130,O1_lag0_AB,0.08572895868867905,O1_lag0_AB,0.08572895868867905,0.08572895868867905,0.001801278324131891,-0.06563718644918307,0.02080976822061502,0.024555546812671344,0.0,2,b6i_043
strength=mid,141,O4_B_C_boundary,0.08694827938110568,O1_lag0_AB,-0.03274997855017352,-0.03274997855017352,-0.03251250127466038,-0.09187386717632627,0.08694827938110568,-0.05694922924190847,0.0,2,b6i_043
strength=low,147,O1_lag0_AB,0.06067596334687128,O1_lag0_AB,0.06067596334687128,0.06067596334687128,0.05449396210473002,-0.006941791277735597,-0.12334596775809425,-0.12110001297917838,0.0,2,b6i_043
strength=high,133,O3_A_C_boundary,0.12773258453094394,O3_A_C_boundary,0.12773258453094394,0.0693166071748435,-0.019860614717680945,0.12773258453094394,0.041885900514096554,0.10070686642253217,0.0,3,b6i_043
strength=low,135,O3_A_C_boundary,0.07231789676217784,O3_A_C_boundary,0.07231789676217784,0.05214082065176896,0.05218961304010829,0.07231789676217784,-0.16176316424220089,-0.017200433832619315,0.0,3,b6i_043
strength=mid,129,O4_B_C_boundary,0.15590968572936026,O3_A_C_boundary,0.05345699419401981,-0.028007093359447715,-0.05500220612791943,0.05345699419401981,0.15590968572936026,0.05230109501701497,0.0,3,b6i_043
strength=high,140,O3_A_C_boundary,0.09396655100941878,O4_B_C_boundary,0.0758685587779373,-0.006810242169805226,0.0005367095824526321,0.09396655100941878,0.0758685587779373,0.08385931264739373,0.0,4,b6i_043
strength=mid,143,O4_B_C_boundary,0.0839377434249514,O4_B_C_boundary,0.0839377434249514,-0.11965467678168183,-0.1592076847409122,-0.05017315811029452,0.0839377434249514,-0.06319734133551728,0.0,4,b6i_043
strength=low,131,O2_lag5_AB,0.13789169482083327,O4_B_C_boundary,-0.0683472032452434,0.04417193603251902,0.13789169482083327,-0.06219995943910428,-0.0683472032452434,-0.04975916506220185,0.0,4,b6i_043
